01/06/2015 07:30 - RODRIGO_POIT | CI = 12061 | NOME_FISICO = 1433154649-32208700.pdf | NOME_ORIGINAL = CARTÓRIO.pdf | TAMANHO = 295 | DESCRICAO = CARTÓRIO.pdf
17/06/2015 10:42 - TIAGOLIMA | CI = 12237 | NOME_FISICO = 1434548151-74250800.pdf | NOME_ORIGINAL = Parcelamento.pdf | TAMANHO = 1247 | DESCRICAO = Parcelamento.pdf
17/06/2015 14:09 - TIAGOCHIMINI | CI = 12242 | NOME_FISICO = 1434560898-36750800.pdf | NOME_ORIGINAL = 9.05.003.pdf | TAMANHO = 77 | DESCRICAO = 9.05.003.pdf
18/06/2015 07:49 - KLEBER | CI = 12250 | NOME_FISICO = 1434624559-00813300.pdf | NOME_ORIGINAL = Boleto Ciee.pdf | TAMANHO = 1167 | DESCRICAO = Boleto Ciee.pdf
18/06/2015 09:21 - FERNANDOPIRES | CI = 12252 | NOME_FISICO = 1434630061-61750800.pdf | NOME_ORIGINAL = Reajuste Aluguel Escritório SP - 2014-2015.pdf | TAMANHO = 70 | DESCRICAO = Reajuste Aluguel Escritório SP - 2014-2015.pdf
18/06/2015 10:31 - RODRIGO_POIT | CI = 12254 | NOME_FISICO = 1434634106-97688300.pdf | NOME_ORIGINAL = ATA.pdf | TAMANHO = 60 | DESCRICAO = ATA.pdf
18/06/2015 10:31 - RODRIGO_POIT | CI = 12254 | NOME_FISICO = 1434634106-98142900.msg | NOME_ORIGINAL = ACORDO.msg | TAMANHO = 1242 | DESCRICAO = ACORDO.msg
18/06/2015 10:31 - RODRIGO_POIT | CI = 12254 | NOME_FISICO = 1434634106-98727000.pdf | NOME_ORIGINAL = PROCESSO.pdf | TAMANHO = 8793 | DESCRICAO = PROCESSO.pdf
18/06/2015 10:37 - FERNANDOPIRES | CI = 12255 | NOME_FISICO = 1434634665-25813300.pdf | NOME_ORIGINAL = Limpadora Veloz - 30-06-2015.pdf | TAMANHO = 1393 | DESCRICAO = Limpadora Veloz - 30-06-2015.pdf
18/06/2015 13:59 - DENISESANTOS | CI = 12264 | NOME_FISICO = 1434646718-60572700.pdf | NOME_ORIGINAL = Reembolso Senar 2015 .pdf | TAMANHO = 455 | DESCRICAO = Reembolso Senar 2015 .pdf
18/06/2015 14:06 - DENISESANTOS | CI = 12266 | NOME_FISICO = 1434647161-79322800.pdf | NOME_ORIGINAL = Reembolso Senar 2015 .pdf | TAMANHO = 468 | DESCRICAO = Reembolso Senar 2015 .pdf
18/06/2015 14:16 - STEFANIAESTEVO | CI = 12267 | NOME_FISICO = 1434647771-40260200.pdf | NOME_ORIGINAL = Reembolso Senar 2015 .pdf | TAMANHO = 1081 | DESCRICAO = Reembolso Senar 2015 .pdf
19/06/2015 08:22 - VALDINEI | CI = 12272 | NOME_FISICO = 1434712900-35572800.pdf | NOME_ORIGINAL = Conta de Energia - Junho - 2015.pdf | TAMANHO = 653 | DESCRICAO = Conta de Energia - Junho - 2015.pdf
19/06/2015 09:48 - VALDINEI | CI = 12275 | NOME_FISICO = 1434718093-37135300.pdf | NOME_ORIGINAL = GARAGEM PRESIDENTE - UNID G16 - MAIO E JUNHO.pdf | TAMANHO = 62 | DESCRICAO = GARAGEM PRESIDENTE - UNID G16 - MAIO E JUNHO.pdf
19/06/2015 09:50 - RODRIGO_POIT | CI = 12276 | NOME_FISICO = 1434718054-01197800.pdf | NOME_ORIGINAL = CÁLCULO DE LIQUIDAÇÃO RECLAMANTE.pdf | TAMANHO = 505 | DESCRICAO = CÁLCULO DE LIQUIDAÇÃO RECLAMANTE.pdf
19/06/2015 09:50 - RODRIGO_POIT | CI = 12276 | NOME_FISICO = 1434718054-01863300.pdf | NOME_ORIGINAL = CÁLCULO DE LIQUIDAÇÃO.pdf | TAMANHO = 304 | DESCRICAO = CÁLCULO DE LIQUIDAÇÃO.pdf
19/06/2015 09:50 - RODRIGO_POIT | CI = 12276 | NOME_FISICO = 1434718054-02231100.pdf | NOME_ORIGINAL = CONTESTACAO.pdf | TAMANHO = 186 | DESCRICAO = CONTESTACAO.pdf
19/06/2015 09:50 - RODRIGO_POIT | CI = 12276 | NOME_FISICO = 1434718054-02578500.pdf | NOME_ORIGINAL = PETIÇÃO INICIAL.pdf | TAMANHO = 598 | DESCRICAO = PETIÇÃO INICIAL.pdf
19/06/2015 09:50 - RODRIGO_POIT | CI = 12276 | NOME_FISICO = 1434718054-03006700.pdf | NOME_ORIGINAL = SILVIO ROZENDO DA SILVA - PROC.10934-2015 - ATUALIZAÇÃO DOS VALORES.pdf | TAMANHO = 254 | DESCRICAO = SILVIO ROZENDO DA SILVA - PROC.10934-2015 - ATUALIZAÇÃO DOS VALORES.pdf
19/06/2015 09:50 - RODRIGO_POIT | CI = 12276 | NOME_FISICO = 1434718054-03390500.pdf | NOME_ORIGINAL = SILVIO ROZENDO DA SILVA - PROC.10934-2015 - CARTA PRECATÓRIA.pdf | TAMANHO = 1303 | DESCRICAO = SILVIO ROZENDO DA SILVA - PROC.10934-2015 - CARTA PRECATÓRIA.pdf
19/06/2015 10:21 - MARTA | CI = 12277 | NOME_FISICO = 1434720053-04322700.pdf | NOME_ORIGINAL = willian 19062015.pdf | TAMANHO = 573 | DESCRICAO = Despesas Viagem
19/06/2015 10:41 - GRAZIELA | CI = 12279 | NOME_FISICO = 1434721081-27760200.pdf | NOME_ORIGINAL = Guia de depósito judicialWERNER.pdf | TAMANHO = 195 | DESCRICAO = Guia Werner
19/06/2015 10:41 - GRAZIELA | CI = 12279 | NOME_FISICO = 1434721104-18385300.pdf | NOME_ORIGINAL = Guia de Recolhimento Carta sentençaCAPOBIANCO.pdf | TAMANHO = 378 | DESCRICAO = Guia Mario
19/06/2015 10:41 - GRAZIELA | CI = 12279 | NOME_FISICO = 1434721130-68385300.docx | NOME_ORIGINAL = CARTA DE SENTENÇA_MARIOCAPOBIANCO.docx | TAMANHO = 13 | DESCRICAO = Publicação Webjur Mario
19/06/2015 10:41 - GRAZIELA | CI = 12279 | NOME_FISICO = 1434721143-62135300.pdf | NOME_ORIGINAL = WERNER.pdf | TAMANHO = 104 | DESCRICAO = Publicação Webjur Werner
19/06/2015 11:14 - RODRIGO_POIT | CI = 12280 | NOME_FISICO = 1434723184-69947800.msg | NOME_ORIGINAL = RES DADOS BANCÁRIOS - TERMO DE AUDIÊNCIA PROC. 1178413 - JOSÉ ANTONIO VIEIRA.msg | TAMANHO = 74 | DESCRICAO = RES DADOS BANCÁRIOS - TERMO DE AUDIÊNCIA PROC. 1178413 - JOSÉ ANTONIO VIEIRA.msg
19/06/2015 11:14 - RODRIGO_POIT | CI = 12280 | NOME_FISICO = 1434723273-79600400.pdf | NOME_ORIGINAL = CÁLCULO JOSE.pdf | TAMANHO = 84 | DESCRICAO = CÁLCULO JOSE.pdf
19/06/2015 11:32 - RODRIGO_POIT | CI = 12282 | NOME_FISICO = 1434724326-44947700.pdf | NOME_ORIGINAL = MICHAEL.pdf | TAMANHO = 64 | DESCRICAO = MICHAEL.pdf
19/06/2015 11:32 - RODRIGO_POIT | CI = 12282 | NOME_FISICO = 1434724326-45397800.msg | NOME_ORIGINAL = RES TERMO DE AUDIÊNCIA PROC. 1017613 - MICHAEL ALEXANDRE DONIZETE DOS SANTOS.msg | TAMANHO = 58 | DESCRICAO = RES TERMO DE AUDIÊNCIA PROC. 1017613 - MICHAEL ALEXANDRE DONIZETE DOS SANTOS.msg
19/06/2015 14:28 - FRANCISCO | CI = 12287 | NOME_FISICO = 1434734804-85572700.xlsx | NOME_ORIGINAL = LIC. REBOQUES-2015-FINAL-04.xlsx | TAMANHO = 12 | DESCRICAO = LIC. REBOQUES-2015-FINAL-04.xlsx
19/06/2015 14:44 - FRANCISCO | CI = 12288 | NOME_FISICO = 1434735692-32447700.pdf | NOME_ORIGINAL = DETRAN- TAXAS SERV. 2.015.pdf | TAMANHO = 41 | DESCRICAO = DETRAN- TAXAS SERV. 2.015.pdf
22/06/2015 09:07 - LUZMARINA | CI = 12294 | NOME_FISICO = 1434974830-14604100.pdf | NOME_ORIGINAL = Tiago Pellizari de Souza.pdf | TAMANHO = 750 | DESCRICAO = Tiago Pellizari de Souza.pdf
22/06/2015 11:25 - VALDINEI | CI = 12302 | NOME_FISICO = 1434983101-33354100.pdf | NOME_ORIGINAL = doc03333920150622103448 (1) (1).pdf | TAMANHO = 554 | DESCRICAO = doc03333920150622103448 (1) (1).pdf
22/06/2015 15:10 - RODRIGO_POIT | CI = 12304 | NOME_FISICO = 1434995362-53666500.pdf | NOME_ORIGINAL = Edvaldo  Batistela.pdf | TAMANHO = 9034 | DESCRICAO = Edvaldo  Batistela.pdf
22/06/2015 15:10 - RODRIGO_POIT | CI = 12304 | NOME_FISICO = 1434995362-57501500.msg | NOME_ORIGINAL = EDVALDO APARECIDO BATISTELA PUBLICAÇÃO PROC. 1076013 -.msg | TAMANHO = 59 | DESCRICAO = EDVALDO APARECIDO BATISTELA PUBLICAÇÃO PROC. 1076013 -.msg
22/06/2015 15:10 - RODRIGO_POIT | CI = 12304 | NOME_FISICO = 1434995481-98207400.pdf | NOME_ORIGINAL = petição.pdf | TAMANHO = 183 | DESCRICAO = petição.pdf
22/06/2015 15:39 - RODRIGO_POIT | CI = 12306 | NOME_FISICO = 1434997545-47416500.pdf | NOME_ORIGINAL = João   Rolak.pdf | TAMANHO = 108 | DESCRICAO = João   Rolak.pdf
22/06/2015 15:39 - RODRIGO_POIT | CI = 12306 | NOME_FISICO = 1434997545-47943200.pdf | NOME_ORIGINAL = SENTENÇA.pdf | TAMANHO = 44 | DESCRICAO = SENTENÇA.pdf
22/06/2015 15:39 - RODRIGO_POIT | CI = 12306 | NOME_FISICO = 1434997545-48277600.pdf | NOME_ORIGINAL = LAUDO.pdf | TAMANHO = 26 | DESCRICAO = LAUDO.pdf
22/06/2015 15:39 - RODRIGO_POIT | CI = 12306 | NOME_FISICO = 1434997545-49300800.pdf | NOME_ORIGINAL = LAUDO1.pdf | TAMANHO = 26 | DESCRICAO = LAUDO1.pdf
22/06/2015 15:39 - RODRIGO_POIT | CI = 12306 | NOME_FISICO = 1434997545-50987000.docx | NOME_ORIGINAL = PETIÇÃO.docx | TAMANHO = 25 | DESCRICAO = PETIÇÃO.docx
22/06/2015 16:09 - ROBERTA | CI = 12308 | NOME_FISICO = 1435000157-95854000.pdf | NOME_ORIGINAL = Perdas Físicas.pdf | TAMANHO = 10 | DESCRICAO = Perdas Físicas.pdf
22/06/2015 16:27 - RODRIGO_POIT | CI = 12309 | NOME_FISICO = 1435001248-59916500.msg | NOME_ORIGINAL = João Batista de Oliveira Interposição de Recurso de Revista -.msg | TAMANHO = 62 | DESCRICAO = João Batista de Oliveira Interposição de Recurso de Revista -.msg
23/06/2015 07:24 - RODRIGO_POIT | CI = 12311 | NOME_FISICO = 1435055054-19291500.msg | NOME_ORIGINAL = Interposição de Recurso Extraordinário - José Carlos Ferreira.msg | TAMANHO = 64 | DESCRICAO = Interposição de Recurso Extraordinário - José Carlos Ferreira.msg
23/06/2015 09:01 - ROSEMEIRESGOTI | CI = 12313 | NOME_FISICO = 1435060902-22416500.pdf | NOME_ORIGINAL = DARE USINA.pdf | TAMANHO = 70 | DESCRICAO = DARE USINA.pdf
23/06/2015 09:03 - ROSEMEIRESGOTI | CI = 12314 | NOME_FISICO = 1435061030-13041500.pdf | NOME_ORIGINAL = DARE AGRO.pdf | TAMANHO = 70 | DESCRICAO = DARE AGRO.pdf
23/06/2015 09:09 - RODRIGO_POIT | CI = 12317 | NOME_FISICO = 1435061319-06791500.msg | NOME_ORIGINAL = RUBENS APARECIDO GARCIA DE MOURA  PROC. 1071514 - PUBLICAÇÃO.msg | TAMANHO = 60 | DESCRICAO = RUBENS APARECIDO GARCIA DE MOURA  PROC. 1071514 - PUBLICAÇÃO.msg
23/06/2015 09:09 - RODRIGO_POIT | CI = 12317 | NOME_FISICO = 1435061386-74252400.doc | NOME_ORIGINAL = CONTESTAÇÃO E QUESITOS.doc | TAMANHO = 114 | DESCRICAO = CONTESTAÇÃO E QUESITOS.doc
23/06/2015 09:37 - RODRIGO_POIT | CI = 12318 | NOME_FISICO = 1435062095-75541600.pdf | NOME_ORIGINAL = Tiago  Leopoldino.pdf | TAMANHO = 221 | DESCRICAO = Tiago  Leopoldino.pdf
23/06/2015 09:37 - RODRIGO_POIT | CI = 12318 | NOME_FISICO = 1435062226-97689400.pdf | NOME_ORIGINAL = ata 2013.pdf | TAMANHO = 89 | DESCRICAO = ata 2013.pdf
23/06/2015 09:37 - RODRIGO_POIT | CI = 12318 | NOME_FISICO = 1435062226-97970400.pdf | NOME_ORIGINAL = ata 2014.pdf | TAMANHO = 97 | DESCRICAO = ata 2014.pdf
23/06/2015 09:37 - RODRIGO_POIT | CI = 12318 | NOME_FISICO = 1435062226-98803900.doc | NOME_ORIGINAL = contrarrazõe de recurso.doc | TAMANHO = 38 | DESCRICAO = contrarrazõe de recurso.doc
23/06/2015 09:37 - RODRIGO_POIT | CI = 12318 | NOME_FISICO = 1435062248-68442700.pdf | NOME_ORIGINAL = PETIÇÃO.pdf | TAMANHO = 508 | DESCRICAO = PETIÇÃO.pdf
23/06/2015 10:07 - RODRIGO_POIT | CI = 12318 | NOME_FISICO = 1435064833-63041500.pdf | NOME_ORIGINAL = SENTENÇA.pdf | TAMANHO = 45 | DESCRICAO = SENTENÇA.pdf
23/06/2015 11:03 - FRANCISCO | CI = 12320 | NOME_FISICO = 1435068164-63041500.pdf | NOME_ORIGINAL = CUPOM-AIRTON-22-06.pdf | TAMANHO = 508 | DESCRICAO = CUPOM-AIRTON-22-06.pdf
23/06/2015 11:09 - FRANCISCO | CI = 12321 | NOME_FISICO = 1435068524-58354000.pdf | NOME_ORIGINAL = CUPOM-RON-19-06.pdf | TAMANHO = 390 | DESCRICAO = CUPOM-RON-19-06.pdf
23/06/2015 11:15 - FRANCISCO | CI = 12322 | NOME_FISICO = 1435068845-19291500.pdf | NOME_ORIGINAL = CUPOM-RON.-22-06.pdf | TAMANHO = 496 | DESCRICAO = CUPOM-RON.-22-06.pdf
23/06/2015 14:01 - MARTA | CI = 12324 | NOME_FISICO = 1435078825-09916500.pdf | NOME_ORIGINAL = willian 23062015.pdf | TAMANHO = 589 | DESCRICAO = Despesas Viagem
23/06/2015 15:14 - TIAGOLIMA | CI = 12325 | NOME_FISICO = 1435083244-27104000.pdf | NOME_ORIGINAL = CSLL_COFINS_PIS 1º QUINZENA JUNHO.pdf | TAMANHO = 1798 | DESCRICAO = CSLL_COFINS_PIS 1º QUINZENA JUNHO.pdf
23/06/2015 16:06 - ERIC | CI = 12326 | NOME_FISICO = 1435086265-17729000.PDF | NOME_ORIGINAL = 9.04.672 - REFORMA CECOI - 23-6-15.PDF | TAMANHO = 968 | DESCRICAO = STATUS DO PROJETO
23/06/2015 16:06 - ERIC | CI = 12326 | NOME_FISICO = 1435086265-18358400.xlsx | NOME_ORIGINAL = COMPLEMENTO DE ORÇAMENTO PARA PROJETO 9.04.672 - R1.xlsx | TAMANHO = 27 | DESCRICAO = ORÇAMENTO
24/06/2015 08:27 - MARCELOGODOI | CI = 12328 | NOME_FISICO = 1435145224-98979100.pdf | NOME_ORIGINAL = DEPÓSITO INTIMAÇÃO TESTEMUNHA .pdf | TAMANHO = 290 | DESCRICAO = DEPÓSITO INTIMAÇÃO TESTEMUNHA .pdf
24/06/2015 08:27 - MARCELOGODOI | CI = 12328 | NOME_FISICO = 1435145224-99603300.pdf | NOME_ORIGINAL = GUIAS COTÉSIA.pdf | TAMANHO = 555 | DESCRICAO = GUIAS COTÉSIA.pdf
24/06/2015 08:27 - MARCELOGODOI | CI = 12328 | NOME_FISICO = 1435145225-00007600.pdf | NOME_ORIGINAL = PRECATÓRIA INTIMAÇÃO TESTEMUNHA.pdf | TAMANHO = 441 | DESCRICAO = PRECATÓRIA INTIMAÇÃO TESTEMUNHA.pdf
24/06/2015 08:27 - MARCELOGODOI | CI = 12328 | NOME_FISICO = 1435145225-00344600.pdf | NOME_ORIGINAL = RECIBO OAB.pdf | TAMANHO = 209 | DESCRICAO = RECIBO OAB.pdf
24/06/2015 09:45 - VALDINEI | CI = 12330 | NOME_FISICO = 1435149892-97416600.pdf | NOME_ORIGINAL = Boleto Condomínio - 02-07-15.pdf | TAMANHO = 403 | DESCRICAO = Boleto Condomínio - 02-07-15.pdf
24/06/2015 10:04 - MARCELOGODOI | CI = 12331 | NOME_FISICO = 1435151047-19291600.pdf | NOME_ORIGINAL = CÓPIA ANTONIO DUTRA.pdf | TAMANHO = 1046 | DESCRICAO = CÓPIA ANTONIO DUTRA.pdf
24/06/2015 10:17 - KLEBER | CI = 12332 | NOME_FISICO = 1435151818-59916600.pdf | NOME_ORIGINAL = Usina Santa Fé - 07-2015 - Boleto.pdf | TAMANHO = 134 | DESCRICAO = Usina Santa Fé - 07-2015 - Boleto.pdf
24/06/2015 10:46 - FERNANDOPIRES | CI = 12335 | NOME_FISICO = 1435153567-20854000.pdf | NOME_ORIGINAL = FF - despesas diversas - 24-06-2015.pdf | TAMANHO = 2386 | DESCRICAO = FF - despesas diversas - 24-06-2015.pdf
24/06/2015 11:19 - FERNANDOPIRES | CI = 12337 | NOME_FISICO = 1435155507-91166500.pdf | NOME_ORIGINAL = Internet - 10-07-2015.pdf | TAMANHO = 1064 | DESCRICAO = Internet - 10-07-2015.pdf
24/06/2015 11:21 - FERNANDOPIRES | CI = 12338 | NOME_FISICO = 1435155673-66166600.pdf | NOME_ORIGINAL = AMIL - 10-07-2015.pdf | TAMANHO = 697 | DESCRICAO = AMIL - 10-07-2015.pdf
25/06/2015 15:07 - FRANCISCO | CI = 12355 | NOME_FISICO = 1435255543-23979100.pdf | NOME_ORIGINAL = CUPOM-RON.-AIRTON-24-06.pdf | TAMANHO = 237 | DESCRICAO = CUPOM-RON.-AIRTON-24-06.pdf
26/06/2015 14:33 - FRANCISCO | CI = 12360 | NOME_FISICO = 1435339957-44291400.pdf | NOME_ORIGINAL = CUPOM - RON-25-06.pdf | TAMANHO = 539 | DESCRICAO = CUPOM - RON-25-06.pdf
29/06/2015 09:07 - FRANCISCO | CI = 12364 | NOME_FISICO = 1435579546-34862700.pdf | NOME_ORIGINAL = DETRAN- TAXAS SERV. 2.015.pdf | TAMANHO = 41 | DESCRICAO = DETRAN- TAXAS SERV. 2.015.pdf
29/06/2015 09:08 - ROBERTA | CI = 12365 | NOME_FISICO = 1435579696-97362700.pdf | NOME_ORIGINAL = Sinistro 30 sacas - Transvale.pdf | TAMANHO = 8.76 | DESCRICAO = Sinistro 30 sacas - Transvale.pdf
29/06/2015 09:20 - LUZMARINA | CI = 12366 | NOME_FISICO = 1435580275-58300100.pdf | NOME_ORIGINAL = Silmara Teixeira Gomes Batista.pdf | TAMANHO = 1270 | DESCRICAO = Silmara Teixeira Gomes Batista.pdf
29/06/2015 09:20 - LUZMARINA | CI = 12366 | NOME_FISICO = 1435580333-39021100.pdf | NOME_ORIGINAL = Silmara Teixeira Gomes Batista.1.pdf | TAMANHO = 1247 | DESCRICAO = Silmara Teixeira Gomes Batista.1.pdf
29/06/2015 10:45 - ROBERTA | CI = 12368 | NOME_FISICO = 1435585513-25682900.pdf | NOME_ORIGINAL = Sinistro NF 169979.pdf | TAMANHO = 8.76 | DESCRICAO = Sinistro NF 169979.pdf
29/06/2015 11:00 - FRANCISCO | CI = 12370 | NOME_FISICO = 1435586381-97558000.pdf | NOME_ORIGINAL = AUTOS - 6040-6046-.pdf | TAMANHO = 1118 | DESCRICAO = AUTOS - 6040-6046-.pdf
30/06/2015 09:09 - ERIC | CI = 12380 | NOME_FISICO = 1435666169-04100900.pdf | NOME_ORIGINAL = COGEN - 07-2015.pdf | TAMANHO = 280 | DESCRICAO = COGEN - 07-2015
30/06/2015 11:42 - RODRIGO_POIT | CI = 12382 | NOME_FISICO = 1435674917-80956400.pdf | NOME_ORIGINAL = SERGIO DONIZETE DA SILVA - PROC. 10423-2013 - CÁLCULO DE LIQUIDAÇÃO.pdf | TAMANHO = 185 | DESCRICAO = SERGIO DONIZETE DA SILVA - PROC. 10423-2013 - CÁLCULO DE LIQUIDAÇÃO.pdf
30/06/2015 11:42 - RODRIGO_POIT | CI = 12382 | NOME_FISICO = 1435674917-81574700.pdf | NOME_ORIGINAL = 1 PETIÇÃO.pdf | TAMANHO = 204 | DESCRICAO = 1 PETIÇÃO.pdf
30/06/2015 11:42 - RODRIGO_POIT | CI = 12382 | NOME_FISICO = 1435674917-81931600.doc | NOME_ORIGINAL = 2 CONTESTAÇÃO.doc | TAMANHO = 67 | DESCRICAO = 2 CONTESTAÇÃO.doc
30/06/2015 11:42 - RODRIGO_POIT | CI = 12382 | NOME_FISICO = 1435674917-82250400.pdf | NOME_ORIGINAL = 3 PARECER PERICIAL.pdf | TAMANHO = 258 | DESCRICAO = 3 PARECER PERICIAL.pdf
30/06/2015 11:42 - RODRIGO_POIT | CI = 12382 | NOME_FISICO = 1435674917-82652100.pdf | NOME_ORIGINAL = 4 ATA DE AUDIÊNCIA.pdf | TAMANHO = 95 | DESCRICAO = 4 ATA DE AUDIÊNCIA.pdf
30/06/2015 11:42 - RODRIGO_POIT | CI = 12382 | NOME_FISICO = 1435674917-83001700.pdf | NOME_ORIGINAL = 5 ATA DE AUDIÊNCIA.pdf | TAMANHO = 89 | DESCRICAO = 5 ATA DE AUDIÊNCIA.pdf
30/06/2015 11:42 - RODRIGO_POIT | CI = 12382 | NOME_FISICO = 1435674917-84533600.doc | NOME_ORIGINAL = 6 CONTRARRAZÕES DE RECURSO.doc | TAMANHO = 49 | DESCRICAO = 6 CONTRARRAZÕES DE RECURSO.doc
30/06/2015 11:42 - RODRIGO_POIT | CI = 12382 | NOME_FISICO = 1435675202-89002400.pdf | NOME_ORIGINAL = 6 SENTENÇA.pdf | TAMANHO = 55 | DESCRICAO = 6 SENTENÇA.pdf
30/06/2015 13:27 - MARTA | CI = 12383 | NOME_FISICO = 1435681616-13866600.pdf | NOME_ORIGINAL = willian 30062015.pdf | TAMANHO = 506 | DESCRICAO = Despesas Viagem
30/06/2015 13:34 - LUISMOREIRA | CI = 12385 | NOME_FISICO = 1435681983-57616400.pdf | NOME_ORIGINAL = C.I - JG.pdf | TAMANHO = 560 | DESCRICAO = C.I - JG.pdf
30/06/2015 13:43 - LUISMOREIRA | CI = 12386 | NOME_FISICO = 1435682618-10839100.pdf | NOME_ORIGINAL = C.I. Otac..pdf | TAMANHO = 559 | DESCRICAO = C.I. Otac..pdf
30/06/2015 14:39 - FRANCISCO | CI = 12387 | NOME_FISICO = 1435685958-81151600.pdf | NOME_ORIGINAL = CUPOM-AIRTON-26-06.pdf | TAMANHO = 354 | DESCRICAO = CUPOM-AIRTON-26-06.pdf
