01/11/2016 08:29 - DONIZETE | CI = 18038 | NOME_FISICO = 1477996180-45937700.pdf | NOME_ORIGINAL = Despesas.pdf | TAMANHO = 270 | DESCRICAO = Despesas.pdf
17/11/2016 10:55 - GRAZIELA | CI = 18224 | NOME_FISICO = 1479387300-22087600.pdf | NOME_ORIGINAL = RECIBO.pdf | TAMANHO = 102 | DESCRICAO = RECIBOS
17/11/2016 11:27 - RODRIGO_POIT | CI = 18225 | NOME_FISICO = 1479389217-09587600.msg | NOME_ORIGINAL = RES RES PUBLICAÇÃO PROC. 1049914 - LEONOR ALVES DE SOUZA.msg | TAMANHO = 60 | DESCRICAO = RES RES PUBLICAÇÃO PROC. 1049914 - LEONOR ALVES DE SOUZA.msg
17/11/2016 12:38 - ELISSANDRA | CI = 18226 | NOME_FISICO = 1479393478-40837600.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
17/11/2016 12:43 - ELISSANDRA | CI = 18227 | NOME_FISICO = 1479393805-78337600.pdf | NOME_ORIGINAL = doc12714020161117140339.pdf | TAMANHO = 227 | DESCRICAO = doc12714020161117140339.pdf
17/11/2016 12:47 - ELISSANDRA | CI = 18228 | NOME_FISICO = 1479394049-86150100.pdf | NOME_ORIGINAL = doc12714420161117140444.pdf | TAMANHO = 277 | DESCRICAO = doc12714420161117140444.pdf
17/11/2016 12:49 - ELISSANDRA | CI = 18229 | NOME_FISICO = 1479394140-34587700.pdf | NOME_ORIGINAL = doc12714320161117140429.pdf | TAMANHO = 271 | DESCRICAO = doc12714320161117140429.pdf
17/11/2016 12:53 - ELISSANDRA | CI = 18231 | NOME_FISICO = 1479394382-14275200.pdf | NOME_ORIGINAL = doc12714220161117140415.pdf | TAMANHO = 419 | DESCRICAO = doc12714220161117140415.pdf
17/11/2016 12:54 - FERNANDOPIRES | CI = 18232 | NOME_FISICO = 1479394425-92400200.pdf | NOME_ORIGINAL = FF - Despesas diversas - 17-11-2016.pdf | TAMANHO = 148 | DESCRICAO = FF - Despesas diversas - 17-11-2016.pdf
17/11/2016 12:59 - ELISSANDRA | CI = 18233 | NOME_FISICO = 1479394759-92400100.pdf | NOME_ORIGINAL = doc12714120161117140359.pdf | TAMANHO = 380 | DESCRICAO = doc12714120161117140359.pdf
17/11/2016 15:31 - ZEZE | CI = 18237 | NOME_FISICO = 1479403901-70525100.pdf | NOME_ORIGINAL = doação asilo16.pdf | TAMANHO = 353 | DESCRICAO = doação asilo16.pdf
17/11/2016 15:53 - FRANCISCO | CI = 18238 | NOME_FISICO = 1479405152-73650100.pdf | NOME_ORIGINAL = CUPOM - RON-09 E 10-16.pdf | TAMANHO = 443 | DESCRICAO = CUPOM - RON-09 E 10-16.pdf
17/11/2016 16:29 - VALDINEI | CI = 18239 | NOME_FISICO = 1479407326-28337700.pdf | NOME_ORIGINAL = Boleto - Novembro - 2016.pdf | TAMANHO = 479 | DESCRICAO = Boleto - Novembro - 2016.pdf
17/11/2016 16:40 - VALDINEI | CI = 18241 | NOME_FISICO = 1479407945-70525100.pdf | NOME_ORIGINAL = Boleto - Novembro - 2016.pdf | TAMANHO = 337 | DESCRICAO = Boleto - Novembro - 2016.pdf
18/11/2016 09:57 - MARVYNALVES | CI = 18248 | NOME_FISICO = 1479470218-83025100.pdf | NOME_ORIGINAL = COGEN.pdf | TAMANHO = 42 | DESCRICAO = BOLETO COGEN
18/11/2016 12:12 - RAQUEL | CI = 18250 | NOME_FISICO = 1479478131-37712600.xls | NOME_ORIGINAL = 1ª Prospota.xls | TAMANHO = 34 | DESCRICAO = 1ª Proposta
18/11/2016 12:12 - RAQUEL | CI = 18250 | NOME_FISICO = 1479478164-11570400.pdf | NOME_ORIGINAL = 2ª Proposta 10 11 16.pdf | TAMANHO = 1035 | DESCRICAO = 2ª Proposta
18/11/2016 12:12 - RAQUEL | CI = 18250 | NOME_FISICO = 1479478181-64882000.pdf | NOME_ORIGINAL = Projeto 9 05 390.pdf | TAMANHO = 18 | DESCRICAO = Projeto 9 05 390
18/11/2016 12:12 - RAQUEL | CI = 18250 | NOME_FISICO = 1479478206-95050500.pdf | NOME_ORIGINAL = Relatório Projeto 9 05 390.pdf | TAMANHO = 17 | DESCRICAO = Relatório Projeto
21/11/2016 09:09 - LARISSALIMA | CI = 18258 | NOME_FISICO = 1479726291-11112600.pdf | NOME_ORIGINAL = 12083 Larissa.pdf | TAMANHO = 19 | DESCRICAO = 12083 Larissa.pdf
21/11/2016 09:17 - LARISSALIMA | CI = 18259 | NOME_FISICO = 1479727064-50175100.pdf | NOME_ORIGINAL = doc08555220161121103357.pdf | TAMANHO = 260 | DESCRICAO = doc08555220161121103357.pdf
21/11/2016 09:46 - MARTA | CI = 18260 | NOME_FISICO = 1479728787-62675200.pdf | NOME_ORIGINAL = Despesa 10 11 2016.pdf | TAMANHO = 337 | DESCRICAO = Despesas de Viagem
21/11/2016 10:03 - FRANCISCO | CI = 18261 | NOME_FISICO = 1479729676-25175200.pdf | NOME_ORIGINAL = CUPOM-RON. 16-11.pdf | TAMANHO = 348 | DESCRICAO = CUPOM-RON. 16-11.pdf
21/11/2016 10:03 - FRANCISCO | CI = 18261 | NOME_FISICO = 1479729704-33423500.pdf | NOME_ORIGINAL = CUPOM - AIRT.-17-11..pdf | TAMANHO = 404 | DESCRICAO = CUPOM - AIRT.-17-11..pdf
21/11/2016 10:17 - CAIOAUGUSTO | CI = 18263 | NOME_FISICO = 1479730614-64237600.pdf | NOME_ORIGINAL = Caio.pdf | TAMANHO = 491 | DESCRICAO = Combustivel e alimentação
21/11/2016 10:17 - CAIOAUGUSTO | CI = 18263 | NOME_FISICO = 1479730614-67158900.pdf | NOME_ORIGINAL = Caio1.pdf | TAMANHO = 342 | DESCRICAO = Combustivel e alimentação
21/11/2016 10:17 - CAIOAUGUSTO | CI = 18263 | NOME_FISICO = 1479730614-71019900.pdf | NOME_ORIGINAL = Caio2.pdf | TAMANHO = 337 | DESCRICAO = Estacionamento
21/11/2016 10:17 - CAIOAUGUSTO | CI = 18263 | NOME_FISICO = 1479730614-72454100.pdf | NOME_ORIGINAL = Caio3.pdf | TAMANHO = 25 | DESCRICAO = Hospedagem
21/11/2016 10:24 - CAIOAUGUSTO | CI = 18264 | NOME_FISICO = 1479730804-84550100.pdf | NOME_ORIGINAL = Bazana.pdf | TAMANHO = 232 | DESCRICAO = Bazana.pdf
21/11/2016 11:21 - AREIAS | CI = 18268 | NOME_FISICO = 1479734455-15800200.pdf | NOME_ORIGINAL = Oficio - Bombeiro - 11-11-16.pdf | TAMANHO = 371 | DESCRICAO = Oficio - Bombeiro - 11-11-16.pdf
21/11/2016 13:56 - SANTANA | CI = 18269 | NOME_FISICO = 1479742148-48612600.pdf | NOME_ORIGINAL = Pedido Nº 8294513-76 - Atualização Cadastro na RFB (Matriculas Atualizadas).pdf | TAMANHO = 18 | DESCRICAO = Pedido Nº 8294513-76 - Atualização Cadastro na RFB (Matriculas Atualizadas).pdf
21/11/2016 13:56 - SANTANA | CI = 18269 | NOME_FISICO = 1479742148-51191900.PDF | NOME_ORIGINAL = Boleto (2).PDF | TAMANHO = 64 | DESCRICAO = Boleto (2).PDF
21/11/2016 14:02 - DANILO | CI = 18270 | NOME_FISICO = 1479744078-01737700.pdf | NOME_ORIGINAL = Base Cálculo IRPJ CSLL 2016 R1 Estimativa.pdf | TAMANHO = 86 | DESCRICAO = Base Cálculo IRPJ CSLL 2016 R1 Estimativa.pdf
21/11/2016 14:16 - SANTANA | CI = 18271 | NOME_FISICO = 1479744919-39237600.pdf | NOME_ORIGINAL = Comprovante de pagamento..pdf | TAMANHO = 252 | DESCRICAO = Comprovante de pagamento..pdf
22/11/2016 10:38 - RODRIGO_POIT | CI = 18277 | NOME_FISICO = 1479818196-78300100.pdf | NOME_ORIGINAL = ROBERTO DOS SANTOS BELARMINO - PROC.0010221-97.2013.5.15.0081-ATA DE AUDIÊNCIA (ACORDO).pdf | TAMANHO = 1043 | DESCRICAO = ROBERTO DOS SANTOS BELARMINO - PROC.0010221-97.2013.5.15.0081-ATA DE AUDIÊNCIA (ACORDO).pdf
22/11/2016 10:38 - RODRIGO_POIT | CI = 18277 | NOME_FISICO = 1479818196-83126700.pdf | NOME_ORIGINAL = CÁLCULOS - ROBERTO DOS SANTOS BELARMINO-2.pdf | TAMANHO = 975 | DESCRICAO = CÁLCULOS - ROBERTO DOS SANTOS BELARMINO-2.pdf
22/11/2016 10:38 - RODRIGO_POIT | CI = 18277 | NOME_FISICO = 1479818196-85073000.pdf | NOME_ORIGINAL = ROBERTO DOS SANTOS BELARMINO X USINA SANTA FE.pdf | TAMANHO = 745 | DESCRICAO = ROBERTO DOS SANTOS BELARMINO X USINA SANTA FE.pdf
22/11/2016 14:50 - SANTANA | CI = 18286 | NOME_FISICO = 1479832645-40800100.jpg | NOME_ORIGINAL = RECIBO.jpg | TAMANHO = 193 | DESCRICAO = RECIBO.jpg
22/11/2016 18:23 - TOM | CI = 18293 | NOME_FISICO = 1479846170-34550100.pdf | NOME_ORIGINAL = DARE HLTM 30.09.pdf | TAMANHO = 70 | DESCRICAO = DARE HLTM 30.09.pdf
22/11/2016 18:23 - TOM | CI = 18293 | NOME_FISICO = 1479846185-03300200.pdf | NOME_ORIGINAL = DARF HLTM.pdf | TAMANHO = 46 | DESCRICAO = DARF HLTM.pdf
22/11/2016 19:34 - MATHEUSUZELOTTO | CI = 18294 | NOME_FISICO = 1479850437-86112600.pdf | NOME_ORIGINAL = 17-11-2016IAC.pdf | TAMANHO = 270 | DESCRICAO = 17-11-2016IAC.pdf
22/11/2016 19:35 - MATHEUSUZELOTTO | CI = 18295 | NOME_FISICO = 1479850501-95487600.pdf | NOME_ORIGINAL = 19-11-2016(1).pdf | TAMANHO = 103 | DESCRICAO = 19-11-2016(1).pdf
22/11/2016 19:35 - MATHEUSUZELOTTO | CI = 18295 | NOME_FISICO = 1479850501-96878100.pdf | NOME_ORIGINAL = 19-11-2016.pdf | TAMANHO = 299 | DESCRICAO = 19-11-2016.pdf
22/11/2016 19:35 - MATHEUSUZELOTTO | CI = 18295 | NOME_FISICO = 1479850501-97888400.pdf | NOME_ORIGINAL = 20-11-2016.pdf | TAMANHO = 462 | DESCRICAO = 20-11-2016.pdf
23/11/2016 07:16 - KLEBER | CI = 18298 | NOME_FISICO = 1479892604-61112600.pdf | NOME_ORIGINAL = Empresas - Centro de Integração Empresa-Escola - CIEE.pdf | TAMANHO = 438 | DESCRICAO = Empresas - Centro de Integração Empresa-Escola - CIEE.pdf
23/11/2016 07:16 - KLEBER | CI = 18298 | NOME_FISICO = 1479892610-26737600.pdf | NOME_ORIGINAL = Boleto de Cobrança.pdf | TAMANHO = 116 | DESCRICAO = Boleto de Cobrança.pdf
23/11/2016 08:31 - FERNANDOPIRES | CI = 18301 | NOME_FISICO = 1479896998-28300100.pdf | NOME_ORIGINAL = Mensalidade de Dezembro de 2016 - FMU.pdf | TAMANHO = 18 | DESCRICAO = Mensalidade de Dezembro de 2016 - FMU.pdf
23/11/2016 12:00 - JACKSON | CI = 18307 | NOME_FISICO = 1479909377-11112600.PDF | NOME_ORIGINAL = MIN BELOCAL.PDF | TAMANHO = 14 | DESCRICAO = MIN BELOCAL.PDF
24/11/2016 08:44 - RODRIGO_POIT | CI = 18314 | NOME_FISICO = 1479984218-55662600.pdf | NOME_ORIGINAL = ROGERIO APARECIDO DA SILVA-PROC.10843-45.2014-ATA DE AUDIÊNCIA.pdf | TAMANHO = 1036 | DESCRICAO = ROGERIO APARECIDO DA SILVA-PROC.10843-45.2014-ATA DE AUDIÊNCIA.pdf
24/11/2016 08:51 - MARVYNALVES | CI = 18315 | NOME_FISICO = 1479984606-61912600.pdf | NOME_ORIGINAL = Relatorio 24-11-2016 -Detalhado.pdf | TAMANHO = 21 | DESCRICAO = Relatório 24-11-16 -
24/11/2016 09:43 - MARVYNALVES | CI = 18316 | NOME_FISICO = 1479987746-94725100.pdf | NOME_ORIGINAL = Relatorio 24-11-2016.pdf | TAMANHO = 68 | DESCRICAO = Relatório 24-11-2016
24/11/2016 10:28 - VALDEREZ | CI = 18321 | NOME_FISICO = 1479990440-61912700.pdf | NOME_ORIGINAL = documentação Ronald.pdf | TAMANHO = 1985 | DESCRICAO = documentos pais falecido
24/11/2016 12:02 - FRANCISCO | CI = 18323 | NOME_FISICO = 1479996117-05662600.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
24/11/2016 14:16 - MARTA | CI = 18329 | NOME_FISICO = 1480004165-07225100.pdf | NOME_ORIGINAL = despesas combustível Adão 24 11 2016.pdf | TAMANHO = 702 | DESCRICAO = Despesas de Viagem
25/11/2016 07:47 - RODRIGO_POIT | CI = 18333 | NOME_FISICO = 1480067227-86912600.pdf | NOME_ORIGINAL = Despesas Roseli e Joisy.pdf | TAMANHO = 428 | DESCRICAO = Despesas Roseli e Joisy.pdf
25/11/2016 08:28 - RODRIGO_POIT | CI = 18336 | NOME_FISICO = 1480069696-46287600.msg | NOME_ORIGINAL = Re HOMOLOGAÇÃO CÁLCULO PROC. 151611 - FERNANDO MARTINS DOS SANTOS.msg | TAMANHO = 101 | DESCRICAO = Re HOMOLOGAÇÃO CÁLCULO PROC. 151611 - FERNANDO MARTINS DOS SANTOS.msg
25/11/2016 08:28 - RODRIGO_POIT | CI = 18336 | NOME_FISICO = 1480069696-47622700.docx | NOME_ORIGINAL = SENTENÇA DE LIQUIDAÇÃO AUTUAÇÃO.docx | TAMANHO = 16 | DESCRICAO = SENTENÇA DE LIQUIDAÇÃO AUTUAÇÃO.docx
25/11/2016 08:28 - RODRIGO_POIT | CI = 18336 | NOME_FISICO = 1480069696-49034200.msg | NOME_ORIGINAL = Fwd Reclamação 0001516-81.2011.5.15.0081.msg | TAMANHO = 1841 | DESCRICAO = Fwd Reclamação 0001516-81.2011.5.15.0081.msg
25/11/2016 11:30 - FRANCISCO | CI = 18342 | NOME_FISICO = 1480080613-94725100.pdf | NOME_ORIGINAL = AUTOS INF. 6144-6145.pdf | TAMANHO = 604 | DESCRICAO = AUTOS INF. 6144-6145.pdf
25/11/2016 14:25 - FRANCISCO | CI = 18347 | NOME_FISICO = 1480091131-72850100.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
28/11/2016 08:33 - GRAZIELA | CI = 18356 | NOME_FISICO = 1480329185-21162500.pdf | NOME_ORIGINAL = RECIBO CERTIDÕES LUIDE.pdf | TAMANHO = 725 | DESCRICAO = RECIBOS
28/11/2016 08:58 - FERNANDOPIRES | CI = 18358 | NOME_FISICO = 1480330701-91475200.pdf | NOME_ORIGINAL = Boleto Amil - 10-12-2016.pdf | TAMANHO = 82 | DESCRICAO = Boleto Amil - 10-12-2016.pdf
28/11/2016 13:54 - ELTON | CI = 18361 | NOME_FISICO = 1480348433-28975100.xlsx | NOME_ORIGINAL = Relatório de Férias - Recepção e Moagem.xlsx | TAMANHO = 13 | DESCRICAO = Relatório de Férias - Recepção e Moagem.xlsx
28/11/2016 14:25 - ELTON | CI = 18362 | NOME_FISICO = 1480349388-66475100.xlsx | NOME_ORIGINAL = Relatório de Férias - Fabricação de Açúcar.xlsx | TAMANHO = 15 | DESCRICAO = Relatório de Férias - Fabricação de Açúcar.xlsx
28/11/2016 14:25 - ELTON | CI = 18363 | NOME_FISICO = 1480350327-78975200.xlsx | NOME_ORIGINAL = Relatório de Férias - Fabricação de Etanol.xlsx | TAMANHO = 12 | DESCRICAO = Relatório de Férias - Fabricação de Etanol.xlsx
28/11/2016 14:58 - ELTON | CI = 18364 | NOME_FISICO = 1480352323-61787600.xlsx | NOME_ORIGINAL = Relatório de Férias - Controle de Qualidade.xlsx | TAMANHO = 14 | DESCRICAO = Relatório de Férias - Controle de Qualidade.xlsx
28/11/2016 15:08 - ELTON | CI = 18364 | NOME_FISICO = 1480352917-91475100.xlsx | NOME_ORIGINAL = Relatório de Férias - Controle de Qualidade.xlsx | TAMANHO = 14 | DESCRICAO = Relatório de Férias - Controle de Qualidade.xlsx
28/11/2016 17:12 - LARISSALIMA | CI = 18369 | NOME_FISICO = 1480360341-18037600.pdf | NOME_ORIGINAL = doc08595420161128184452.pdf | TAMANHO = 299 | DESCRICAO = doc08595420161128184452.pdf
29/11/2016 08:01 - ELTON | CI = 18363 | NOME_FISICO = 1480413651-63350000.xlsx | NOME_ORIGINAL = Relatório de Férias - Fabricação de Etanol.xlsx | TAMANHO = 12 | DESCRICAO = Relatório de Férias - Fabricação de Etanol.xlsx
29/11/2016 08:09 - ELTON | CI = 18363 | NOME_FISICO = 1480414180-05537700.xlsx | NOME_ORIGINAL = Relatório de Férias - Fabricação de Etanol.xlsx | TAMANHO = 12 | DESCRICAO = Relatório de Férias - Fabricação de Etanol.xlsx
29/11/2016 08:40 - FERNANDOPIRES | CI = 18370 | NOME_FISICO = 1480416024-57100100.pdf | NOME_ORIGINAL = Aluguel escritório de SP - 05-12-2016.pdf | TAMANHO = 200 | DESCRICAO = Aluguel escritório de SP - 05-12-2016.pdf
29/11/2016 08:55 - TOM | CI = 18373 | NOME_FISICO = 1480416828-74287700.pdf | NOME_ORIGINAL = DARE ARCA 25.11 CONT FINAN.pdf | TAMANHO = 70 | DESCRICAO = DARE ARCA 25.11 CONT FINAN.pdf
29/11/2016 08:55 - TOM | CI = 18373 | NOME_FISICO = 1480416842-05537600.pdf | NOME_ORIGINAL = DARE TOMADA DE EMPREST.pdf | TAMANHO = 70 | DESCRICAO = DARE TOMADA DE EMPREST.pdf
29/11/2016 08:55 - TOM | CI = 18373 | NOME_FISICO = 1480416861-93037700.pdf | NOME_ORIGINAL = DARF TOMADA DE EMPRS.pdf | TAMANHO = 46 | DESCRICAO = DARF TOMADA DE EMPRS.pdf
29/11/2016 08:55 - TOM | CI = 18373 | NOME_FISICO = 1480416877-55537700.pdf | NOME_ORIGINAL = DARF_CONT FINANC.pdf | TAMANHO = 46 | DESCRICAO = DARF_CONT FINANC.pdf
29/11/2016 09:15 - VALDINEI | CI = 18375 | NOME_FISICO = 1480418084-75850200.pdf | NOME_ORIGINAL = Boleto Condomínio - 02-12-16.pdf | TAMANHO = 474 | DESCRICAO = Boleto Condomínio - 02-12-16.pdf
29/11/2016 09:17 - VALDINEI | CI = 18376 | NOME_FISICO = 1480418254-77412700.pdf | NOME_ORIGINAL = GARAGEM PRESIDENTE - UNID G16 DEZEMBRO.pdf | TAMANHO = 487 | DESCRICAO = GARAGEM PRESIDENTE - UNID G16 DEZEMBRO.pdf
29/11/2016 09:24 - VALDINEI | CI = 18377 | NOME_FISICO = 1480418613-78975100.pdf | NOME_ORIGINAL = Conta de Energia - Dezembro - 2016.pdf | TAMANHO = 656 | DESCRICAO = Conta de Energia - Dezembro - 2016.pdf
29/11/2016 14:50 - KLEBER | CI = 18387 | NOME_FISICO = 1480438244-88350200.pdf | NOME_ORIGINAL = Nota.pdf | TAMANHO = 49 | DESCRICAO = Nota.pdf
29/11/2016 15:37 - FRANCISCO | CI = 18389 | NOME_FISICO = 1480441044-10225200.pdf | NOME_ORIGINAL = CUPOM-AIRT.24-11.pdf | TAMANHO = 357 | DESCRICAO = CUPOM-AIRT.24-11.pdf
29/11/2016 15:44 - FRANCISCO | CI = 18390 | NOME_FISICO = 1480441453-96162600.pdf | NOME_ORIGINAL = CUPOM AIRT. 28-11.pdf | TAMANHO = 395 | DESCRICAO = CUPOM AIRT. 28-11.pdf
29/11/2016 16:28 - FRANCISCO | CI = 18392 | NOME_FISICO = 1480443978-91475200.pdf | NOME_ORIGINAL = CUPOM-RON-23-11.pdf | TAMANHO = 330 | DESCRICAO = CUPOM-RON-23-11.pdf
29/11/2016 16:28 - FRANCISCO | CI = 18392 | NOME_FISICO = 1480444007-80978300.pdf | NOME_ORIGINAL = CUPOM-RON-24-11.pdf | TAMANHO = 365 | DESCRICAO = CUPOM-RON-24-11.pdf
29/11/2016 16:28 - FRANCISCO | CI = 18392 | NOME_FISICO = 1480444044-28237900.pdf | NOME_ORIGINAL = CUPOM-RON-25-11.pdf | TAMANHO = 384 | DESCRICAO = CUPOM-RON-25-11.pdf
30/11/2016 07:19 - VELOSA | CI = 18393 | NOME_FISICO = 1480497568-79575200.pdf | NOME_ORIGINAL = Estacionamento.pdf | TAMANHO = 214 | DESCRICAO = Estacionamento.pdf
30/11/2016 07:34 - CLEBERRONDI | CI = 18395 | NOME_FISICO = 1480498467-06137700.pdf | NOME_ORIGINAL = Comprovantes Curso.pdf | TAMANHO = 560 | DESCRICAO = Comprovantes Despesas
30/11/2016 09:14 - FRANCISCO | CI = 18397 | NOME_FISICO = 1480504427-38950100.pdf | NOME_ORIGINAL = BOLETO LETRANS-29-11.pdf | TAMANHO = 289 | DESCRICAO = BOLETO LETRANS-29-11.pdf
30/11/2016 09:45 - RODRIGO_POIT | CI = 18398 | NOME_FISICO = 1480506313-81137600.msg | NOME_ORIGINAL = DECISÃO EMBARGOS DECLARATÓRIOS PROC. 1176114 - JAIME JACINTO.msg | TAMANHO = 49 | DESCRICAO = DECISÃO EMBARGOS DECLARATÓRIOS PROC. 1176114 - JAIME JACINTO.msg
30/11/2016 10:17 - RODRIGO_POIT | CI = 18399 | NOME_FISICO = 1480508269-06137600.pdf | NOME_ORIGINAL = LBJ Laudo Pericial Fernando da Silva Coelho x Us. Sta Fé.pdf | TAMANHO = 873 | DESCRICAO = LBJ Laudo Pericial Fernando da Silva Coelho x Us. Sta Fé.pdf
30/11/2016 10:17 - RODRIGO_POIT | CI = 18399 | NOME_FISICO = 1480508269-08975000.msg | NOME_ORIGINAL = RES PUBLICAÇÃO PROC. 1084216 - FERNANDO DA SILVA COELHO.msg | TAMANHO = 69 | DESCRICAO = RES PUBLICAÇÃO PROC. 1084216 - FERNANDO DA SILVA COELHO.msg
30/11/2016 10:17 - RODRIGO_POIT | CI = 18399 | NOME_FISICO = 1480508269-10167300.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1084216 - FERNANDO DA SILVA COELHO.msg | TAMANHO = 74 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1084216 - FERNANDO DA SILVA COELHO.msg
30/11/2016 13:51 - KLEBER | CI = 18406 | NOME_FISICO = 1480521054-29575200.pdf | NOME_ORIGINAL = Boleto 05-12-2016.pdf | TAMANHO = 342 | DESCRICAO = Boleto 05-12-2016.pdf
30/11/2016 16:43 - ROBSONMANFRIM | CI = 18412 | NOME_FISICO = 1480516809-90512600.pdf | NOME_ORIGINAL = Despesas de viagem 25 e 26_11_16.pdf | TAMANHO = 67 | DESCRICAO = Despesas de viagem 25 e 26_11_16.pdf
