02/01/2018 09:20 - RODRIGO_POIT | CI = 23180 | NOME_FISICO = 1514891967-66200100.pdf | NOME_ORIGINAL = Despesas.pdf | TAMANHO = 1344 | DESCRICAO = Despesas.pdf
30/01/2018 10:31 - VELOSA | CI = 23549 | NOME_FISICO = 1517315473-97287700.pdf | NOME_ORIGINAL = Agro_2.pdf | TAMANHO = 709 | DESCRICAO = Agro_2.pdf
30/01/2018 10:36 - RODRIGO_POIT | CI = 23550 | NOME_FISICO = 1517315786-67912700.pdf | NOME_ORIGINAL = despesas.pdf | TAMANHO = 1180 | DESCRICAO = despesas.pdf
30/01/2018 10:46 - RODRIGO_POIT | CI = 23551 | NOME_FISICO = 1517316402-02287700.msg | NOME_ORIGINAL = 11228.msg | TAMANHO = 128 | DESCRICAO = 11228.msg
30/01/2018 10:56 - RODRIGO_POIT | CI = 23552 | NOME_FISICO = 1517316994-52287600.msg | NOME_ORIGINAL = 11202.msg | TAMANHO = 106 | DESCRICAO = 11202.msg
30/01/2018 13:43 - REGI | CI = 23557 | NOME_FISICO = 1517326989-74162600.xlsx | NOME_ORIGINAL = Lógistica - Férias 12_02_18.xlsx | TAMANHO = 13 | DESCRICAO = Lógistica - Férias 12_02_18.xlsx
30/01/2018 15:56 - MATHEUSRODRIGUES | CI = 23562 | NOME_FISICO = 1517334959-24162600.pdf | NOME_ORIGINAL = férias_fevereiro.pdf | TAMANHO = 105 | DESCRICAO = férias_fevereiro.pdf
30/01/2018 17:23 - RODRIGO_POIT | CI = 23563 | NOME_FISICO = 1517340221-41350200.msg | NOME_ORIGINAL = 10792.msg | TAMANHO = 97 | DESCRICAO = 10792.msg
31/01/2018 09:05 - JOISYLOPES | CI = 23571 | NOME_FISICO = 1517396712-52287600.pdf | NOME_ORIGINAL = Comprovante refeição.pdf | TAMANHO = 227 | DESCRICAO = Comprovante refeição.pdf
31/01/2018 09:42 - MARCELOGODOI | CI = 23572 | NOME_FISICO = 1517398934-10100100.pdf | NOME_ORIGINAL = DESPESAS.pdf | TAMANHO = 283 | DESCRICAO = DESPESAS.pdf
31/01/2018 09:50 - FABIOTOMASETTO | CI = 23573 | NOME_FISICO = 1517399353-97600100.xlsx | NOME_ORIGINAL = C.I. 12-02-2018.xlsx | TAMANHO = 11 | DESCRICAO = C.I. 12-02-2018.xlsx
31/01/2018 09:50 - FABIOTOMASETTO | CI = 23573 | NOME_FISICO = 1517399364-11662600.xlsx | NOME_ORIGINAL = C.I. 15-02-2018.xlsx | TAMANHO = 9.47 | DESCRICAO = C.I. 15-02-2018.xlsx
31/01/2018 09:50 - FABIOTOMASETTO | CI = 23573 | NOME_FISICO = 1517399379-30412600.xlsx | NOME_ORIGINAL = C.I. 19-02-2018.xlsx | TAMANHO = 8.79 | DESCRICAO = C.I. 19-02-2018.xlsx
31/01/2018 11:37 - RAQUEL | CI = 23577 | NOME_FISICO = 1517405771-05412600.PDF | NOME_ORIGINAL = Projeto 9 05 626.PDF | TAMANHO = 155 | DESCRICAO = Projeto 9 05 626.PDF
31/01/2018 12:48 - JAQUELINEFERREIRA | CI = 23581 | NOME_FISICO = 1517410102-03850200.pdf | NOME_ORIGINAL = sedex a cobrar  23-01-2018.pdf | TAMANHO = 390 | DESCRICAO = sedex a cobrar  23-01-2018.pdf
31/01/2018 16:33 - CRISTIANOALVES | CI = 23583 | NOME_FISICO = 1517423597-25725200.xlsx | NOME_ORIGINAL = Ajuste IR e CS.xlsx | TAMANHO = 12 | DESCRICAO = Apuração IRPJ e CSLL
