01/09/2016 09:18 - FRANCISCO | CI = 17262 | NOME_FISICO = 1472732310-16275100.pdf | NOME_ORIGINAL = CUPOM-AIRT.30-08.pdf | TAMANHO = 442 | DESCRICAO = CUPOM-AIRT.30-08.pdf
15/09/2016 13:56 - SANTANA | CI = 17459 | NOME_FISICO = 1473958606-19363300.pdf | NOME_ORIGINAL = DARF 1708.pdf | TAMANHO = 23 | DESCRICAO = DARF 1708.pdf
15/09/2016 13:56 - SANTANA | CI = 17459 | NOME_FISICO = 1473958606-22569600.pdf | NOME_ORIGINAL = Relatorio CPAF00017.pdf | TAMANHO = 194 | DESCRICAO = Relatorio CPAF00017.pdf
15/09/2016 13:56 - SANTANA | CI = 17459 | NOME_FISICO = 1473958606-24697600.pdf | NOME_ORIGINAL = Relatorio FISF0064.pdf | TAMANHO = 229 | DESCRICAO = Relatorio FISF0064.pdf
15/09/2016 14:12 - SANTANA | CI = 17461 | NOME_FISICO = 1473959539-24050800.pdf | NOME_ORIGINAL = DARF 5952.pdf | TAMANHO = 23 | DESCRICAO = DARF 5952.pdf
15/09/2016 14:12 - SANTANA | CI = 17461 | NOME_FISICO = 1473959539-26069900.pdf | NOME_ORIGINAL = Relatorio CPAF0017.pdf | TAMANHO = 207 | DESCRICAO = Relatorio CPAF0017.pdf
15/09/2016 14:12 - SANTANA | CI = 17461 | NOME_FISICO = 1473959539-29515400.pdf | NOME_ORIGINAL = Relatorio FISF0064.pdf | TAMANHO = 655 | DESCRICAO = Relatorio FISF0064.pdf
15/09/2016 15:01 - SANTANA | CI = 17462 | NOME_FISICO = 1473962453-77175800.pdf | NOME_ORIGINAL = INSS S_ FATURAMENTO.pdf | TAMANHO = 400 | DESCRICAO = INSS S_ FATURAMENTO.pdf
15/09/2016 15:01 - SANTANA | CI = 17462 | NOME_FISICO = 1473962453-79713200.pdf | NOME_ORIGINAL = DOC. SUPORTE.pdf | TAMANHO = 508 | DESCRICAO = DOC. SUPORTE.pdf
15/09/2016 15:05 - SANTANA | CI = 17463 | NOME_FISICO = 1473962672-27175900.pdf | NOME_ORIGINAL = FUNRURAL AGRO.pdf | TAMANHO = 70 | DESCRICAO = FUNRURAL AGRO.pdf
15/09/2016 15:05 - SANTANA | CI = 17463 | NOME_FISICO = 1473962672-29087400.pdf | NOME_ORIGINAL = DOC. SUPORTE.pdf | TAMANHO = 114 | DESCRICAO = DOC. SUPORTE.pdf
15/09/2016 15:15 - ALINEFERREIRA | CI = 17464 | NOME_FISICO = 1473963315-80300800.pdf | NOME_ORIGINAL = Sinistro Frete 416427.pdf | TAMANHO = 8.51 | DESCRICAO = Sinistro Frete 416427
15/09/2016 15:15 - ALINEFERREIRA | CI = 17464 | NOME_FISICO = 1473963332-07417000.pdf | NOME_ORIGINAL = Sinistro NF 198661.pdf | TAMANHO = 8.54 | DESCRICAO = Sinistro NF 198661
16/09/2016 13:19 - ALEXANDRE | CI = 17469 | NOME_FISICO = 1474042616-37325100.pdf | NOME_ORIGINAL = Boleto 22333003 20_09.pdf | TAMANHO = 134 | DESCRICAO = Boleto 22333003 20_09.pdf
16/09/2016 13:19 - ALEXANDRE | CI = 17469 | NOME_FISICO = 1474042622-74825100.pdf | NOME_ORIGINAL = Boleto 22302403 20_09.pdf | TAMANHO = 134 | DESCRICAO = Boleto 22302403 20_09.pdf
16/09/2016 13:19 - ALEXANDRE | CI = 17469 | NOME_FISICO = 1474042628-21700100.pdf | NOME_ORIGINAL = Boleto 22236503 20_09.pdf | TAMANHO = 134 | DESCRICAO = Boleto 22236503 20_09.pdf
16/09/2016 13:40 - RODRIGO_POIT | CI = 17471 | NOME_FISICO = 1474044047-24825200.pdf | NOME_ORIGINAL = EDILSON ALVES - PROC.11658-42.2014 - ATA DE  AUDIÊNCIA.pdf | TAMANHO = 1278 | DESCRICAO = EDILSON ALVES - PROC.11658-42.2014 - ATA DE  AUDIÊNCIA.pdf
16/09/2016 13:40 - RODRIGO_POIT | CI = 17471 | NOME_FISICO = 1474044047-27775500.pdf | NOME_ORIGINAL = CÁLCULO EDILSON ALVES X USINA SANTA FE.pdf | TAMANHO = 1771 | DESCRICAO = CÁLCULO EDILSON ALVES X USINA SANTA FE.pdf
16/09/2016 13:40 - RODRIGO_POIT | CI = 17471 | NOME_FISICO = 1474044047-34910700.msg | NOME_ORIGINAL = ACÓRDÃO PROC.1165814 - EDILSON ALVES.msg | TAMANHO = 79 | DESCRICAO = ACÓRDÃO PROC.1165814 - EDILSON ALVES.msg
16/09/2016 14:25 - RODRIGO_POIT | CI = 17475 | NOME_FISICO = 1474046714-17012600.pdf | NOME_ORIGINAL = AELSON PEREIRA DOS SANTOS - PROC.10120-89.2015 - ATA DE  AUDIÊNCIA.pdf | TAMANHO = 1245 | DESCRICAO = AELSON PEREIRA DOS SANTOS - PROC.10120-89.2015 - ATA DE  AUDIÊNCIA.pdf
16/09/2016 14:25 - RODRIGO_POIT | CI = 17475 | NOME_FISICO = 1474046714-19430300.msg | NOME_ORIGINAL = SENTENÇA PROC. 1012015 - AELSON PEREIRA DOS SANTOS.msg | TAMANHO = 110 | DESCRICAO = SENTENÇA PROC. 1012015 - AELSON PEREIRA DOS SANTOS.msg
16/09/2016 14:25 - RODRIGO_POIT | CI = 17475 | NOME_FISICO = 1474046714-20771500.pdf | NOME_ORIGINAL = 10207 (36).pdf | TAMANHO = 1432 | DESCRICAO = 10207 (36).pdf
16/09/2016 14:25 - RODRIGO_POIT | CI = 17475 | NOME_FISICO = 1474046714-26416200.pdf | NOME_ORIGINAL = PROC 10120-89.2015 - AELSON PEREIRA DOS SANTOS X USINA STA FE_A.pdf | TAMANHO = 338 | DESCRICAO = PROC 10120-89.2015 - AELSON PEREIRA DOS SANTOS X USINA STA FE_A.pdf
16/09/2016 15:21 - FRANCISCO | CI = 17479 | NOME_FISICO = 1474050041-65450200.pdf | NOME_ORIGINAL = BOLETO LETRANS-ONIB.1529.pdf | TAMANHO = 301 | DESCRICAO = BOLETO LETRANS-ONIB.1529.pdf
16/09/2016 15:28 - SUZANA | CI = 17480 | NOME_FISICO = 1474050217-84200100.pdf | NOME_ORIGINAL = Notas.pdf | TAMANHO = 539 | DESCRICAO = Notas.pdf
16/09/2016 16:26 - FRANCISCO | CI = 17482 | NOME_FISICO = 1474053933-79512600.pdf | NOME_ORIGINAL = CUPOM-RON.-14-16-09.pdf | TAMANHO = 479 | DESCRICAO = CUPOM-RON.-14-16-09.pdf
16/09/2016 16:35 - FRANCISCO | CI = 17483 | NOME_FISICO = 1474054528-20137600.pdf | NOME_ORIGINAL = CUPOM-RON-15-09.pdf | TAMANHO = 342 | DESCRICAO = CUPOM-RON-15-09.pdf
17/09/2016 08:41 - VALDINEI | CI = 17485 | NOME_FISICO = 1474112490-38889200.pdf | NOME_ORIGINAL = Conta de Água - Setembro - 2016.pdf | TAMANHO = 479 | DESCRICAO = Conta de Água - Setembro - 2016.pdf
17/09/2016 10:26 - VALDINEI | CI = 17486 | NOME_FISICO = 1474118717-76387600.pdf | NOME_ORIGINAL = Comprovante Sedex a cobrar - 12-09-16.pdf | TAMANHO = 355 | DESCRICAO = Comprovante Sedex a cobrar - 12-09-16.pdf
17/09/2016 10:38 - VALDINEI | CI = 17487 | NOME_FISICO = 1474119501-37325100.pdf | NOME_ORIGINAL = Comprovante Sedex a cobrar - 04-08-16.pdf | TAMANHO = 383 | DESCRICAO = Comprovante Sedex a cobrar - 04-08-16.pdf
17/09/2016 10:53 - VALDINEI | CI = 17488 | NOME_FISICO = 1474119937-74825200.pdf | NOME_ORIGINAL = Boleto - Setembro - 2016.pdf | TAMANHO = 330 | DESCRICAO = Boleto - Setembro - 2016.pdf
19/09/2016 07:56 - SANTANA | CI = 17490 | NOME_FISICO = 1474282589-69551700.rar | NOME_ORIGINAL = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar | TAMANHO = 1174 | DESCRICAO = Parcelamento Cod. 1194 (Art. 1º - PGFN) IPI (safras 1992_1993, 1993_1994 e 1994_1995).rar
19/09/2016 07:56 - SANTANA | CI = 17490 | NOME_FISICO = 1474282589-75543300.rar | NOME_ORIGINAL = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar | TAMANHO = 1176 | DESCRICAO = Parcelamento Cod. 1279 (Art. 1º - RFB) IPI (safras 1997_1998, 1998_1999 e 1999_2000).rar
19/09/2016 07:56 - SANTANA | CI = 17490 | NOME_FISICO = 1474282589-77131600.rar | NOME_ORIGINAL = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2003) e IRPJ (2003).rar | TAMANHO = 1190 | DESCRICAO = Parcelamento Cod. 1285 (Art. 3º - RFB) COFINS (10 e 111997), CSLL (2003) e IRPJ (2003).rar
19/09/2016 08:32 - FERNANDOPIRES | CI = 17491 | NOME_FISICO = 1474284718-24239200.pdf | NOME_ORIGINAL = Boleto Limpadora Veloz - 30-09-2016.pdf | TAMANHO = 80 | DESCRICAO = Boleto Limpadora Veloz - 30-09-2016.pdf
19/09/2016 08:32 - FERNANDOPIRES | CI = 17491 | NOME_FISICO = 1474284718-29592000.pdf | NOME_ORIGINAL = NF Limpadora Veloz - 30-09-2016.pdf | TAMANHO = 101 | DESCRICAO = NF Limpadora Veloz - 30-09-2016.pdf
19/09/2016 08:33 - FERNANDOPIRES | CI = 17492 | NOME_FISICO = 1474284786-60176600.pdf | NOME_ORIGINAL = Boleto Amil - 10-10-2016.pdf | TAMANHO = 162 | DESCRICAO = Boleto Amil - 10-10-2016.pdf
19/09/2016 08:56 - DANILO | CI = 17494 | NOME_FISICO = 1474285976-49894700.PNG | NOME_ORIGINAL = Calculo IRPJ e CSSL Agosto 2016.PNG | TAMANHO = 52 | DESCRICAO = Cálculo Agosto 2016
19/09/2016 08:56 - DANILO | CI = 17494 | NOME_FISICO = 1474285998-30489200.pdf | NOME_ORIGINAL = Apuração Agosto.pdf | TAMANHO = 8.42 | DESCRICAO = Apuração Agosto 2016
19/09/2016 08:56 - DANILO | CI = 17494 | NOME_FISICO = 1474286076-12708900.pdf | NOME_ORIGINAL = Balancete Ago-2016.pdf | TAMANHO = 9.75 | DESCRICAO = Balancete
19/09/2016 10:18 - SANTANA | CI = 17418 | NOME_FISICO = 1474291100-11739200.pdf | NOME_ORIGINAL = Guia ISS.pdf | TAMANHO = 234 | DESCRICAO = Guia ISS.pdf
19/09/2016 10:18 - SANTANA | CI = 17418 | NOME_FISICO = 1474291100-14603400.pdf | NOME_ORIGINAL = Doc. Suporte.pdf | TAMANHO = 209 | DESCRICAO = Doc. Suporte.pdf
19/09/2016 10:36 - SANTANA | CI = 17257 | NOME_FISICO = 1474292165-16808700.pdf | NOME_ORIGINAL = PER-DCOMP.pdf | TAMANHO = 22 | DESCRICAO = PER-DCOMP.pdf
19/09/2016 10:36 - SANTANA | CI = 17257 | NOME_FISICO = 1474292165-26936200.pdf | NOME_ORIGINAL = DARF e Cópia de NOTA.pdf | TAMANHO = 770 | DESCRICAO = DARF e Cópia de NOTA.pdf
19/09/2016 10:40 - SANTANA | CI = 17256 | NOME_FISICO = 1474292390-91906200.pdf | NOME_ORIGINAL = PER-DCOMP.pdf | TAMANHO = 22 | DESCRICAO = PER-DCOMP.pdf
19/09/2016 10:40 - SANTANA | CI = 17256 | NOME_FISICO = 1474292390-97866000.pdf | NOME_ORIGINAL = DARF.pdf | TAMANHO = 208 | DESCRICAO = DARF.pdf
19/09/2016 10:40 - SANTANA | CI = 17256 | NOME_FISICO = 1474292391-00018600.pdf | NOME_ORIGINAL = Nota.pdf | TAMANHO = 270 | DESCRICAO = Nota.pdf
19/09/2016 10:45 - ELTON | CI = 17496 | NOME_FISICO = 1474292698-95031400.pdf | NOME_ORIGINAL = Chaveiro Castelo.pdf | TAMANHO = 232 | DESCRICAO = Chaveiro Castelo.pdf
19/09/2016 11:21 - VALDINEI | CI = 17497 | NOME_FISICO = 1474294774-21691600.pdf | NOME_ORIGINAL = Conta de Energia - Setembro - 2016.pdf | TAMANHO = 401 | DESCRICAO = Conta de Energia - Setembro - 2016.pdf
19/09/2016 11:44 - RONALDOGOMES | CI = 17499 | NOME_FISICO = 1474296237-71691500.pdf | NOME_ORIGINAL = Entrada congresso.pdf | TAMANHO = 238 | DESCRICAO = Entrada congresso.pdf
19/09/2016 11:44 - RONALDOGOMES | CI = 17499 | NOME_FISICO = 1474296237-74600000.pdf | NOME_ORIGINAL = Combustivel.pdf | TAMANHO = 260 | DESCRICAO = Combustivel.pdf
19/09/2016 11:44 - RONALDOGOMES | CI = 17499 | NOME_FISICO = 1474296237-84364800.pdf | NOME_ORIGINAL = Estacionamento.pdf | TAMANHO = 191 | DESCRICAO = Estacionamento.pdf
19/09/2016 11:44 - RONALDOGOMES | CI = 17499 | NOME_FISICO = 1474296237-85766400.pdf | NOME_ORIGINAL = Pedagio.pdf | TAMANHO = 6.85 | DESCRICAO = Pedagio.pdf
19/09/2016 11:48 - RONALDOGOMES | CI = 17500 | NOME_FISICO = 1474296326-46691600.pdf | NOME_ORIGINAL = Entrada congresso.pdf | TAMANHO = 238 | DESCRICAO = Entrada congresso.pdf
19/09/2016 11:48 - RONALDOGOMES | CI = 17500 | NOME_FISICO = 1474296326-49264600.pdf | NOME_ORIGINAL = Combustivel.pdf | TAMANHO = 260 | DESCRICAO = Combustivel.pdf
19/09/2016 11:48 - RONALDOGOMES | CI = 17500 | NOME_FISICO = 1474296326-53635900.pdf | NOME_ORIGINAL = Estacionamento.pdf | TAMANHO = 191 | DESCRICAO = Estacionamento.pdf
19/09/2016 11:48 - RONALDOGOMES | CI = 17500 | NOME_FISICO = 1474296326-55760600.pdf | NOME_ORIGINAL = Pedagio.pdf | TAMANHO = 6.85 | DESCRICAO = Pedagio.pdf
19/09/2016 14:23 - KLEBER | CI = 17502 | NOME_FISICO = 1474305784-87414200.pdf | NOME_ORIGINAL = Empresas - Centro de Integração Empresa-Escola - CIEE.pdf | TAMANHO = 432 | DESCRICAO = Empresas - Centro de Integração Empresa-Escola - CIEE.pdf
19/09/2016 14:23 - KLEBER | CI = 17502 | NOME_FISICO = 1474305789-76476700.pdf | NOME_ORIGINAL = Boleto de Cobrança CIEE.pdf | TAMANHO = 122 | DESCRICAO = Boleto de Cobrança CIEE.pdf
19/09/2016 15:28 - FRANCISCO | CI = 17504 | NOME_FISICO = 1474309693-74914100.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
19/09/2016 15:55 - SANTANA | CI = 17505 | NOME_FISICO = 1474310621-85851600.rar | NOME_ORIGINAL = Parcelamento PPI - Roberto.rar | TAMANHO = 53 | DESCRICAO = Parcelamento PPI - Roberto.rar
19/09/2016 16:22 - SANTANA | CI = 17418 | NOME_FISICO = 1474312924-88976600.PDF | NOME_ORIGINAL = Guia ISS.PDF | TAMANHO = 55 | DESCRICAO = Guia ISS.PDF
20/09/2016 09:36 - VELOSA | CI = 17511 | NOME_FISICO = 1474374854-35168000.pdf | NOME_ORIGINAL = Comprovante de Parcelamento.pdf | TAMANHO = 129 | DESCRICAO = Comprovante de Parcelamento.pdf
20/09/2016 09:36 - VELOSA | CI = 17511 | NOME_FISICO = 1474374854-39640800.pdf | NOME_ORIGINAL = MM2 - GIA.pdf | TAMANHO = 22 | DESCRICAO = MM2 - GIA.pdf
20/09/2016 09:36 - VELOSA | CI = 17511 | NOME_FISICO = 1474374854-41040500.pdf | NOME_ORIGINAL = MM2 - SGI.pdf | TAMANHO = 8.06 | DESCRICAO = MM2 - SGI.pdf
20/09/2016 09:36 - VELOSA | CI = 17511 | NOME_FISICO = 1474374854-42405000.pdf | NOME_ORIGINAL = Simulação de Parcelamento.pdf | TAMANHO = 170 | DESCRICAO = Simulação de Parcelamento.pdf
20/09/2016 09:55 - FRANCISCO | CI = 17512 | NOME_FISICO = 1474375891-16418100.pdf | NOME_ORIGINAL = CUPOM-AIRT.16-09.pdf | TAMANHO = 379 | DESCRICAO = CUPOM-AIRT.16-09.pdf
20/09/2016 10:06 - VALDINEI | CI = 17513 | NOME_FISICO = 1474376778-27355500.pdf | NOME_ORIGINAL = Conta de Energia - Setembro - 2016.pdf | TAMANHO = 586 | DESCRICAO = Conta de Energia - Setembro - 2016.pdf
20/09/2016 10:07 - FRANCISCO | CI = 17514 | NOME_FISICO = 1474376811-42980500.pdf | NOME_ORIGINAL = AUTO INF.1K114519-4.pdf | TAMANHO = 543 | DESCRICAO = AUTO INF.1K114519-4.pdf
20/09/2016 16:31 - ZEZE | CI = 17520 | NOME_FISICO = 1474399865-24230500.pdf | NOME_ORIGINAL = Patrocinio Anderson.pdf | TAMANHO = 31 | DESCRICAO = Patrocinio Anderson.pdf
21/09/2016 13:31 - DANILO | CI = 17526 | NOME_FISICO = 1474475341-60168000.pdf | NOME_ORIGINAL = COMPROVANTE.pdf | TAMANHO = 425 | DESCRICAO = COMPROVANTE.pdf
21/09/2016 14:35 - ZEZE | CI = 17530 | NOME_FISICO = 1474479305-17980500.pdf | NOME_ORIGINAL = Ofício Fabiane.pdf | TAMANHO = 318 | DESCRICAO = Ofício Fabiane.pdf
21/09/2016 14:57 - KLEBER | CI = 17532 | NOME_FISICO = 1474480598-92980600.pdf | NOME_ORIGINAL = doc05621620160921170246.pdf | TAMANHO = 827 | DESCRICAO = doc05621620160921170246.pdf
21/09/2016 16:03 - STEFANIAESTEVO | CI = 17535 | NOME_FISICO = 1474484541-96105500.pdf | NOME_ORIGINAL = NOTA.pdf | TAMANHO = 340 | DESCRICAO = NOTA
21/09/2016 16:13 - VELOSA | CI = 17536 | NOME_FISICO = 1474485104-10168000.pdf | NOME_ORIGINAL = Recibo.pdf | TAMANHO = 375 | DESCRICAO = Recibo.pdf
21/09/2016 17:03 - SANTANA | CI = 17537 | NOME_FISICO = 1474488168-99230500.pdf | NOME_ORIGINAL = GPS.pdf | TAMANHO = 2356 | DESCRICAO = GPS.pdf
22/09/2016 07:19 - SANTANA | CI = 17537 | NOME_FISICO = 1474539543-02425100.pdf | NOME_ORIGINAL = FUNRURAL AGRO.pdf | TAMANHO = 70 | DESCRICAO = FUNRURAL AGRO.pdf
22/09/2016 07:53 - RODRIGO_POIT | CI = 17539 | NOME_FISICO = 1474541578-89925100.pdf | NOME_ORIGINAL = despesas viagem.pdf | TAMANHO = 1563 | DESCRICAO = despesas viagem.pdf
22/09/2016 08:39 - FRANCISCO | CI = 17544 | NOME_FISICO = 1474544311-96175200.pdf | NOME_ORIGINAL = CUPOM-AIRT -21-09.pdf | TAMANHO = 382 | DESCRICAO = CUPOM-AIRT -21-09.pdf
22/09/2016 11:55 - DONIZETE | CI = 17547 | NOME_FISICO = 1474556143-43050100.pdf | NOME_ORIGINAL = ocpr0005.pdf | TAMANHO = 79 | DESCRICAO = ocpr0005.pdf
22/09/2016 13:04 - SANTANA | CI = 17548 | NOME_FISICO = 1474560283-60237600.pdf | NOME_ORIGINAL = Resumo Apuração IPI II.pdf | TAMANHO = 324 | DESCRICAO = Resumo Apuração IPI II.pdf
22/09/2016 13:04 - SANTANA | CI = 17548 | NOME_FISICO = 1474560283-62794000.pdf | NOME_ORIGINAL = Registro Apuração IPI.pdf | TAMANHO = 42 | DESCRICAO = Registro Apuração IPI.pdf
22/09/2016 13:04 - SANTANA | CI = 17548 | NOME_FISICO = 1474560283-65817900.pdf | NOME_ORIGINAL = DARF.pdf | TAMANHO = 442 | DESCRICAO = DARF.pdf
22/09/2016 15:10 - FRANCISCO | CI = 17551 | NOME_FISICO = 1474567805-10237600.pdf | NOME_ORIGINAL = CUPOM-RON - 20-09.pdf | TAMANHO = 354 | DESCRICAO = CUPOM-RON - 20-09.pdf
22/09/2016 16:57 - RODRIGO_POIT | CI = 17539 | NOME_FISICO = 1474574194-72737600.pdf | NOME_ORIGINAL = cópia de processo.pdf | TAMANHO = 246 | DESCRICAO = cópia de processo.pdf
23/09/2016 10:21 - ALINEFERREIRA | CI = 17554 | NOME_FISICO = 1474636858-72737600.pdf | NOME_ORIGINAL = Sinistro - NF 199384.pdf | TAMANHO = 8.54 | DESCRICAO = Sinistro - NF 199384
23/09/2016 10:36 - STEFANIAESTEVO | CI = 17555 | NOME_FISICO = 1474637789-46175200.pdf | NOME_ORIGINAL = NOTAS PAULO CORRETOR.pdf | TAMANHO = 1034 | DESCRICAO = NOTAS
23/09/2016 11:18 - LUISMORETTI | CI = 17558 | NOME_FISICO = 1474640282-16487600.pdf | NOME_ORIGINAL = Viagem.pdf | TAMANHO = 266 | DESCRICAO = Viagem.pdf
23/09/2016 11:52 - RODRIGO_POIT | CI = 17559 | NOME_FISICO = 1474642188-96272700.pdf | NOME_ORIGINAL = 01092016 RECIBO Usina Iuna.pdf | TAMANHO = 7.05 | DESCRICAO = 01092016 RECIBO Usina Iuna.pdf
23/09/2016 14:13 - VALDINEI | CI = 17562 | NOME_FISICO = 1474650702-65022800.pdf | NOME_ORIGINAL = Boleto - Setembro - 2016.pdf | TAMANHO = 382 | DESCRICAO = Boleto - Setembro - 2016.pdf
23/09/2016 14:18 - VALDINEI | CI = 17564 | NOME_FISICO = 1474651074-47835200.pdf | NOME_ORIGINAL = Boleto Condomínio - 02-10-16.pdf | TAMANHO = 473 | DESCRICAO = Boleto Condomínio - 02-10-16.pdf
23/09/2016 14:20 - VALDINEI | CI = 17566 | NOME_FISICO = 1474651228-08772700.pdf | NOME_ORIGINAL = GARAGEM PRESIDENTE - UNID G16 OUTUBRO-2016.pdf | TAMANHO = 472 | DESCRICAO = GARAGEM PRESIDENTE - UNID G16 OUTUBRO-2016.pdf
23/09/2016 14:20 - MICHELAAUGUSTO | CI = 17563 | NOME_FISICO = 1474651249-94710200.pdf | NOME_ORIGINAL = Reembolso Unimed.pdf | TAMANHO = 279 | DESCRICAO = Reembolso Unimed.pdf
26/09/2016 08:10 - LARISSALIMA | CI = 17571 | NOME_FISICO = 1474888247-50960200.pdf | NOME_ORIGINAL = doc08309720160924134839.pdf | TAMANHO = 530 | DESCRICAO = doc08309720160924134839.pdf
26/09/2016 08:10 - LARISSALIMA | CI = 17571 | NOME_FISICO = 1474888247-53880900.pdf | NOME_ORIGINAL = doc08309820160924135048.pdf | TAMANHO = 480 | DESCRICAO = doc08309820160924135048.pdf
26/09/2016 08:12 - TIAGOCHIMINI | CI = 17572 | NOME_FISICO = 1474888087-27522800.pdf | NOME_ORIGINAL = doc08312020160926102821.pdf | TAMANHO = 340 | DESCRICAO = doc08312020160926102821.pdf
26/09/2016 09:32 - RODRIGO_POIT | CI = 17577 | NOME_FISICO = 1474893005-85335200.pdf | NOME_ORIGINAL = DEBSON DE ANDRADE SEGURA RUIZ - PROC.11946-53.2015.0081 - ATA DE CONCILIAÇÃO.pdf | TAMANHO = 257 | DESCRICAO = DEBSON DE ANDRADE SEGURA RUIZ - PROC.11946-53.2015.0081 - ATA DE CONCILIAÇÃO.pdf
26/09/2016 09:32 - RODRIGO_POIT | CI = 17577 | NOME_FISICO = 1474893005-88511500.pdf | NOME_ORIGINAL = Cálculo de Liquidação.pdf | TAMANHO = 1114 | DESCRICAO = Cálculo de Liquidação.pdf
26/09/2016 10:21 - RODRIGO_POIT | CI = 17580 | NOME_FISICO = 1474896086-15022700.pdf | NOME_ORIGINAL = NATANAEL FERREIRA - PROC.11585-70.2014.0081 - ATA DE CONCILIAÇÃO.pdf | TAMANHO = 282 | DESCRICAO = NATANAEL FERREIRA - PROC.11585-70.2014.0081 - ATA DE CONCILIAÇÃO.pdf
26/09/2016 10:21 - RODRIGO_POIT | CI = 17580 | NOME_FISICO = 1474896086-17359700.msg | NOME_ORIGINAL = Conta Advogados.msg | TAMANHO = 43 | DESCRICAO = Conta Advogados.msg
26/09/2016 10:21 - RODRIGO_POIT | CI = 17580 | NOME_FISICO = 1474896086-18907600.pdf | NOME_ORIGINAL = Cálculo de liquidação.pdf | TAMANHO = 421 | DESCRICAO = Cálculo de liquidação.pdf
26/09/2016 14:28 - ELISSANDRA | CI = 17588 | NOME_FISICO = 1474910883-85335200.pdf | NOME_ORIGINAL = doc12347120160926165311.pdf | TAMANHO = 210 | DESCRICAO = doc12347120160926165311.pdf
26/09/2016 17:49 - LUISMORETTI | CI = 17594 | NOME_FISICO = 1474922933-35335200.pdf | NOME_ORIGINAL = Ribeirão Preto.pdf | TAMANHO = 310 | DESCRICAO = Ribeirão Preto.pdf
27/09/2016 10:33 - ELISSANDRA | CI = 17600 | NOME_FISICO = 1474983144-80647700.pdf | NOME_ORIGINAL = doc12354820160927113830.pdf | TAMANHO = 253 | DESCRICAO = doc12354820160927113830.pdf
27/09/2016 10:35 - ELISSANDRA | CI = 17601 | NOME_FISICO = 1474983306-29085300.pdf | NOME_ORIGINAL = doc12351520160927095050.pdf | TAMANHO = 2694 | DESCRICAO = doc12351520160927095050.pdf
27/09/2016 10:37 - ELISSANDRA | CI = 17602 | NOME_FISICO = 1474983414-16585200.pdf | NOME_ORIGINAL = doc12350720160927094015.pdf | TAMANHO = 283 | DESCRICAO = doc12350720160927094015.pdf
27/09/2016 13:09 - AREIAS | CI = 17608 | NOME_FISICO = 1474992523-36897700.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
27/09/2016 13:45 - ELISSANDRA | CI = 17610 | NOME_FISICO = 1474994636-97835200.pdf | NOME_ORIGINAL = doc12359220160927160716.pdf | TAMANHO = 195 | DESCRICAO = doc12359220160927160716.pdf
27/09/2016 16:41 - VALDINEI | CI = 17614 | NOME_FISICO = 1475004634-05962700.pdf | NOME_ORIGINAL = Orçamento Uno - 26-09-16.pdf | TAMANHO = 253 | DESCRICAO = Orçamento Uno - 26-09-16.pdf
27/09/2016 16:41 - VALDINEI | CI = 17614 | NOME_FISICO = 1475004644-52837600.pdf | NOME_ORIGINAL = Status - Projeto - 9.05.358.pdf | TAMANHO = 75 | DESCRICAO = Status - Projeto - 9.05.358.pdf
28/09/2016 09:00 - LUISMOREIRA | CI = 17620 | NOME_FISICO = 1475063916-88775100.pdf | NOME_ORIGINAL = DESPESAS.pdf | TAMANHO = 386 | DESCRICAO = DESPESAS.pdf
28/09/2016 09:00 - LUISMOREIRA | CI = 17620 | NOME_FISICO = 1475063932-27837700.pdf | NOME_ORIGINAL = DESPESAS 1.pdf | TAMANHO = 382 | DESCRICAO = DESPESAS 1.pdf
28/09/2016 09:20 - FERNANDOPIRES | CI = 17622 | NOME_FISICO = 1475065214-79400100.pdf | NOME_ORIGINAL = Aluguel do escritório de SP - vencimento - 05-10-16.pdf | TAMANHO = 212 | DESCRICAO = Aluguel do escritório de SP - vencimento - 05-10-16.pdf
28/09/2016 10:28 - ALEXANDRE | CI = 17624 | NOME_FISICO = 1475069147-01275100.xlsx | NOME_ORIGINAL = Planilha de lance Consorcio Maggi_Usina Santa Fé.xlsx | TAMANHO = 12 | DESCRICAO = Planilha de lance Consorcio Maggi_Usina Santa Fé.xlsx
28/09/2016 10:36 - DONIZETE | CI = 17625 | NOME_FISICO = 1475069759-48150200.pdf | NOME_ORIGINAL = ocpr0005.pdf | TAMANHO = 166 | DESCRICAO = ocpr0005.pdf
28/09/2016 14:12 - VALDINEI | CI = 17629 | NOME_FISICO = 1475082642-40337600.pdf | NOME_ORIGINAL = Boleto Tarifa AET - Caminhão 2218 - FQD-1899.pdf | TAMANHO = 399 | DESCRICAO = Boleto Tarifa AET - Caminhão 2218 - FQD-1899.pdf
