02/01/2017 08:47 - FRANCISCO | CI = 18800 | NOME_FISICO = 1483354019-53625100.pdf | NOME_ORIGINAL = CUPOM-RON.-29-12.pdf | TAMANHO = 407 | DESCRICAO = CUPOM-RON.-29-12.pdf
18/01/2017 14:38 - STEFANIAESTEVO | CI = 19049 | NOME_FISICO = 1484757496-70818100.pdf | NOME_ORIGINAL = CUPOM FISCAL 18.01.pdf | TAMANHO = 534 | DESCRICAO = CUPOM FISCAL
18/01/2017 15:20 - KLEBER | CI = 19050 | NOME_FISICO = 1484760036-67693000.pdf | NOME_ORIGINAL = Comprovante.pdf | TAMANHO = 52 | DESCRICAO = Comprovante.pdf
19/01/2017 07:17 - DANILO | CI = 19053 | NOME_FISICO = 1484817324-52068000.pdf | NOME_ORIGINAL = Boletos CRC.pdf | TAMANHO = 734 | DESCRICAO = Boletos CRC.pdf
19/01/2017 10:49 - ELISSANDRA | CI = 19054 | NOME_FISICO = 1484829944-63005500.pdf | NOME_ORIGINAL = doc13161920170119115142.pdf | TAMANHO = 586 | DESCRICAO = doc13161920170119115142.pdf
19/01/2017 10:54 - ELISSANDRA | CI = 19055 | NOME_FISICO = 1484830339-22380500.pdf | NOME_ORIGINAL = doc13162520170119121309.pdf | TAMANHO = 234 | DESCRICAO = doc13162520170119121309.pdf
19/01/2017 13:48 - SANTANA | CI = 19056 | NOME_FISICO = 1484840921-25505500.pdf | NOME_ORIGINAL = Relação Matrículas Solicitadas..pdf | TAMANHO = 80 | DESCRICAO = Relação Matrículas Solicitadas..pdf
19/01/2017 13:48 - SANTANA | CI = 19056 | NOME_FISICO = 1484840921-28087800.PDF | NOME_ORIGINAL = Boleto - Pedido Protocolo_ 8296149-57.PDF | TAMANHO = 64 | DESCRICAO = Boleto - Pedido Protocolo_ 8296149-57.PDF
19/01/2017 14:45 - SANTANA | CI = 19057 | NOME_FISICO = 1484844124-47380500.pdf | NOME_ORIGINAL = RESUMO MATRÍCULAS.pdf | TAMANHO = 9.07 | DESCRICAO = RESUMO MATRÍCULAS.pdf
19/01/2017 14:45 - SANTANA | CI = 19057 | NOME_FISICO = 1484844271-24474700.msg | NOME_ORIGINAL = E-mail solcitando Cópia de Matrícula.msg | TAMANHO = 69 | DESCRICAO = E-mail solcitando Cópia de Matrícula.msg
19/01/2017 15:07 - SANTANA | CI = 19058 | NOME_FISICO = 1484845593-83318000.pdf | NOME_ORIGINAL = Relação Matriculas Cartório Ibitinga.pdf | TAMANHO = 5.58 | DESCRICAO = Relação Matriculas Cartório Ibitinga.pdf
19/01/2017 15:07 - SANTANA | CI = 19058 | NOME_FISICO = 1484845593-85090200.msg | NOME_ORIGINAL = E-mail solcitando Cópia de Matrícula.msg | TAMANHO = 49 | DESCRICAO = E-mail solcitando Cópia de Matrícula.msg
20/01/2017 07:38 - ELISSANDRA | CI = 19063 | NOME_FISICO = 1484904959-16130500.pdf | NOME_ORIGINAL = doc13171920170120085636.pdf | TAMANHO = 558 | DESCRICAO = doc13171920170120085636.pdf
20/01/2017 07:45 - ELISSANDRA | CI = 19064 | NOME_FISICO = 1484905464-73943100.pdf | NOME_ORIGINAL = doc13172220170120090427.pdf | TAMANHO = 823 | DESCRICAO = doc13172220170120090427.pdf
20/01/2017 07:59 - VALDEREZ | CI = 19065 | NOME_FISICO = 1484906261-20818100.PDF | NOME_ORIGINAL = Pensão para 20012017.PDF | TAMANHO = 9.61 | DESCRICAO = pensionistas 
20/01/2017 09:07 - STEFANIAESTEVO | CI = 19069 | NOME_FISICO = 1484910472-17693100.pdf | NOME_ORIGINAL = CUPOM FISCAL 20-01 BRUNO.pdf | TAMANHO = 256 | DESCRICAO = CUPOM FISCAL
20/01/2017 12:38 - ERIC | CI = 19071 | NOME_FISICO = 1484923076-45818000.pdf | NOME_ORIGINAL = 9.05.313 - REFORMA AREA DOS MOTORISTAS.pdf | TAMANHO = 242 | DESCRICAO = Status do projeto 
20/01/2017 13:39 - FRANCISCO | CI = 19073 | NOME_FISICO = 1484926648-88005600.pdf | NOME_ORIGINAL = CUPOM-AIRT 19-01.pdf | TAMANHO = 325 | DESCRICAO = CUPOM-AIRT 19-01.pdf
20/01/2017 15:41 - MATHEUSRODRIGUES | CI = 19074 | NOME_FISICO = 1484934054-83318100.pdf | NOME_ORIGINAL = doc08829620170120171041.pdf | TAMANHO = 251 | DESCRICAO = Nota
21/01/2017 08:37 - LUISMORETTI | CI = 19076 | NOME_FISICO = 1484995044-41228200.pdf | NOME_ORIGINAL = Horta 1.pdf | TAMANHO = 227 | DESCRICAO = Horta 1.pdf
21/01/2017 10:33 - LUISMORETTI | CI = 19077 | NOME_FISICO = 1485001987-75603300.pdf | NOME_ORIGINAL = horta 2.pdf | TAMANHO = 224 | DESCRICAO = horta 2.pdf
23/01/2017 10:31 - FRANCISCO | CI = 19094 | NOME_FISICO = 1485174654-75700900.pdf | NOME_ORIGINAL = CUPOM-RON. 19-01.pdf | TAMANHO = 350 | DESCRICAO = CUPOM-RON. 19-01.pdf
23/01/2017 10:31 - FRANCISCO | CI = 19094 | NOME_FISICO = 1485174677-93296800.pdf | NOME_ORIGINAL = CUPOM-RON. 20-01.pdf | TAMANHO = 373 | DESCRICAO = CUPOM-RON. 20-01.pdf
23/01/2017 10:42 - FRANCISCO | CI = 19095 | NOME_FISICO = 1485175294-91325800.pdf | NOME_ORIGINAL = CUPOM-PED.RON.-19-01.pdf | TAMANHO = 302 | DESCRICAO = CUPOM-PED.RON.-19-01.pdf
23/01/2017 14:39 - KLEBER | CI = 19101 | NOME_FISICO = 1485189585-19450800.pdf | NOME_ORIGINAL = 2224_001.pdf | TAMANHO = 73 | DESCRICAO = 2224_001.pdf
23/01/2017 14:51 - ROBSONMANFRIM | CI = 19103 | NOME_FISICO = 1485190256-02263300.pdf | NOME_ORIGINAL = Anuidade CRC 2017.pdf | TAMANHO = 106 | DESCRICAO = Anuidade CRC 2017.pdf
24/01/2017 10:28 - REGI | CI = 19115 | NOME_FISICO = 1485260876-75993900.pdf | NOME_ORIGINAL = doc08841520170124120048.pdf | TAMANHO = 219 | DESCRICAO = doc08841520170124120048.pdf
24/01/2017 10:31 - REGI | CI = 19116 | NOME_FISICO = 1485261098-52556300.pdf | NOME_ORIGINAL = doc08841620170124120509.pdf | TAMANHO = 295 | DESCRICAO = doc08841620170124120509.pdf
24/01/2017 10:35 - FRANCISCO | CI = 19117 | NOME_FISICO = 1485261315-21306300.pdf | NOME_ORIGINAL = DETRAN  - TAXAS E SERVIÇOS-2017.pdf | TAMANHO = 364 | DESCRICAO = DETRAN  - TAXAS E SERVIÇOS-2017.pdf
24/01/2017 10:36 - REGI | CI = 19118 | NOME_FISICO = 1485261405-86931300.pdf | NOME_ORIGINAL = doc08841720170124120937.pdf | TAMANHO = 452 | DESCRICAO = doc08841720170124120937.pdf
24/01/2017 10:38 - FERNANDOPIRES | CI = 19119 | NOME_FISICO = 1485261513-15056300.pdf | NOME_ORIGINAL = Amil - 10-02-2017.pdf | TAMANHO = 83 | DESCRICAO = Amil - 10-02-2017.pdf
24/01/2017 10:40 - FERNANDOPIRES | CI = 19120 | NOME_FISICO = 1485261602-21306300.pdf | NOME_ORIGINAL = Boleto Limpadora Veloz - 30-01-17.pdf | TAMANHO = 35 | DESCRICAO = Boleto Limpadora Veloz - 30-01-17.pdf
24/01/2017 10:40 - FERNANDOPIRES | CI = 19120 | NOME_FISICO = 1485261602-23996400.pdf | NOME_ORIGINAL = NF Limpadora Veloz jan 17.pdf | TAMANHO = 99 | DESCRICAO = NF Limpadora Veloz jan 17.pdf
24/01/2017 10:49 - REGI | CI = 19122 | NOME_FISICO = 1485262166-58806300.pdf | NOME_ORIGINAL = doc08842020170124122236.pdf | TAMANHO = 280 | DESCRICAO = doc08842020170124122236.pdf
24/01/2017 13:20 - VALDINEI | CI = 19123 | NOME_FISICO = 1485271155-19743900.pdf | NOME_ORIGINAL = Boleto Ciesp - Janeiro - 2017.pdf | TAMANHO = 326 | DESCRICAO = Boleto Ciesp - Janeiro - 2017.pdf
24/01/2017 15:12 - VELOSA | CI = 19124 | NOME_FISICO = 1485277884-79118800.pdf | NOME_ORIGINAL = Usina.pdf | TAMANHO = 527 | DESCRICAO = Usina.pdf
24/01/2017 15:12 - VELOSA | CI = 19124 | NOME_FISICO = 1485277896-77556300.pdf | NOME_ORIGINAL = Usina_1.pdf | TAMANHO = 339 | DESCRICAO = Usina_1.pdf
24/01/2017 15:17 - VELOSA | CI = 19125 | NOME_FISICO = 1485278204-44743800.pdf | NOME_ORIGINAL = Agro.pdf | TAMANHO = 527 | DESCRICAO = Agro.pdf
24/01/2017 15:17 - VELOSA | CI = 19125 | NOME_FISICO = 1485278212-16618700.pdf | NOME_ORIGINAL = Agro_1.pdf | TAMANHO = 527 | DESCRICAO = Agro_1.pdf
24/01/2017 15:17 - VELOSA | CI = 19125 | NOME_FISICO = 1485278221-63493800.pdf | NOME_ORIGINAL = Agro_2.pdf | TAMANHO = 531 | DESCRICAO = Agro_2.pdf
25/01/2017 07:31 - VELOSA | CI = 19127 | NOME_FISICO = 1485336588-57732100.pdf | NOME_ORIGINAL = Doc.pdf | TAMANHO = 326 | DESCRICAO = Doc.pdf
25/01/2017 10:27 - FRANCISCO | CI = 19130 | NOME_FISICO = 1485347238-54607100.pdf | NOME_ORIGINAL = DETRAN  - TAXAS E SERVIÇOS-2017.pdf | TAMANHO = 364 | DESCRICAO = DETRAN  - TAXAS E SERVIÇOS-2017.pdf
26/01/2017 07:44 - ELISSANDRA | CI = 19135 | NOME_FISICO = 1485423841-11250100.pdf | NOME_ORIGINAL = doc13219020170126090518.pdf | TAMANHO = 366 | DESCRICAO = doc13219020170126090518.pdf
26/01/2017 08:41 - REGI | CI = 19137 | NOME_FISICO = 1485425921-08125100.pdf | NOME_ORIGINAL = doc08852520170126095058.pdf | TAMANHO = 2296 | DESCRICAO = doc08852520170126095058.pdf
26/01/2017 13:33 - FRANCISCO | CI = 19147 | NOME_FISICO = 1485444711-73750200.pdf | NOME_ORIGINAL = CUPOM-AIRT.23-01.pdf | TAMANHO = 384 | DESCRICAO = CUPOM-AIRT.23-01.pdf
26/01/2017 13:33 - FRANCISCO | CI = 19147 | NOME_FISICO = 1485444720-90937700.pdf | NOME_ORIGINAL = CUPOM-AIRT-25-01.pdf | TAMANHO = 326 | DESCRICAO = CUPOM-AIRT-25-01.pdf
26/01/2017 14:13 - MARTA | CI = 19149 | NOME_FISICO = 1485447228-39375100.pdf | NOME_ORIGINAL = Despesa 25 01 2017.pdf | TAMANHO = 351 | DESCRICAO = Despesa viagem
26/01/2017 15:34 - ERIKAOLIVEIRA | CI = 19151 | NOME_FISICO = 1485451808-51875100.pdf | NOME_ORIGINAL = Apuração Dezembro.pdf | TAMANHO = 11 | DESCRICAO = Apuração Dezembro.pdf
26/01/2017 15:34 - ERIKAOLIVEIRA | CI = 19151 | NOME_FISICO = 1485451821-86250200.pdf | NOME_ORIGINAL = Balancete Dez-2016.pdf | TAMANHO = 9.96 | DESCRICAO = Balancete Dez-2016.pdf
26/01/2017 15:34 - ERIKAOLIVEIRA | CI = 19151 | NOME_FISICO = 1485452034-40937600.png | NOME_ORIGINAL = Calculo IRPJ e CSSL Dezembro 2016.png | TAMANHO = 184 | DESCRICAO = Calculo IRPJ e CSSL Dezembro 2016.png
26/01/2017 16:09 - FRANCISCO | CI = 19152 | NOME_FISICO = 1485454151-69062600.pdf | NOME_ORIGINAL = CUPOM-RON-25-01.pdf | TAMANHO = 298 | DESCRICAO = CUPOM-RON-25-01.pdf
26/01/2017 16:09 - FRANCISCO | CI = 19152 | NOME_FISICO = 1485454175-91874700.pdf | NOME_ORIGINAL = CUPOM-RON-25-01-02.pdf | TAMANHO = 386 | DESCRICAO = CUPOM-RON-25-01-02.pdf
26/01/2017 16:10 - FERNANDOPIRES | CI = 19153 | NOME_FISICO = 1485454170-17500100.pdf | NOME_ORIGINAL = Conserto Aquecedor apto Guarujá.pdf | TAMANHO = 212 | DESCRICAO = Conserto Aquecedor apto Guarujá.pdf
26/01/2017 16:27 - FRANCISCO | CI = 19154 | NOME_FISICO = 1485455112-33125100.pdf | NOME_ORIGINAL = CUPOM-PED.RON.-03-25.pdf | TAMANHO = 361 | DESCRICAO = CUPOM-PED.RON.-03-25.pdf
26/01/2017 16:27 - FRANCISCO | CI = 19154 | NOME_FISICO = 1485455145-52216300.pdf | NOME_ORIGINAL = CUPOM-PED.RON.04-25.pdf | TAMANHO = 260 | DESCRICAO = CUPOM-PED.RON.04-25.pdf
26/01/2017 16:42 - FRANCISCO | CI = 19155 | NOME_FISICO = 1485456122-97187600.pdf | NOME_ORIGINAL = DETRAN  - TAXAS E SERVIÇOS-2017.pdf | TAMANHO = 364 | DESCRICAO = DETRAN  - TAXAS E SERVIÇOS-2017.pdf
26/01/2017 16:56 - VALDINEI | CI = 19156 | NOME_FISICO = 1485456933-03437700.pdf | NOME_ORIGINAL = Boleto - IPTU - 2015.pdf | TAMANHO = 208 | DESCRICAO = Boleto - IPTU - 2015.pdf
26/01/2017 17:01 - KLEBER | CI = 19157 | NOME_FISICO = 1485457309-26875200.pdf | NOME_ORIGINAL = Santa Fé_R$1800,00_07-04-2017.pdf | TAMANHO = 134 | DESCRICAO = Santa Fé_R$1800,00_07-04-2017.pdf
26/01/2017 17:06 - VALDINEI | CI = 19158 | NOME_FISICO = 1485457544-22187600.pdf | NOME_ORIGINAL = GARAGEM PRESIDENTE - UNID G16 FEVEREIRO-2017.pdf | TAMANHO = 423 | DESCRICAO = GARAGEM PRESIDENTE - UNID G16 FEVEREIRO-2017.pdf
26/01/2017 17:08 - VALDINEI | CI = 19159 | NOME_FISICO = 1485457696-39375100.pdf | NOME_ORIGINAL = Boleto - Fevereiro - 2017.pdf | TAMANHO = 505 | DESCRICAO = Boleto - Fevereiro - 2017.pdf
26/01/2017 17:10 - VALDINEI | CI = 19160 | NOME_FISICO = 1485457814-19062600.pdf | NOME_ORIGINAL = Boleto Condomínio - 02-02-17.pdf | TAMANHO = 516 | DESCRICAO = Boleto Condomínio - 02-02-17.pdf
27/01/2017 07:18 - KLEBER | CI = 19161 | NOME_FISICO = 1485508712-30000100.pdf | NOME_ORIGINAL = Seguro Saude 06.02.2017.pdf | TAMANHO = 97 | DESCRICAO = Seguro Saude 06.02.2017.pdf
27/01/2017 09:06 - FERNANDOPIRES | CI = 19165 | NOME_FISICO = 1485515155-06562700.pdf | NOME_ORIGINAL = FF - despesas diversas - 27-01-17.pdf | TAMANHO = 133 | DESCRICAO = FF - despesas diversas - 27-01-17.pdf
27/01/2017 10:34 - FERNANDOPIRES | CI = 19166 | NOME_FISICO = 1485520431-67500100.pdf | NOME_ORIGINAL = Boleto FMU - 07-02-2017.pdf | TAMANHO = 16 | DESCRICAO = Boleto FMU - 07-02-2017.pdf
27/01/2017 10:35 - VALDEREZ | CI = 19167 | NOME_FISICO = 1485520487-03437700.pdf | NOME_ORIGINAL = documento Jonas Henrique.pdf | TAMANHO = 1979 | DESCRICAO = documentos a mae
27/01/2017 14:05 - ERIKAOLIVEIRA | CI = 19170 | NOME_FISICO = 1485533103-72187500.pdf | NOME_ORIGINAL = FRANÇA E NUNES.pdf | TAMANHO = 779 | DESCRICAO = FRANÇA E NUNES.pdf
29/01/2017 18:58 - REGI | CI = 19173 | NOME_FISICO = 1485723508-50512600.xlsx | NOME_ORIGINAL = 3º Lote Férias - 29_01_17.xlsx | TAMANHO = 14 | DESCRICAO = 3º Lote Férias - 29_01_17.xlsx
30/01/2017 08:50 - VALDINEI | CI = 19174 | NOME_FISICO = 1485773396-70825100.pdf | NOME_ORIGINAL = Boleto - Fevereiro - 2017.pdf | TAMANHO = 505 | DESCRICAO = Boleto - Fevereiro - 2017.pdf
30/01/2017 09:02 - FRANCISCO | CI = 19175 | NOME_FISICO = 1485774118-50512700.pdf | NOME_ORIGINAL = CUPOM-AIRT - 29-12-N.pdf | TAMANHO = 285 | DESCRICAO = CUPOM-AIRT - 29-12-N.pdf
30/01/2017 09:12 - FRANCISCO | CI = 19176 | NOME_FISICO = 1485774747-41137600.pdf | NOME_ORIGINAL = AUTO-INF. 10670583-4.pdf | TAMANHO = 515 | DESCRICAO = AUTO-INF. 10670583-4.pdf
30/01/2017 15:16 - RODRIGO_POIT | CI = 19184 | NOME_FISICO = 1485796480-86275100.pdf | NOME_ORIGINAL = Sentença.pdf | TAMANHO = 342 | DESCRICAO = Sentença.pdf
30/01/2017 15:16 - RODRIGO_POIT | CI = 19184 | NOME_FISICO = 1485796480-90075800.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 0112 - JAIR REBOLO.msg | TAMANHO = 53 | DESCRICAO = PUBLICAÇÃO PROC. 0112 - JAIR REBOLO.msg
30/01/2017 17:17 - TIAGOCHIMINI | CI = 19185 | NOME_FISICO = 1485803803-28462700.275 | NOME_ORIGINAL = 9.05.275 | TAMANHO = 168 | DESCRICAO = 9.05.275
31/01/2017 07:14 - ROSEMEIRESGOTI | CI = 19186 | NOME_FISICO = 1485854054-62837700.pdf | NOME_ORIGINAL = doc13262020170131083333.pdf | TAMANHO = 679 | DESCRICAO = doc13262020170131083333.pdf
31/01/2017 07:17 - SANTANA | CI = 19187 | NOME_FISICO = 1485854093-51900200.pdf | NOME_ORIGINAL = Recibo de Pagamento - Cartório Rib. Bonito.pdf | TAMANHO = 375 | DESCRICAO = Recibo de Pagamento - Cartório Rib. Bonito.pdf
31/01/2017 08:06 - ERIC | CI = 19192 | NOME_FISICO = 1485857169-67525100.PDF | NOME_ORIGINAL = 9.05.312 - MOTOR RESERVA EXAUSTOR.PDF | TAMANHO = 76 | DESCRICAO = Relatório de Orçamento
31/01/2017 08:37 - FERNANDOPIRES | CI = 19194 | NOME_FISICO = 1485859019-83150100.pdf | NOME_ORIGINAL = Aluguel Escritório de SP - 05-02-2017.pdf | TAMANHO = 212 | DESCRICAO = Aluguel Escritório de SP - 05-02-2017.pdf
31/01/2017 13:40 - MICHELAAUGUSTO | CI = 19197 | NOME_FISICO = 1485877073-44087600.pdf | NOME_ORIGINAL = FISF0064 - Pagto Real.pdf | TAMANHO = 112 | DESCRICAO = FISF0064 - Pagto Real.pdf
31/01/2017 13:40 - MICHELAAUGUSTO | CI = 19197 | NOME_FISICO = 1485877112-67525100.pdf | NOME_ORIGINAL = 27619.09004.200117.1.3.19-0500 - Original.pdf | TAMANHO = 261 | DESCRICAO = 27619.09004.200117.1.3.19-0500 - Original.pdf
31/01/2017 15:48 - MARTA | CI = 19199 | NOME_FISICO = 1485884895-47212600.pdf | NOME_ORIGINAL = Despesa 31 01 2017.pdf | TAMANHO = 50 | DESCRICAO = Despesa
31/01/2017 16:55 - AREIAS | CI = 19200 | NOME_FISICO = 1485888890-30025200.pdf | NOME_ORIGINAL = Comprov. Pagamento CREA -SP - 2017..pdf | TAMANHO = 210 | DESCRICAO = Comprov. Pagamento CREA -SP - 2017..pdf
31/01/2017 16:55 - AREIAS | CI = 19200 | NOME_FISICO = 1485888918-01900100.pdf | NOME_ORIGINAL = Crea 17.pdf | TAMANHO = 494 | DESCRICAO = Crea 17.pdf
