02/05/2015 07:11 - ERIC | CI = 11714 | NOME_FISICO = 1430561464-14695400.pdf | NOME_ORIGINAL = RECIBO.pdf | TAMANHO = 488 | DESCRICAO = RECIBO
19/05/2015 10:50 - FERNANDOPIRES | CI = 11927 | NOME_FISICO = 1432043421-00031300.pdf | NOME_ORIGINAL = FF - despesas diversas - 19-05-15.pdf | TAMANHO = 1452 | DESCRICAO = FF - despesas diversas - 19-05-15.pdf
19/05/2015 10:55 - RODRIGO_POIT | CI = 11897 | NOME_FISICO = 1432043702-20343900.pdf | NOME_ORIGINAL = Publicação.pdf | TAMANHO = 74 | DESCRICAO = Publicação.pdf
19/05/2015 11:21 - FRANCISCO | CI = 11928 | NOME_FISICO = 1432045128-65656300.pdf | NOME_ORIGINAL = CUPOM-RON.18-05.pdf | TAMANHO = 459 | DESCRICAO = CUPOM-RON.18-05.pdf
20/05/2015 09:00 - ROBERTA | CI = 11936 | NOME_FISICO = 1432123200-92511800.pdf | NOME_ORIGINAL = Transvale - Perdas Físicas  NF 165802.pdf | TAMANHO = 7.88 | DESCRICAO = Transvale - Perdas Físicas  NF 165802.pdf
20/05/2015 09:01 - ROBERTA | CI = 11937 | NOME_FISICO = 1432123269-76886800.pdf | NOME_ORIGINAL = 1500 - Perdas Físicas  NF 165795 e 165805.pdf | TAMANHO = 8.58 | DESCRICAO = 1500 - Perdas Físicas  NF 165795 e 165805.pdf
20/05/2015 09:24 - LUCIANOHENRIQUE | CI = 11938 | NOME_FISICO = 1432123120-33136800.csv | NOME_ORIGINAL = SEÇÃO 229.csv | TAMANHO = 1.01 | DESCRICAO = SEÇÃO 229.csv
20/05/2015 09:31 - LUCIANOHENRIQUE | CI = 11939 | NOME_FISICO = 1432125084-45636800.csv | NOME_ORIGINAL = Seção 4918.csv | TAMANHO = 0.3 | DESCRICAO = Seção 4918.csv
20/05/2015 10:40 - RODRIGO_POIT | CI = 11942 | NOME_FISICO = 1432128859-58136800.msg | NOME_ORIGINAL = ANTONIO MARCOS LIMEIRA DA SILVA - PROC. 105912 - PUBLICAÇÃO.msg | TAMANHO = 58 | DESCRICAO = ANTONIO MARCOS LIMEIRA DA SILVA - PROC. 105912 - PUBLICAÇÃO.msg
20/05/2015 10:40 - RODRIGO_POIT | CI = 11942 | NOME_FISICO = 1432128859-58638700.pdf | NOME_ORIGINAL = ANTONIO MARCOS LIMEIRA DA SILVA - PROC. 105912 - CÁLCULO DE LIQUIDAÇÃO.pdf | TAMANHO = 686 | DESCRICAO = ANTONIO MARCOS LIMEIRA DA SILVA - PROC. 105912 - CÁLCULO DE LIQUIDAÇÃO.pdf
20/05/2015 10:40 - RODRIGO_POIT | CI = 11942 | NOME_FISICO = 1432129137-85199500.pdf | NOME_ORIGINAL = ATA DE AUDIÊNCIA.pdf | TAMANHO = 89 | DESCRICAO = ATA DE AUDIÊNCIA.pdf
20/05/2015 10:58 - REGI | CI = 11943 | NOME_FISICO = 1432130315-19074300.pdf | NOME_ORIGINAL = Recibos.pdf | TAMANHO = 367 | DESCRICAO = Recibos.pdf
20/05/2015 13:54 - TIAGOLIMA | CI = 11945 | NOME_FISICO = 1432140683-50324400.pdf | NOME_ORIGINAL = GARE - Pagamento.pdf | TAMANHO = 62 | DESCRICAO = GARE - Pagamento.pdf
20/05/2015 13:54 - TIAGOLIMA | CI = 11945 | NOME_FISICO = 1432140689-42511800.jpg | NOME_ORIGINAL = Tiulos Barrando CND EStadual - USINA.jpg | TAMANHO = 137 | DESCRICAO = Tiulos Barrando CND EStadual - USINA.jpg
20/05/2015 13:54 - TIAGOLIMA | CI = 11945 | NOME_FISICO = 1432140693-98761800.pdf | NOME_ORIGINAL = Descrição Pendecia Estadual.pdf | TAMANHO = 225 | DESCRICAO = Descrição Pendecia Estadual.pdf
20/05/2015 13:56 - TIAGOLIMA | CI = 11946 | NOME_FISICO = 1432140964-73761800.pdf | NOME_ORIGINAL = Recibo.pdf | TAMANHO = 312 | DESCRICAO = Recibo.pdf
20/05/2015 15:22 - SUZANA | CI = 11948 | NOME_FISICO = 1432145981-67511800.pdf | NOME_ORIGINAL = comprov alteração docs.pdf | TAMANHO = 387 | DESCRICAO = comprov alteração docs.pdf
20/05/2015 16:27 - TIAGOLIMA | CI = 11950 | NOME_FISICO = 1432148384-30011800.pdf | NOME_ORIGINAL = Recibos_Darfs - Rabobank.pdf | TAMANHO = 2034 | DESCRICAO = Recibos_Darfs - Rabobank.pdf
21/05/2015 11:10 - GRAZIELA | CI = 11955 | NOME_FISICO = 1432217443-31574300.pdf | NOME_ORIGINAL = ARISP.pdf | TAMANHO = 367 | DESCRICAO = BOLETO
22/05/2015 14:43 - KLEBER | CI = 11974 | NOME_FISICO = 1432316610-17243600.pdf | NOME_ORIGINAL = Usina Santa Fé - 06-2015 - Boleto.pdf | TAMANHO = 81 | DESCRICAO = Usina Santa Fé - 06-2015 - Boleto.pdf
23/05/2015 10:43 - VALDINEI | CI = 11977 | NOME_FISICO = 1432388612-91047000.pdf | NOME_ORIGINAL = Conta de Água - Maio - 2015.pdf | TAMANHO = 458 | DESCRICAO = Conta de Água - Maio - 2015.pdf
23/05/2015 10:47 - VALDINEI | CI = 11978 | NOME_FISICO = 1432388808-78546900.pdf | NOME_ORIGINAL = Conta de Água - Maio-2015.pdf | TAMANHO = 557 | DESCRICAO = Conta de Água - Maio-2015.pdf
23/05/2015 10:50 - VALDINEI | CI = 11979 | NOME_FISICO = 1432389002-86359400.pdf | NOME_ORIGINAL = Conta de Água - Maio - 2015.pdf | TAMANHO = 461 | DESCRICAO = Conta de Água - Maio - 2015.pdf
25/05/2015 08:49 - LUCIANOHENRIQUE | CI = 11981 | NOME_FISICO = 1432554516-93664100.csv | NOME_ORIGINAL = Seção 4.csv | TAMANHO = 2.61 | DESCRICAO = Seção 4.csv
25/05/2015 09:19 - VALDINEI | CI = 11983 | NOME_FISICO = 1432556337-20226600.pdf | NOME_ORIGINAL = Conta de água - Maio - 2015.pdf | TAMANHO = 556 | DESCRICAO = Conta de água - Maio - 2015.pdf
25/05/2015 10:36 - FRANCISCO | CI = 11984 | NOME_FISICO = 1432560956-98351600.pdf | NOME_ORIGINAL = DETRAN- TAXAS SERV. 2.015.pdf | TAMANHO = 41 | DESCRICAO = DETRAN- TAXAS SERV. 2.015.pdf
25/05/2015 14:03 - KLEBER | CI = 11988 | NOME_FISICO = 1432573366-69445500.pdf | NOME_ORIGINAL = IPTU - Prédio Aprendizes.pdf | TAMANHO = 424 | DESCRICAO = IPTU - Prédio Aprendizes.pdf
25/05/2015 14:45 - FERNANDOPIRES | CI = 11991 | NOME_FISICO = 1432575935-52257900.pdf | NOME_ORIGINAL = Amil - Fernando - 10-06-15.pdf | TAMANHO = 704 | DESCRICAO = Amil - Fernando - 10-06-15.pdf
25/05/2015 14:47 - FERNANDOPIRES | CI = 11992 | NOME_FISICO = 1432576062-74133000.pdf | NOME_ORIGINAL = Internet - escritório de SP - 10-06-15.pdf | TAMANHO = 1273 | DESCRICAO = Internet - escritório de SP - 10-06-15.pdf
25/05/2015 15:09 - ERIC | CI = 11993 | NOME_FISICO = 1432577387-89758000.pdf | NOME_ORIGINAL = COGEN - 06-2015.pdf | TAMANHO = 319 | DESCRICAO = COGEN - 06-2015
26/05/2015 07:37 - TIAGOLIMA | CI = 12002 | NOME_FISICO = 1432636377-50793000.pdf | NOME_ORIGINAL = Autorização Débito automatico.pdf | TAMANHO = 2012 | DESCRICAO = Autorização Débito automatico.pdf
26/05/2015 07:37 - TIAGOLIMA | CI = 12002 | NOME_FISICO = 1432636404-30480500.pdf | NOME_ORIGINAL = Parcelamento ICMS - 36 Parcelas.pdf | TAMANHO = 179 | DESCRICAO = Parcelamento ICMS - 36 Parcelas.pdf
26/05/2015 09:45 - FRANCISCO | CI = 12006 | NOME_FISICO = 1432644322-52355500.pdf | NOME_ORIGINAL = CUPOM-RON-22-05.pdf | TAMANHO = 289 | DESCRICAO = CUPOM-RON-22-05.pdf
26/05/2015 09:49 - FRANCISCO | CI = 12007 | NOME_FISICO = 1432644558-04015700.pdf | NOME_ORIGINAL = CUPOM-RON-25-05.pdf | TAMANHO = 229 | DESCRICAO = CUPOM-RON-25-05.pdf
26/05/2015 10:47 - FRANCISCO | CI = 12011 | NOME_FISICO = 1432648010-19640700.pdf | NOME_ORIGINAL = AUTO - 589784.pdf | TAMANHO = 557 | DESCRICAO = AUTO - 589784.pdf
26/05/2015 10:51 - FRANCISCO | CI = 12012 | NOME_FISICO = 1432648288-21203200.pdf | NOME_ORIGINAL = AUTO - 692103.pdf | TAMANHO = 547 | DESCRICAO = AUTO - 692103.pdf
26/05/2015 10:57 - FRANCISCO | CI = 12013 | NOME_FISICO = 1432648656-85265700.pdf | NOME_ORIGINAL = AUTO - 132898.pdf | TAMANHO = 533 | DESCRICAO = AUTO - 132898.pdf
26/05/2015 11:15 - FERNANDOPIRES | CI = 12017 | NOME_FISICO = 1432649707-83703200.pdf | NOME_ORIGINAL = Selos de 1 hora estacionamento de São Paulo.pdf | TAMANHO = 1670 | DESCRICAO = Selos de 1 hora estacionamento de São Paulo.pdf
26/05/2015 11:17 - FRANCISCO | CI = 12018 | NOME_FISICO = 1432649817-79015800.pdf | NOME_ORIGINAL = AUTO  GUIA - 00471.pdf | TAMANHO = 1454 | DESCRICAO = AUTO  GUIA - 00471.pdf
26/05/2015 15:59 - RODRIGO_POIT | CI = 12019 | NOME_FISICO = 1432666391-18371200.msg | NOME_ORIGINAL = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 -PUBLICAÇÃO.msg | TAMANHO = 40 | DESCRICAO = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 -PUBLICAÇÃO.msg
26/05/2015 15:59 - RODRIGO_POIT | CI = 12019 | NOME_FISICO = 1432666391-19238000.pdf | NOME_ORIGINAL = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 -ATA DE AUDIÊNCIA.pdf | TAMANHO = 92 | DESCRICAO = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 -ATA DE AUDIÊNCIA.pdf
26/05/2015 15:59 - RODRIGO_POIT | CI = 12019 | NOME_FISICO = 1432666391-19564400.pdf | NOME_ORIGINAL = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 -COMPROVANTE DO ACORDO.pdf | TAMANHO = 271 | DESCRICAO = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 -COMPROVANTE DO ACORDO.pdf
26/05/2015 15:59 - RODRIGO_POIT | CI = 12019 | NOME_FISICO = 1432666615-20238300.pdf | NOME_ORIGINAL = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 - DIFERENÇA INSS.pdf | TAMANHO = 75 | DESCRICAO = ELTON CARLOS PEREIRA DOS SANTOS - PROC. 959-2011 - DIFERENÇA INSS.pdf
27/05/2015 15:08 - MARCELOGODOI | CI = 12030 | NOME_FISICO = 1432750084-65539200.pdf | NOME_ORIGINAL = RECIBO OAB.pdf | TAMANHO = 232 | DESCRICAO = RECIBO OAB.pdf
27/05/2015 15:08 - MARCELOGODOI | CI = 12030 | NOME_FISICO = 1432750084-66109900.pdf | NOME_ORIGINAL = SUBS EXECUÇÃO MERCADO MATÃO.pdf | TAMANHO = 452 | DESCRICAO = SUBS EXECUÇÃO MERCADO MATÃO.pdf
27/05/2015 15:08 - MARCELOGODOI | CI = 12030 | NOME_FISICO = 1432750084-66526800.pdf | NOME_ORIGINAL = SUBS MOACIR COLEONE.pdf | TAMANHO = 435 | DESCRICAO = SUBS MOACIR COLEONE.pdf
27/05/2015 15:08 - MARCELOGODOI | CI = 12030 | NOME_FISICO = 1432750084-66934500.pdf | NOME_ORIGINAL = SUBS RECUPAREÇÃO JUDICIAL.pdf | TAMANHO = 458 | DESCRICAO = SUBS RECUPAREÇÃO JUDICIAL.pdf
27/05/2015 15:25 - FERNANDOPIRES | CI = 12031 | NOME_FISICO = 1432751093-87414100.jpg | NOME_ORIGINAL = IPTU CONJUNTO NACIONAL 04 PARC..jpg | TAMANHO = 44 | DESCRICAO = IPTU CONJUNTO NACIONAL 04 PARC..jpg
27/05/2015 15:25 - FERNANDOPIRES | CI = 12031 | NOME_FISICO = 1432751093-87855000.jpg | NOME_ORIGINAL = IPTU CONJUNTO NACIONAL 08 PARC..jpg | TAMANHO = 45 | DESCRICAO = IPTU CONJUNTO NACIONAL 08 PARC..jpg
27/05/2015 15:25 - FERNANDOPIRES | CI = 12031 | NOME_FISICO = 1432751093-88118200.pdf | NOME_ORIGINAL = IPTU Escritório de São Paulo - maio 2015.pdf | TAMANHO = 384 | DESCRICAO = IPTU Escritório de São Paulo - maio 2015.pdf
27/05/2015 16:12 - FRANCISCO | CI = 12033 | NOME_FISICO = 1432753901-88976700.pdf | NOME_ORIGINAL = CUPOM - RON-26-05.pdf | TAMANHO = 47 | DESCRICAO = CUPOM - RON-26-05.pdf
28/05/2015 13:40 - ROBERTA | CI = 12044 | NOME_FISICO = 1432831213-81720500.pdf | NOME_ORIGINAL = Perdas Físicas NF 166764 e 166770.pdf | TAMANHO = 4.7 | DESCRICAO = Perdas Físicas NF 166764 e 166770.pdf
28/05/2015 13:42 - ROBERTA | CI = 12045 | NOME_FISICO = 1432831336-83282900.pdf | NOME_ORIGINAL = Perdas Físicas NF 166647.pdf | TAMANHO = 4.7 | DESCRICAO = Perdas Físicas NF 166647.pdf
28/05/2015 16:23 - DENISESANTOS | CI = 12047 | NOME_FISICO = 1432840983-75470500.docx | NOME_ORIGINAL = Comprovante de pagamento .docx | TAMANHO = 454 | DESCRICAO = Comprovante de pagamento .docx
29/05/2015 09:23 - RODRIGO_POIT | CI = 12049 | NOME_FISICO = 1432902170-11798600.msg | NOME_ORIGINAL = SENTENÇA PROC. 1040314 - IVAN DE GÓIS LIMA.msg | TAMANHO = 107 | DESCRICAO = SENTENÇA PROC. 1040314 - IVAN DE GÓIS LIMA.msg
29/05/2015 09:23 - RODRIGO_POIT | CI = 12049 | NOME_FISICO = 1432902170-12333600.pdf | NOME_ORIGINAL = ATA DE AUDIÊNCIA 06 NOVEMBRO 2014.pdf | TAMANHO = 86 | DESCRICAO = ATA DE AUDIÊNCIA 06 NOVEMBRO 2014.pdf
29/05/2015 09:23 - RODRIGO_POIT | CI = 12049 | NOME_FISICO = 1432902170-12653100.msg | NOME_ORIGINAL = ATA DE AUDIÊNCIA 07 DE ABRIL DE 2015.msg | TAMANHO = 68 | DESCRICAO = ATA DE AUDIÊNCIA 07 DE ABRIL DE 2015.msg
29/05/2015 09:23 - RODRIGO_POIT | CI = 12049 | NOME_FISICO = 1432902170-12951400.doc | NOME_ORIGINAL = CONTESTAÇÃO.doc | TAMANHO = 44 | DESCRICAO = CONTESTAÇÃO.doc
29/05/2015 11:16 - LUZMARINA | CI = 12055 | NOME_FISICO = 1432908827-83673500.pdf | NOME_ORIGINAL = Vanusa.pdf | TAMANHO = 1149 | DESCRICAO = Vanusa.pdf
29/05/2015 11:16 - LUZMARINA | CI = 12055 | NOME_FISICO = 1432908851-52826900.pdf | NOME_ORIGINAL = Vanusa.1.pdf | TAMANHO = 1189 | DESCRICAO = Vanusa.1.pdf
29/05/2015 11:16 - LUZMARINA | CI = 12055 | NOME_FISICO = 1432908881-80936700.pdf | NOME_ORIGINAL = Vanusa.2.pdf | TAMANHO = 1054 | DESCRICAO = Vanusa.2.pdf
29/05/2015 13:52 - RODRIGO_POIT | CI = 12058 | NOME_FISICO = 1432918339-77521100.pdf | NOME_ORIGINAL = NOTIFICAÇÃO.pdf | TAMANHO = 322 | DESCRICAO = NOTIFICAÇÃO.pdf
29/05/2015 15:12 - TIAGOLIMA | CI = 12059 | NOME_FISICO = 1432922872-69708600.pdf | NOME_ORIGINAL = Cupom Fiscal.pdf | TAMANHO = 225 | DESCRICAO = Cupom Fiscal.pdf
