01/02/2016 10:38 - SUZANA | CI = 14741 | NOME_FISICO = 1454330268-91312700.pdf | NOME_ORIGINAL = boleto Cetesb.pdf | TAMANHO = 326 | DESCRICAO = boleto Cetesb.pdf
18/02/2016 14:16 - RODRIGO_POIT | CI = 14930 | NOME_FISICO = 1455812208-16410200.pdf | NOME_ORIGINAL = Comprovante de Pagamento Refeição.pdf | TAMANHO = 211 | DESCRICAO = Comprovante de Pagamento Refeição.pdf
18/02/2016 14:25 - RODRIGO_POIT | CI = 14931 | NOME_FISICO = 1455812466-69535200.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 123210 - BATISTA LISBOA DOS SANTOS.msg | TAMANHO = 73 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 123210 - BATISTA LISBOA DOS SANTOS.msg
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-61375100.msg | NOME_ORIGINAL = 1 - PUBLICAÇÃO PROC. 1178514 - VITALINO ROSA FILHO.msg | TAMANHO = 61 | DESCRICAO = 1 - PUBLICAÇÃO PROC. 1178514 - VITALINO ROSA FILHO.msg
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-66772600.pdf | NOME_ORIGINAL = 2 - 11785.2014-SALDO REMANESCENTE-04.02.2016.pdf | TAMANHO = 200 | DESCRICAO = 2 - 11785.2014-SALDO REMANESCENTE-04.02.2016.pdf
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-68540200.pdf | NOME_ORIGINAL = 3 - Cálculo de Liquidação Usina.pdf | TAMANHO = 252 | DESCRICAO = 3 - Cálculo de Liquidação Usina.pdf
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-71931700.pdf | NOME_ORIGINAL = 4 - Comprovante de Pagamento do cálculo de liquidação Usina.pdf | TAMANHO = 176 | DESCRICAO = 4 - Comprovante de Pagamento do cálculo de liquidação Usina.pdf
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-73488700.pdf | NOME_ORIGINAL = 5 - Cálculo de liquidação Reclamante.pdf | TAMANHO = 3528 | DESCRICAO = 5 - Cálculo de liquidação Reclamante.pdf
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-81120100.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1178514 - VITALINO ROSA FILHO.msg | TAMANHO = 58 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1178514 - VITALINO ROSA FILHO.msg
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-82493800.pdf | NOME_ORIGINAL = 6 - Crédito Bruto Reclamante Atualizado.pdf | TAMANHO = 134 | DESCRICAO = 6 - Crédito Bruto Reclamante Atualizado.pdf
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-84290700.pdf | NOME_ORIGINAL = 7 - INSS Reclamante Atualizado.pdf | TAMANHO = 134 | DESCRICAO = 7 - INSS Reclamante Atualizado.pdf
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-86276000.pdf | NOME_ORIGINAL = 8 - INSS Reclamada Atualizado.pdf | TAMANHO = 134 | DESCRICAO = 8 - INSS Reclamada Atualizado.pdf
18/02/2016 15:26 - RODRIGO_POIT | CI = 14934 | NOME_FISICO = 1455816373-88315300.pdf | NOME_ORIGINAL = 9 - Custas do Processo Atualizada.pdf | TAMANHO = 134 | DESCRICAO = 9 - Custas do Processo Atualizada.pdf
19/02/2016 10:15 - MARTA | CI = 14936 | NOME_FISICO = 1455884122-63875100.pdf | NOME_ORIGINAL = Despesas 19022016.pdf | TAMANHO = 381 | DESCRICAO = Despesas Viagem
19/02/2016 14:59 - SUZANA | CI = 14938 | NOME_FISICO = 1455901150-42000100.pdf | NOME_ORIGINAL = boleto_19-02-2016-02-55.pdf | TAMANHO = 326 | DESCRICAO = boleto_19-02-2016-02-55.pdf
19/02/2016 15:11 - ROSEMEIRESGOTI | CI = 14939 | NOME_FISICO = 1455901909-82625200.pdf | NOME_ORIGINAL = doc10349020160219164117.pdf | TAMANHO = 292 | DESCRICAO = doc10349020160219164117.pdf
20/02/2016 11:08 - ERIC | CI = 14944 | NOME_FISICO = 1455973661-27937600.PDF | NOME_ORIGINAL = STATUS PROJETO 9.05.008.PDF | TAMANHO = 752 | DESCRICAO = STATUS DO PROJETO 9.05.008
22/02/2016 08:41 - SUZANA | CI = 14949 | NOME_FISICO = 1456141086-38875100.pdf | NOME_ORIGINAL = Guia de Recolhimento Prefeitura .pdf | TAMANHO = 722 | DESCRICAO = Guia de Recolhimento Prefeitura .pdf
22/02/2016 11:12 - KLEBER | CI = 14955 | NOME_FISICO = 1456150301-18562600.pdf | NOME_ORIGINAL = Usina Santa Fé - 03-2016 - Boleto.pdf | TAMANHO = 81 | DESCRICAO = Usina Santa Fé - 03-2016 - Boleto.pdf
22/02/2016 13:21 - FERNANDOPIRES | CI = 14957 | NOME_FISICO = 1456158099-98250100.pdf | NOME_ORIGINAL = Boleto Limpadora Veloz - 29-02-2016.pdf | TAMANHO = 758 | DESCRICAO = Boleto Limpadora Veloz - 29-02-2016.pdf
22/02/2016 13:21 - FERNANDOPIRES | CI = 14957 | NOME_FISICO = 1456158100-01147000.pdf | NOME_ORIGINAL = NF-e - Limpadora Veloz - Fevereiro - 2016.pdf | TAMANHO = 101 | DESCRICAO = NF-e - Limpadora Veloz - Fevereiro - 2016.pdf
22/02/2016 15:18 - VALDINEI | CI = 14962 | NOME_FISICO = 1456165075-27937600.pdf | NOME_ORIGINAL = Conta de Energia - Fevereiro - 2016.pdf | TAMANHO = 596 | DESCRICAO = Conta de Energia - Fevereiro - 2016.pdf
22/02/2016 16:45 - MONICA | CI = 14964 | NOME_FISICO = 1456169862-29500200.pdf | NOME_ORIGINAL = Carlos Eduardo Salina Extrato Financeiro Safra 2015.pdf | TAMANHO = 46 | DESCRICAO = Carlos Eduardo Salina Extrato Financeiro Safra 2015.pdf
23/02/2016 10:51 - SANTANA | CI = 14963 | NOME_FISICO = 1456235486-43562600.pdf | NOME_ORIGINAL = NF nº 155.870 - IOB.pdf | TAMANHO = 447 | DESCRICAO = NF nº 155.870 - IOB.pdf
23/02/2016 18:21 - RODRIGO_POIT | CI = 14984 | NOME_FISICO = 1456262496-24812600.pdf | NOME_ORIGINAL = RPA.pdf | TAMANHO = 709 | DESCRICAO = RPA.pdf
24/02/2016 08:23 - RODRIGO_POIT | CI = 14986 | NOME_FISICO = 1456312908-80225100.pdf | NOME_ORIGINAL = RPA.pdf | TAMANHO = 709 | DESCRICAO = RPA.pdf
24/02/2016 08:23 - RODRIGO_POIT | CI = 14986 | NOME_FISICO = 1456312908-81700400.msg | NOME_ORIGINAL = RES EXPLICAÇÃO RPA 13º ESCRITÓRIO MASSAD.msg | TAMANHO = 64 | DESCRICAO = RES EXPLICAÇÃO RPA 13º ESCRITÓRIO MASSAD.msg
24/02/2016 09:27 - VALDINEI | CI = 14988 | NOME_FISICO = 1456316824-13037600.pdf | NOME_ORIGINAL = GARAGEM PRESIDENTE - UNID G16 - Março - 2016.pdf | TAMANHO = 461 | DESCRICAO = GARAGEM PRESIDENTE - UNID G16 - Março - 2016.pdf
24/02/2016 13:05 - SANTANA | CI = 14992 | NOME_FISICO = 1456329925-34912600.msg | NOME_ORIGINAL = Almoço Quinta e sexta .msg | TAMANHO = 53 | DESCRICAO = Almoço Quinta e sexta .msg
24/02/2016 13:07 - SANTANA | CI = 14993 | NOME_FISICO = 1456330016-55225200.msg | NOME_ORIGINAL = Almoço Quinta e sexta .msg | TAMANHO = 53 | DESCRICAO = Almoço Quinta e sexta .msg
24/02/2016 13:27 - VALDINEI | CI = 14994 | NOME_FISICO = 1456331163-47412700.pdf | NOME_ORIGINAL = Comprovante de Pagamento - 2016.pdf | TAMANHO = 228 | DESCRICAO = Comprovante de Pagamento - 2016.pdf
24/02/2016 13:27 - VALDINEI | CI = 14994 | NOME_FISICO = 1456331188-77100100.pdf | NOME_ORIGINAL = Termo de Assinatura - Caixa postal - 2016.pdf | TAMANHO = 265 | DESCRICAO = Termo de Assinatura - Caixa postal - 2016.pdf
24/02/2016 13:46 - VALDINEI | CI = 14995 | NOME_FISICO = 1456332308-97412700.pdf | NOME_ORIGINAL = Viagem - São Paulo - José Airton - 12-02-16.pdf | TAMANHO = 277 | DESCRICAO = Viagem - São Paulo - José Airton - 12-02-16.pdf
24/02/2016 13:46 - VALDINEI | CI = 14995 | NOME_FISICO = 1456332340-25537700.pdf | NOME_ORIGINAL = Viagem - São Paulo - José Airton - Refeição- 12-02-16.pdf | TAMANHO = 399 | DESCRICAO = Viagem - São Paulo - José Airton - Refeição- 12-02-16.pdf
24/02/2016 15:19 - ROBSONMANFRIM | CI = 14996 | NOME_FISICO = 1456337815-06787600.pdf | NOME_ORIGINAL = Pedagio 23_02_16.pdf | TAMANHO = 67 | DESCRICAO = Pedagio 23_02_16.pdf
24/02/2016 15:19 - ROBSONMANFRIM | CI = 14996 | NOME_FISICO = 1456337826-00537700.pdf | NOME_ORIGINAL = Email cancelamento reserva veiculo 23_02_16.pdf | TAMANHO = 116 | DESCRICAO = Email cancelamento reserva veiculo 23_02_16.pdf
24/02/2016 15:23 - ROBSONMANFRIM | CI = 14996 | NOME_FISICO = 1456338200-63037700.pdf | NOME_ORIGINAL = Estacionamento 23_02_16.pdf | TAMANHO = 175 | DESCRICAO = Estacionamento 23_02_16.pdf
25/02/2016 09:27 - VALDINEI | CI = 15002 | NOME_FISICO = 1456402835-34912700.pdf | NOME_ORIGINAL = Comprovante Sedex a cobrar - 15-02-16.pdf | TAMANHO = 357 | DESCRICAO = Comprovante Sedex a cobrar - 15-02-16.pdf
25/02/2016 09:38 - VALDINEI | CI = 15003 | NOME_FISICO = 1456403894-00537600.pdf | NOME_ORIGINAL = Comprovante Sedex a cobrar - Fabricação - 19-02-16.pdf | TAMANHO = 363 | DESCRICAO = Comprovante Sedex a cobrar - Fabricação - 19-02-16.pdf
25/02/2016 09:43 - RODRIGO_POIT | CI = 15004 | NOME_FISICO = 1456404201-45850100.pdf | NOME_ORIGINAL = 664.pdf | TAMANHO = 97 | DESCRICAO = 664.pdf
25/02/2016 10:29 - MARTA | CI = 15006 | NOME_FISICO = 1456406942-34912600.pdf | NOME_ORIGINAL = Despesa 24 02 2016.pdf | TAMANHO = 54 | DESCRICAO = Despesa de refeição
25/02/2016 11:20 - FERNANDOPIRES | CI = 15007 | NOME_FISICO = 1456410024-58350100.pdf | NOME_ORIGINAL = Aluguel escritório SP - cj 101 102.pdf | TAMANHO = 209 | DESCRICAO = Aluguel escritório SP - cj 101 102.pdf
25/02/2016 11:25 - FERNANDOPIRES | CI = 15008 | NOME_FISICO = 1456410133-69287600.pdf | NOME_ORIGINAL = Compra de Impressora Epson.pdf | TAMANHO = 1336 | DESCRICAO = Compra de Impressora Epson.pdf
25/02/2016 11:27 - VALDINEI | CI = 15009 | NOME_FISICO = 1456410329-86475100.pdf | NOME_ORIGINAL = Refeição - Laboratório - 18-02-16.pdf | TAMANHO = 286 | DESCRICAO = Refeição - Laboratório - 18-02-16.pdf
25/02/2016 11:27 - VALDINEI | CI = 15009 | NOME_FISICO = 1456410363-78662700.pdf | NOME_ORIGINAL = Combustível - Laboratório - 18-02-16.pdf | TAMANHO = 353 | DESCRICAO = Combustível - Laboratório - 18-02-16.pdf
25/02/2016 13:21 - VALDINEI | CI = 15010 | NOME_FISICO = 1456417154-84912700.pdf | NOME_ORIGINAL = Viagem 1 - São Paulo - 23-02-16.pdf | TAMANHO = 373 | DESCRICAO = Viagem 1 - São Paulo - 23-02-16.pdf
25/02/2016 13:21 - VALDINEI | CI = 15010 | NOME_FISICO = 1456417175-69287700.pdf | NOME_ORIGINAL = Viagem 2 - São Paulo - 23-02-16.pdf | TAMANHO = 452 | DESCRICAO = Viagem 2 - São Paulo - 23-02-16.pdf
25/02/2016 13:55 - RODRIGO_POIT | CI = 15011 | NOME_FISICO = 1456418898-73975200.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1213314 - BENEDITO APARECIDO CAIRES.msg | TAMANHO = 79 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1213314 - BENEDITO APARECIDO CAIRES.msg
25/02/2016 13:55 - RODRIGO_POIT | CI = 15011 | NOME_FISICO = 1456419312-80796500.msg | NOME_ORIGINAL = ACORDOS 230216 - Contas para depósitos..msg | TAMANHO = 44 | DESCRICAO = ACORDOS 230216 - Contas para depósitos..msg
25/02/2016 14:10 - LUIDE | CI = 15012 | NOME_FISICO = 1456420237-58350100.pdf | NOME_ORIGINAL = Maggi.pdf | TAMANHO = 841 | DESCRICAO = Maggi.pdf
25/02/2016 16:12 - RODRIGO_POIT | CI = 15015 | NOME_FISICO = 1456427545-25537700.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1214214 - LUCIANO DA SILVA RAMALHO.msg | TAMANHO = 91 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1214214 - LUCIANO DA SILVA RAMALHO.msg
25/02/2016 16:12 - RODRIGO_POIT | CI = 15015 | NOME_FISICO = 1456427545-27146800.msg | NOME_ORIGINAL = ACORDOS 230216 - Contas para depósitos..msg | TAMANHO = 44 | DESCRICAO = ACORDOS 230216 - Contas para depósitos..msg
25/02/2016 16:16 - RODRIGO_POIT | CI = 15015 | NOME_FISICO = 1456427777-41162700.pdf | NOME_ORIGINAL = INSS Luciano.pdf | TAMANHO = 69 | DESCRICAO = INSS Luciano.pdf
26/02/2016 07:42 - RODRIGO_POIT | CI = 15016 | NOME_FISICO = 1456483298-63037600.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 158611 - ANTONIO JOSÉ DE ALMEIDA LIMA.msg | TAMANHO = 47 | DESCRICAO = PUBLICAÇÃO PROC. 158611 - ANTONIO JOSÉ DE ALMEIDA LIMA.msg
26/02/2016 07:42 - RODRIGO_POIT | CI = 15016 | NOME_FISICO = 1456483298-64897000.pdf | NOME_ORIGINAL = Atualização dos valores da sentença de liquidação.pdf | TAMANHO = 175 | DESCRICAO = Atualização dos valores da sentença de liquidação.pdf
26/02/2016 07:42 - RODRIGO_POIT | CI = 15016 | NOME_FISICO = 1456483298-66449500.pdf | NOME_ORIGINAL = Despacho.pdf | TAMANHO = 4838 | DESCRICAO = Despacho.pdf
26/02/2016 08:52 - RODRIGO_POIT | CI = 15017 | NOME_FISICO = 1456487520-39600200.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1175614 - WENDERSON TIAGO LUIZ.msg | TAMANHO = 52 | DESCRICAO = PUBLICAÇÃO PROC. 1175614 - WENDERSON TIAGO LUIZ.msg
26/02/2016 08:52 - RODRIGO_POIT | CI = 15017 | NOME_FISICO = 1456487520-40890100.pdf | NOME_ORIGINAL = Atualização Custas.pdf | TAMANHO = 134 | DESCRICAO = Atualização Custas.pdf
26/02/2016 09:03 - SANTANA | CI = 15018 | NOME_FISICO = 1456487446-47412600.pdf | NOME_ORIGINAL = CONTRIBUIÇÃO SINDICAL RURAL - AGRO.pdf | TAMANHO = 110 | DESCRICAO = CONTRIBUIÇÃO SINDICAL RURAL - AGRO.pdf
26/02/2016 09:03 - SANTANA | CI = 15018 | NOME_FISICO = 1456488079-95850100.pdf | NOME_ORIGINAL = GUIAS RECOLHIMENTO ORIGINAL.pdf | TAMANHO = 16368 | DESCRICAO = GUIAS RECOLHIMENTO ORIGINAL.pdf
26/02/2016 09:57 - BIRA | CI = 15019 | NOME_FISICO = 1456491259-33350100.pdf | NOME_ORIGINAL = Boleto INMETRO.pdf | TAMANHO = 335 | DESCRICAO = Boleto INMETRO.pdf
26/02/2016 09:57 - BIRA | CI = 15019 | NOME_FISICO = 1456491273-38037700.pdf | NOME_ORIGINAL = Laudo de Fiscalização INMETRO.pdf | TAMANHO = 361 | DESCRICAO = Laudo de Fiscalização INMETRO.pdf
26/02/2016 14:17 - VALDINEI | CI = 15022 | NOME_FISICO = 1456506914-47412600.pdf | NOME_ORIGINAL = Viagem - São Paulo - 17-02-16.pdf | TAMANHO = 395 | DESCRICAO = Viagem - São Paulo - 17-02-16.pdf
26/02/2016 15:42 - RODRIGO_POIT | CI = 15024 | NOME_FISICO = 1456512062-63037600.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1205015 - ELAINE APARECIDA DA SILVA.msg | TAMANHO = 71 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1205015 - ELAINE APARECIDA DA SILVA.msg
26/02/2016 15:42 - RODRIGO_POIT | CI = 15024 | NOME_FISICO = 1456512062-68310100.msg | NOME_ORIGINAL = Dados Bancários.msg | TAMANHO = 37 | DESCRICAO = Dados Bancários.msg
26/02/2016 15:42 - RODRIGO_POIT | CI = 15024 | NOME_FISICO = 1456512062-71072500.pdf | NOME_ORIGINAL = Elaine INSS.pdf | TAMANHO = 4.93 | DESCRICAO = Elaine INSS.pdf
26/02/2016 15:52 - SANTANA | CI = 15025 | NOME_FISICO = 1456512611-30225100.pdf | NOME_ORIGINAL = Comprovante Pagamento GUIA - Diferença Valores.pdf | TAMANHO = 239 | DESCRICAO = Comprovante Pagamento GUIA - Diferença Valores.pdf
29/02/2016 14:23 - MARTA | CI = 15039 | NOME_FISICO = 1456766601-63287600.pdf | NOME_ORIGINAL = Duplicata IOB.pdf | TAMANHO = 460 | DESCRICAO = Duplicata
29/02/2016 14:30 - VALDINEI | CI = 15040 | NOME_FISICO = 1456767016-28912700.pdf | NOME_ORIGINAL = Boleto Condomínio - 02-03-16.pdf | TAMANHO = 157 | DESCRICAO = Boleto Condomínio - 02-03-16.pdf
