01/07/2016 08:27 - GRAZIELA | CI = 16479 | NOME_FISICO = 1467372363-28095300.pdf | NOME_ORIGINAL = IGC.pdf | TAMANHO = 199 | DESCRICAO = COMPROVANTE
13/07/2016 08:16 - FRANCISCO | CI = 16663 | NOME_FISICO = 1468408576-11312600.pdf | NOME_ORIGINAL = CUPOM-RON-07-07..pdf | TAMANHO = 236 | DESCRICAO = CUPOM-RON-07-07..pdf
13/07/2016 08:39 - FRANCISCO | CI = 16662 | NOME_FISICO = 1468409797-64439800.pdf | NOME_ORIGINAL = CUPOM-RON-08-07-01.pdf | TAMANHO = 373 | DESCRICAO = CUPOM-RON-08-07-01.pdf
13/07/2016 08:51 - FRANCISCO | CI = 16665 | NOME_FISICO = 1468410676-33187600.pdf | NOME_ORIGINAL = CUPOM-RON. 11-07.pdf | TAMANHO = 191 | DESCRICAO = CUPOM-RON. 11-07.pdf
13/07/2016 09:24 - FRANCISCO | CI = 16666 | NOME_FISICO = 1468412669-95687600.pdf | NOME_ORIGINAL = AUTO INF.GVA3074947-9.pdf | TAMANHO = 578 | DESCRICAO = AUTO INF.GVA3074947-9.pdf
13/07/2016 10:34 - VALDINEI | CI = 16668 | NOME_FISICO = 1468416853-92562600.pdf | NOME_ORIGINAL = Conta de Água - Julho - 2016.pdf | TAMANHO = 487 | DESCRICAO = Conta de Água - Julho - 2016.pdf
13/07/2016 10:39 - VALDINEI | CI = 16669 | NOME_FISICO = 1468417150-66000100.pdf | NOME_ORIGINAL = Boleto Condomínio - 02-08-16.pdf | TAMANHO = 469 | DESCRICAO = Boleto Condomínio - 02-08-16.pdf
13/07/2016 10:44 - RODRIGO_POIT | CI = 16671 | NOME_FISICO = 1468416608-16000100.pdf | NOME_ORIGINAL = Jaime Cruz dos Santos - Proc.11262-65.2014 - Ata de Acordo.pdf | TAMANHO = 1418 | DESCRICAO = Jaime Cruz dos Santos - Proc.11262-65.2014 - Ata de Acordo.pdf
13/07/2016 10:44 - RODRIGO_POIT | CI = 16671 | NOME_FISICO = 1468416608-18800100.pdf | NOME_ORIGINAL = Cálculo reclamante.pdf | TAMANHO = 403 | DESCRICAO = Cálculo reclamante.pdf
13/07/2016 10:44 - RODRIGO_POIT | CI = 16671 | NOME_FISICO = 1468416608-20443000.msg | NOME_ORIGINAL = SENTENÇA PROC. 1126214 - JAIME CRUZ SANTOS.msg | TAMANHO = 155 | DESCRICAO = SENTENÇA PROC. 1126214 - JAIME CRUZ SANTOS.msg
13/07/2016 14:18 - VALDINEI | CI = 16673 | NOME_FISICO = 1468430305-36312600.pdf | NOME_ORIGINAL = Conta de Energia - Julho - 2016.pdf | TAMANHO = 460 | DESCRICAO = Conta de Energia - Julho - 2016.pdf
13/07/2016 15:54 - ELISSANDRA | CI = 16676 | NOME_FISICO = 1468436042-41000200.pdf | NOME_ORIGINAL = doc11644020160713181752.pdf | TAMANHO = 192 | DESCRICAO = doc11644020160713181752.pdf
13/07/2016 16:07 - RODRIGO_POIT | CI = 16677 | NOME_FISICO = 1468436847-36312600.pdf | NOME_ORIGINAL = PLANILHA PADRÃO KM 13072016.pdf | TAMANHO = 143 | DESCRICAO = PLANILHA PADRÃO KM 13072016.pdf
14/07/2016 07:39 - ELISSANDRA | CI = 16680 | NOME_FISICO = 1468492749-03500100.pdf | NOME_ORIGINAL = doc11646420160714100332.pdf | TAMANHO = 416 | DESCRICAO = doc11646420160714100332.pdf
14/07/2016 07:43 - ELISSANDRA | CI = 16681 | NOME_FISICO = 1468492969-92562600.pdf | NOME_ORIGINAL = contrato Christiano.pdf | TAMANHO = 370 | DESCRICAO = contrato Christiano.pdf
14/07/2016 09:18 - RODRIGO_POIT | CI = 16682 | NOME_FISICO = 1468498658-59750100.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1000616 - ADRIANO ALVES DE OLIVEIRA.msg | TAMANHO = 97 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1000616 - ADRIANO ALVES DE OLIVEIRA.msg
14/07/2016 09:18 - RODRIGO_POIT | CI = 16682 | NOME_FISICO = 1468498658-62222600.msg | NOME_ORIGINAL = RE DADOS BANCÁRIOS -  TERMO DE AUDIÊNCIA PROC. 1000616 - ADRIANO ALVES DE OLIVEIRA.msg | TAMANHO = 84 | DESCRICAO = RE DADOS BANCÁRIOS -  TERMO DE AUDIÊNCIA PROC. 1000616 - ADRIANO ALVES DE OLIVEIRA.msg
14/07/2016 09:51 - RODRIGO_POIT | CI = 16684 | NOME_FISICO = 1468500685-47746300.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1004616 - SAMUEL DOS SANTOS PERRUT.msg | TAMANHO = 68 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1004616 - SAMUEL DOS SANTOS PERRUT.msg
14/07/2016 09:51 - RODRIGO_POIT | CI = 16684 | NOME_FISICO = 1468500685-49342200.xlsx | NOME_ORIGINAL = Samuel Perrut.xlsx | TAMANHO = 11 | DESCRICAO = Samuel Perrut.xlsx
14/07/2016 10:06 - RODRIGO_POIT | CI = 16685 | NOME_FISICO = 1468501492-89054800.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1008816 - ANDERSON DOS SANTOS PERRUT.msg | TAMANHO = 66 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1008816 - ANDERSON DOS SANTOS PERRUT.msg
14/07/2016 10:06 - RODRIGO_POIT | CI = 16685 | NOME_FISICO = 1468501492-90726000.xlsx | NOME_ORIGINAL = Anderson Perrut.xlsx | TAMANHO = 11 | DESCRICAO = Anderson Perrut.xlsx
14/07/2016 10:23 - RODRIGO_POIT | CI = 16687 | NOME_FISICO = 1468502606-85929800.pdf | NOME_ORIGINAL = juscival - ata.pdf | TAMANHO = 1390 | DESCRICAO = juscival - ata.pdf
14/07/2016 10:23 - RODRIGO_POIT | CI = 16687 | NOME_FISICO = 1468502606-88675900.xlsx | NOME_ORIGINAL = INSS JUSCIVAL.xlsx | TAMANHO = 13 | DESCRICAO = INSS JUSCIVAL.xlsx
14/07/2016 10:26 - ELISSANDRA | CI = 16688 | NOME_FISICO = 1468502773-01554700.pdf | NOME_ORIGINAL = doc11651420160714125032_001.pdf | TAMANHO = 92 | DESCRICAO = doc11651420160714125032_001.pdf
14/07/2016 11:00 - RODRIGO_POIT | CI = 16689 | NOME_FISICO = 1468504767-12492200.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1209915 - ADEMIR RODRIGUES BONFIM.msg | TAMANHO = 69 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1209915 - ADEMIR RODRIGUES BONFIM.msg
14/07/2016 11:00 - RODRIGO_POIT | CI = 16689 | NOME_FISICO = 1468504767-14043900.xlsx | NOME_ORIGINAL = Ademir Bonfim.xlsx | TAMANHO = 11 | DESCRICAO = Ademir Bonfim.xlsx
14/07/2016 11:09 - RODRIGO_POIT | CI = 16690 | NOME_FISICO = 1468505364-17179800.pdf | NOME_ORIGINAL = Joao Luciano - ATA.pdf | TAMANHO = 1416 | DESCRICAO = Joao Luciano - ATA.pdf
14/07/2016 11:09 - RODRIGO_POIT | CI = 16690 | NOME_FISICO = 1468505364-19250200.xlsx | NOME_ORIGINAL = INSS JOÃO LUCIANO.xlsx | TAMANHO = 13 | DESCRICAO = INSS JOÃO LUCIANO.xlsx
14/07/2016 11:20 - RODRIGO_POIT | CI = 16691 | NOME_FISICO = 1468505910-79679800.pdf | NOME_ORIGINAL = JAIR REBOLO - PROC. 1-74.2012 - ATA DE ACORDO - aguardando trhiago devolver o cálculo do inss.pdf | TAMANHO = 1280 | DESCRICAO = JAIR REBOLO - PROC. 1-74.2012 - ATA DE ACORDO - aguardando trhiago devolver o cálculo do inss.pdf
14/07/2016 11:20 - RODRIGO_POIT | CI = 16691 | NOME_FISICO = 1468505910-81684500.xlsx | NOME_ORIGINAL = INSS JAIR REBOLO.xlsx | TAMANHO = 12 | DESCRICAO = INSS JAIR REBOLO.xlsx
14/07/2016 11:28 - FRANCISCO | CI = 16692 | NOME_FISICO = 1468506464-03117200.pdf | NOME_ORIGINAL = AUTO INF. - 253356-4.pdf | TAMANHO = 551 | DESCRICAO = AUTO INF. - 253356-4.pdf
14/07/2016 11:31 - FRANCISCO | CI = 16693 | NOME_FISICO = 1468506679-51554700.pdf | NOME_ORIGINAL = CUPOM-RON.13-07.pdf | TAMANHO = 190 | DESCRICAO = CUPOM-RON.13-07.pdf
14/07/2016 14:00 - RODRIGO_POIT | CI = 16695 | NOME_FISICO = 1468515601-31242200.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1177313 - ANDRIEL FERREIRA.msg | TAMANHO = 67 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1177313 - ANDRIEL FERREIRA.msg
14/07/2016 14:00 - RODRIGO_POIT | CI = 16695 | NOME_FISICO = 1468515601-33811300.xlsx | NOME_ORIGINAL = Andriel Ferreira.xlsx | TAMANHO = 11 | DESCRICAO = Andriel Ferreira.xlsx
14/07/2016 14:38 - CRISTIANOALVES | CI = 16697 | NOME_FISICO = 1468517791-49992200.pdf | NOME_ORIGINAL = Apuração Junho.pdf | TAMANHO = 8.47 | DESCRICAO = Apuração Junho
14/07/2016 14:38 - CRISTIANOALVES | CI = 16697 | NOME_FISICO = 1468517818-20883100.png | NOME_ORIGINAL = Calculo IRPJ e CSSL Junho 2016.png | TAMANHO = 68 | DESCRICAO = Calculo IRPJ e CSSL Junho 2016
14/07/2016 15:43 - SANTANA | CI = 16699 | NOME_FISICO = 1468521781-34367200.pdf | NOME_ORIGINAL = Comprovantes de Estacionamento.pdf | TAMANHO = 305 | DESCRICAO = Comprovantes de Estacionamento.pdf
14/07/2016 16:56 - KLEBER | CI = 16700 | NOME_FISICO = 1468526150-28117300.pdf | NOME_ORIGINAL = 06-2016 - Usina Santa Fé - Diretores - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 06-2016 - Usina Santa Fé - Diretores - Boleto.pdf
14/07/2016 16:56 - KLEBER | CI = 16700 | NOME_FISICO = 1468526159-43742100.pdf | NOME_ORIGINAL = 06-2016 - Usina Santa Fé - Funcionários - Boleto.pdf | TAMANHO = 91 | DESCRICAO = 06-2016 - Usina Santa Fé - Funcionários - Boleto.pdf
14/07/2016 16:56 - KLEBER | CI = 16700 | NOME_FISICO = 1468526170-57804700.pdf | NOME_ORIGINAL = Usina Santa Fé - Funcionários - Complementar mes 05 - Boleto.pdf | TAMANHO = 91 | DESCRICAO = Usina Santa Fé - Funcionários - Complementar mes 05 - Boleto.pdf
15/07/2016 08:20 - MARCOS | CI = 16702 | NOME_FISICO = 1468581607-18742200.pdf | NOME_ORIGINAL = DARF TMF.pdf | TAMANHO = 410 | DESCRICAO = DARF TMF.pdf
15/07/2016 08:20 - MARCOS | CI = 16702 | NOME_FISICO = 1468581615-85929800.pdf | NOME_ORIGINAL = Relatorio FISF0064 TMF Apriori.pdf | TAMANHO = 220 | DESCRICAO = Relatorio FISF0064 TMF Apriori.pdf
15/07/2016 08:54 - MARCOS | CI = 16703 | NOME_FISICO = 1468583661-74992200.pdf | NOME_ORIGINAL = boleto pac vencimento julho de 2016.pdf | TAMANHO = 1472 | DESCRICAO = boleto pac vencimento julho de 2016.pdf
15/07/2016 09:18 - RODRIGO_POIT | CI = 16704 | NOME_FISICO = 1468585094-82804800.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1057713 - ANTONIO APARECIDO CREMOM.msg | TAMANHO = 66 | DESCRICAO = PUBLICAÇÃO PROC. 1057713 - ANTONIO APARECIDO CREMOM.msg
15/07/2016 09:50 - RODRIGO_POIT | CI = 16705 | NOME_FISICO = 1468586992-96867200.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1044114 - ADEMIS DOS SANTOS OLIVEIRA.msg | TAMANHO = 61 | DESCRICAO = PUBLICAÇÃO PROC. 1044114 - ADEMIS DOS SANTOS OLIVEIRA.msg
15/07/2016 09:52 - FRANCISCO | CI = 16706 | NOME_FISICO = 1468587147-64054700.pdf | NOME_ORIGINAL = CUPOM - AIRT.14-07..pdf | TAMANHO = 206 | DESCRICAO = CUPOM - AIRT.14-07..pdf
15/07/2016 10:15 - RODRIGO_POIT | CI = 16707 | NOME_FISICO = 1468588519-96867200.msg | NOME_ORIGINAL = RES PUBLICAÇÃO PROC. 1012313 - PAULO CESAR DE OLIVEIRA THEODORO.msg | TAMANHO = 88 | DESCRICAO = RES PUBLICAÇÃO PROC. 1012313 - PAULO CESAR DE OLIVEIRA THEODORO.msg
15/07/2016 15:48 - RODRIGO_POIT | CI = 16715 | NOME_FISICO = 1468608524-35929700.pdf | NOME_ORIGINAL = despesas faiz.pdf | TAMANHO = 3579 | DESCRICAO = despesas faiz.pdf
15/07/2016 16:24 - RODRIGO_POIT | CI = 16716 | NOME_FISICO = 1468610672-99992200.msg | NOME_ORIGINAL = Solicitação de matrículas atualizadas.msg | TAMANHO = 6893 | DESCRICAO = Solicitação de matrículas atualizadas.msg
18/07/2016 08:50 - FRANCISCO | CI = 16720 | NOME_FISICO = 1468842574-76554700.pdf | NOME_ORIGINAL = N.FISCAL-SEST.ONIB. 1530.pdf | TAMANHO = 456 | DESCRICAO = N.FISCAL-SEST.ONIB. 1530.pdf
18/07/2016 09:20 - MATHEUSUZELOTTO | CI = 16721 | NOME_FISICO = 1468844451-01554700.pdf | NOME_ORIGINAL = 16-07-16.pdf | TAMANHO = 397 | DESCRICAO = 16-07-16.pdf
18/07/2016 09:20 - MATHEUSUZELOTTO | CI = 16721 | NOME_FISICO = 1468844451-04308900.pdf | NOME_ORIGINAL = 16-07-16-1.pdf | TAMANHO = 416 | DESCRICAO = 16-07-16-1.pdf
18/07/2016 09:20 - MATHEUSUZELOTTO | CI = 16721 | NOME_FISICO = 1468844451-05691800.pdf | NOME_ORIGINAL = 16-07-16-2.pdf | TAMANHO = 460 | DESCRICAO = 16-07-16-2.pdf
18/07/2016 09:45 - FRANCISCO | CI = 16722 | NOME_FISICO = 1468845926-26554700.pdf | NOME_ORIGINAL = CUPOM - RON-14-07-16.pdf | TAMANHO = 355 | DESCRICAO = CUPOM - RON-14-07-16.pdf
18/07/2016 10:15 - FRANCISCO | CI = 16724 | NOME_FISICO = 1468847730-35929700.pdf | NOME_ORIGINAL = CUPOM-AIRTON-15-07.pdf | TAMANHO = 336 | DESCRICAO = CUPOM-AIRTON-15-07.pdf
18/07/2016 16:09 - ALEXANDRE | CI = 16729 | NOME_FISICO = 1468868956-29679700.pdf | NOME_ORIGINAL = 607- SANTA FE.pdf | TAMANHO = 94 | DESCRICAO = 607- SANTA FE.pdf
18/07/2016 16:54 - ERIC | CI = 16731 | NOME_FISICO = 1468871675-31242200.pdf | NOME_ORIGINAL = COGEN - 07-2016.pdf | TAMANHO = 40 | DESCRICAO = GUIA COGEM - 07-2016
19/07/2016 08:20 - DONIZETE | CI = 16732 | NOME_FISICO = 1468927222-56242200.pdf | NOME_ORIGINAL = ocpr0003.pdf | TAMANHO = 10 | DESCRICAO = ocpr0003.pdf
19/07/2016 08:48 - FRANCISCO | CI = 16733 | NOME_FISICO = 1468928878-70304800.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
19/07/2016 09:01 - ELISSANDRA | CI = 16734 | NOME_FISICO = 1468929650-26554700.pdf | NOME_ORIGINAL = doc11724420160719112346.pdf | TAMANHO = 1328 | DESCRICAO = doc11724420160719112346.pdf
19/07/2016 09:09 - RODRIGO_POIT | CI = 16735 | NOME_FISICO = 1468930115-46867200.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 151612 - JOSÉ ROBERTO MARTINS.msg | TAMANHO = 69 | DESCRICAO = PUBLICAÇÃO PROC. 151612 - JOSÉ ROBERTO MARTINS.msg
19/07/2016 10:38 - FRANCISCO | CI = 16737 | NOME_FISICO = 1468935469-70304700.pdf | NOME_ORIGINAL = CUPOM-RON.18-07-16.pdf | TAMANHO = 202 | DESCRICAO = CUPOM-RON.18-07-16.pdf
19/07/2016 10:59 - FERNANDOPIRES | CI = 16738 | NOME_FISICO = 1468936762-98429700.pdf | NOME_ORIGINAL = Boleto Limpadora Veloz - 30-07-2016.pdf | TAMANHO = 77 | DESCRICAO = Boleto Limpadora Veloz - 30-07-2016.pdf
19/07/2016 10:59 - FERNANDOPIRES | CI = 16738 | NOME_FISICO = 1468936763-01045500.jpg | NOME_ORIGINAL = NF Limpadora Veloz.jpg | TAMANHO = 722 | DESCRICAO = NF Limpadora Veloz.jpg
19/07/2016 14:13 - SUZANA | CI = 16742 | NOME_FISICO = 1468948329-51554700.pdf | NOME_ORIGINAL = boleto_19-07-2016-10-51.pdf | TAMANHO = 326 | DESCRICAO = boleto_19-07-2016-10-51.pdf
19/07/2016 14:27 - ELAINE | CI = 16743 | NOME_FISICO = 1468949250-89054700.pdf | NOME_ORIGINAL = GS1.pdf | TAMANHO = 90 | DESCRICAO = GS1.pdf
19/07/2016 15:54 - RODRIGO_POIT | CI = 16745 | NOME_FISICO = 1468954464-79679800.msg | NOME_ORIGINAL = RES Ação Rescisória - Mário Lúcio Pereira.msg | TAMANHO = 480 | DESCRICAO = RES Ação Rescisória - Mário Lúcio Pereira.msg
19/07/2016 16:05 - RODRIGO_POIT | CI = 16746 | NOME_FISICO = 1468955145-31242300.msg | NOME_ORIGINAL = ENC Nota fiscal Perícia Médica junho 2016.msg | TAMANHO = 410 | DESCRICAO = ENC Nota fiscal Perícia Médica junho 2016.msg
20/07/2016 08:44 - VELOSA | CI = 16749 | NOME_FISICO = 1469015073-89054700.pdf | NOME_ORIGINAL = Simulação de Parcelamento.pdf | TAMANHO = 163 | DESCRICAO = Simulação de Parcelamento.pdf
20/07/2016 08:44 - VELOSA | CI = 16749 | NOME_FISICO = 1469015083-95304800.pdf | NOME_ORIGINAL = Comprovante de Parcelamento.pdf | TAMANHO = 129 | DESCRICAO = Comprovante de Parcelamento.pdf
20/07/2016 09:37 - MARCOS | CI = 16751 | NOME_FISICO = 1469018138-87492300.pdf | NOME_ORIGINAL = Relatorio Graciano Aparecido dos Santos FISF0064.pdf | TAMANHO = 114 | DESCRICAO = Relatorio Graciano Aparecido dos Santos FISF0064.pdf
20/07/2016 09:37 - MARCOS | CI = 16751 | NOME_FISICO = 1469018150-42179700.pdf | NOME_ORIGINAL = Relatorio CPAF Graciano Aparecido dos Santos.pdf | TAMANHO = 100 | DESCRICAO = Relatorio CPAF Graciano Aparecido dos Santos.pdf
20/07/2016 12:04 - ROSEMEIRESGOTI | CI = 16754 | NOME_FISICO = 1469027034-54679700.pdf | NOME_ORIGINAL = doc11749820160720142732.pdf | TAMANHO = 469 | DESCRICAO = doc11749820160720142732.pdf
20/07/2016 16:17 - KLEBER | CI = 16763 | NOME_FISICO = 1469042247-31242200.pdf | NOME_ORIGINAL = Boleto de Cobrança.pdf | TAMANHO = 122 | DESCRICAO = Boleto de Cobrança.pdf
20/07/2016 16:17 - KLEBER | CI = 16763 | NOME_FISICO = 1469042255-82804700.pdf | NOME_ORIGINAL = Empresas - Centro de Integração Empresa-Escola - CIEE.pdf | TAMANHO = 432 | DESCRICAO = Empresas - Centro de Integração Empresa-Escola - CIEE.pdf
21/07/2016 07:49 - VALDINEI | CI = 16768 | NOME_FISICO = 1469098157-93742100.pdf | NOME_ORIGINAL = Conta de Energia - Julho - 2016.pdf | TAMANHO = 607 | DESCRICAO = Conta de Energia - Julho - 2016.pdf
21/07/2016 07:55 - MARCOS | CI = 16769 | NOME_FISICO = 1469098496-79679700.pdf | NOME_ORIGINAL = Programa de ação Cultural.pdf | TAMANHO = 378 | DESCRICAO = Programa de ação Cultural.pdf
21/07/2016 10:27 - ALINEFERREIRA | CI = 16773 | NOME_FISICO = 1469107622-40617200.pdf | NOME_ORIGINAL = Multa - Transvale.pdf | TAMANHO = 3213 | DESCRICAO = Multa - Transvale
21/07/2016 10:29 - ALINEFERREIRA | CI = 16774 | NOME_FISICO = 1469107746-92179700.pdf | NOME_ORIGINAL = Multa - 1500.pdf | TAMANHO = 647 | DESCRICAO = Multa - 1500
21/07/2016 10:31 - RODRIGO_POIT | CI = 16776 | NOME_FISICO = 1469107855-03117200.pdf | NOME_ORIGINAL = PRESTAÇÃO DE CONTAS MATRICULAS SUZANA.pdf | TAMANHO = 483 | DESCRICAO = PRESTAÇÃO DE CONTAS MATRICULAS SUZANA.pdf
21/07/2016 13:54 - FRANCISCO | CI = 16780 | NOME_FISICO = 1469119977-29679700.pdf | NOME_ORIGINAL = AUTOS INF.- 74100 - 319306-4 -136987.pdf | TAMANHO = 1572 | DESCRICAO = AUTOS INF.- 74100 - 319306-4 -136987.pdf
21/07/2016 14:18 - FRANCISCO | CI = 16781 | NOME_FISICO = 1469121398-64054700.pdf | NOME_ORIGINAL = AUTO - 8947705438.pdf | TAMANHO = 435 | DESCRICAO = AUTO - 8947705438.pdf
22/07/2016 08:14 - RODRIGO_POIT | CI = 16785 | NOME_FISICO = 1469186045-56242200.pdf | NOME_ORIGINAL = Publicação.pdf | TAMANHO = 61 | DESCRICAO = Publicação.pdf
22/07/2016 08:14 - RODRIGO_POIT | CI = 16785 | NOME_FISICO = 1469186045-66485600.pdf | NOME_ORIGINAL = Acordo.pdf | TAMANHO = 1542 | DESCRICAO = Acordo.pdf
22/07/2016 08:14 - RODRIGO_POIT | CI = 16785 | NOME_FISICO = 1469186045-68916600.msg | NOME_ORIGINAL = SENTENÇA PROC. 1153914 - BENEDITO APARECIDO PINHEIRO.msg | TAMANHO = 94 | DESCRICAO = SENTENÇA PROC. 1153914 - BENEDITO APARECIDO PINHEIRO.msg
22/07/2016 13:20 - MARCOS | CI = 16792 | NOME_FISICO = 1469204400-62492300.pdf | NOME_ORIGINAL = Recibo Fee Banco Rabobank.pdf | TAMANHO = 3080 | DESCRICAO = Recibo Fee Banco Rabobank.pdf
22/07/2016 16:48 - FRANCISCO | CI = 16797 | NOME_FISICO = 1469216817-70304700.pdf | NOME_ORIGINAL = CUPOM-TRANS.UNO.pdf | TAMANHO = 211 | DESCRICAO = CUPOM-TRANS.UNO.pdf
22/07/2016 16:54 - FRANCISCO | CI = 16797 | NOME_FISICO = 1469217170-81242200.pdf | NOME_ORIGINAL = CUPOM -EMP.UNO-22-07.pdf | TAMANHO = 228 | DESCRICAO = CUPOM -EMP.UNO-22-07.pdf
25/07/2016 13:51 - ZEZE | CI = 16809 | NOME_FISICO = 1469465462-70304800.pdf | NOME_ORIGINAL = 1513_001.pdf | TAMANHO = 78 | DESCRICAO = 1513_001.pdf
25/07/2016 13:58 - ZEZE | CI = 16810 | NOME_FISICO = 1469465921-06242200.pdf | NOME_ORIGINAL = 1514_001.pdf | TAMANHO = 70 | DESCRICAO = 1514_001.pdf
26/07/2016 10:40 - RODRIGO_POIT | CI = 16815 | NOME_FISICO = 1469540404-76554700.pdf | NOME_ORIGINAL = acordo valmir santa fé.pdf | TAMANHO = 56 | DESCRICAO = acordo valmir santa fé.pdf
26/07/2016 11:25 - FRANCISCO | CI = 16816 | NOME_FISICO = 1469543137-07804700.pdf | NOME_ORIGINAL = TAXA DER-LETRANS-07-16.pdf | TAMANHO = 287 | DESCRICAO = TAXA DER-LETRANS-07-16.pdf
26/07/2016 13:39 - FERNANDOPIRES | CI = 16817 | NOME_FISICO = 1469551181-84367200.pdf | NOME_ORIGINAL = Boleto VT - 10-08-2016.pdf | TAMANHO = 34 | DESCRICAO = Boleto VT - 10-08-2016.pdf
26/07/2016 13:41 - FERNANDOPIRES | CI = 16818 | NOME_FISICO = 1469551297-51554600.pdf | NOME_ORIGINAL = Boleto Amil - 10-08-2016.pdf | TAMANHO = 163 | DESCRICAO = Boleto Amil - 10-08-2016.pdf
26/07/2016 15:17 - FERNANDOPIRES | CI = 16823 | NOME_FISICO = 1469557060-32804700.pdf | NOME_ORIGINAL = Aluguel escritório SP - 05-08-2016.pdf | TAMANHO = 212 | DESCRICAO = Aluguel escritório SP - 05-08-2016.pdf
26/07/2016 15:21 - FERNANDOPIRES | CI = 16824 | NOME_FISICO = 1469557266-14054700.pdf | NOME_ORIGINAL = FF - despesas diversas - 26-07-2016.pdf | TAMANHO = 1002 | DESCRICAO = FF - despesas diversas - 26-07-2016.pdf
26/07/2016 15:21 - MARTA | CI = 16825 | NOME_FISICO = 1469557266-99992200.pdf | NOME_ORIGINAL = Despesas 26 07 2016.pdf | TAMANHO = 143 | DESCRICAO = Despesas Viagem
26/07/2016 15:33 - VALDINEI | CI = 16827 | NOME_FISICO = 1469557995-92179700.pdf | NOME_ORIGINAL = GARAGEM PRESIDENTE - UNID G16 AGOSTO.pdf | TAMANHO = 409 | DESCRICAO = GARAGEM PRESIDENTE - UNID G16 AGOSTO.pdf
26/07/2016 16:22 - RODRIGO_POIT | CI = 16829 | NOME_FISICO = 1469560944-93742300.pdf | NOME_ORIGINAL = DESPESAS LAURE VOLPON.pdf | TAMANHO = 7349 | DESCRICAO = DESPESAS LAURE VOLPON.pdf
27/07/2016 08:30 - GRAZIELA | CI = 16834 | NOME_FISICO = 1469618975-73429700.pdf | NOME_ORIGINAL = Guia de Recolhimento Cópias Autenticadas (25-07-2016).pdf | TAMANHO = 123 | DESCRICAO = GUIA
27/07/2016 08:30 - GRAZIELA | CI = 16834 | NOME_FISICO = 1469618993-64054700.pdf | NOME_ORIGINAL = najm.pdf | TAMANHO = 26 | DESCRICAO = EMAIL DRA. ELIANE
27/07/2016 08:35 - RODRIGO_POIT | CI = 16835 | NOME_FISICO = 1469619113-15617200.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1201314 - JOSÉ CARLOS DE SANTANA.msg | TAMANHO = 80 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1201314 - JOSÉ CARLOS DE SANTANA.msg
27/07/2016 08:35 - RODRIGO_POIT | CI = 16835 | NOME_FISICO = 1469619113-18009100.pdf | NOME_ORIGINAL = cálculo reclamante.pdf | TAMANHO = 514 | DESCRICAO = cálculo reclamante.pdf
27/07/2016 08:35 - RODRIGO_POIT | CI = 16835 | NOME_FISICO = 1469619113-19558600.pdf | NOME_ORIGINAL = Cálculo Usina.pdf | TAMANHO = 325 | DESCRICAO = Cálculo Usina.pdf
27/07/2016 09:04 - GRAZIELA | CI = 16838 | NOME_FISICO = 1469620936-48429700.pdf | NOME_ORIGINAL = MARIO CAPOBIANCO_EMAIL.pdf | TAMANHO = 11 | DESCRICAO = EMAIL DRA. ELIANE
27/07/2016 09:04 - GRAZIELA | CI = 16838 | NOME_FISICO = 1469620961-07804700.pdf | NOME_ORIGINAL = MARIO CAPOBIANCO_LAUDO PERICIAL CONTÁBIL.pdf | TAMANHO = 1162 | DESCRICAO = LAUDO PERICIAL CONTÁBIL
27/07/2016 09:04 - GRAZIELA | CI = 16838 | NOME_FISICO = 1469620980-04679700.pdf | NOME_ORIGINAL = MARIO CAPOBIANCO_]GUIA DEPOSITO JUDICIAL.pdf | TAMANHO = 141 | DESCRICAO = GUIA
27/07/2016 09:19 - RODRIGO_POIT | CI = 16839 | NOME_FISICO = 1469621937-89054700.msg | NOME_ORIGINAL = TERMO DE AUDIÊNCIA PROC. 1036314 - JOÃO MARIA ALVARENGA DOS SANTOS.msg | TAMANHO = 80 | DESCRICAO = TERMO DE AUDIÊNCIA PROC. 1036314 - JOÃO MARIA ALVARENGA DOS SANTOS.msg
27/07/2016 09:19 - RODRIGO_POIT | CI = 16839 | NOME_FISICO = 1469621938-00364100.pdf | NOME_ORIGINAL = cálculo Usina.pdf | TAMANHO = 384 | DESCRICAO = cálculo Usina.pdf
