02/05/2017 09:22 - FRANCISCO | CI = 20411 | NOME_FISICO = 1493727635-89706300.pdf | NOME_ORIGINAL = CUPOM RON.28-04-.pdf | TAMANHO = 611 | DESCRICAO = CUPOM RON.28-04-.pdf
18/05/2017 14:48 - RODRIGO_POIT | CI = 20633 | NOME_FISICO = 1495129649-10246100.pdf | NOME_ORIGINAL = Auto de Infração nº 39032-2017.pdf | TAMANHO = 1790 | DESCRICAO = Auto de Infração nº 39032-2017.pdf
18/05/2017 14:48 - RODRIGO_POIT | CI = 20633 | NOME_FISICO = 1495129649-11250800.pdf | NOME_ORIGINAL = Auto de Infração nº 39034-2017.pdf | TAMANHO = 2753 | DESCRICAO = Auto de Infração nº 39034-2017.pdf
18/05/2017 14:48 - RODRIGO_POIT | CI = 20633 | NOME_FISICO = 1495129649-12363000.pdf | NOME_ORIGINAL = Auto de Infração nº 39035-2017.pdf | TAMANHO = 1599 | DESCRICAO = Auto de Infração nº 39035-2017.pdf
18/05/2017 16:55 - MICHELSANTOS | CI = 20634 | NOME_FISICO = 1495137279-97450100.pdf | NOME_ORIGINAL = Cálculo imposto - Frete 509537.pdf | TAMANHO = 4.83 | DESCRICAO = Cálculo imposto - Frete 509537.pdf
18/05/2017 16:55 - MICHELSANTOS | CI = 20634 | NOME_FISICO = 1495137294-47450100.pdf | NOME_ORIGINAL = Cálculo imposto - NF 216238.pdf | TAMANHO = 4.86 | DESCRICAO = Cálculo imposto - NF 216238.pdf
19/05/2017 09:03 - RONALDOGOMES | CI = 20637 | NOME_FISICO = 1495195423-74012600.pdf | NOME_ORIGINAL = Refeição.pdf | TAMANHO = 334 | DESCRICAO = Refeição.pdf
19/05/2017 09:40 - FRANCISCO | CI = 20638 | NOME_FISICO = 1495197514-17762600.pdf | NOME_ORIGINAL = CUPOM-AIRT. 16-05.pdf | TAMANHO = 221 | DESCRICAO = CUPOM-AIRT. 16-05.pdf
19/05/2017 10:10 - RAQUEL | CI = 20639 | NOME_FISICO = 1495199397-72450100.pdf | NOME_ORIGINAL = Projeto 9 05 551.pdf | TAMANHO = 19 | DESCRICAO = Projeto 9 05 551.pdf
19/05/2017 11:43 - FRANCISCO | CI = 20641 | NOME_FISICO = 1495205000-36512500.pdf | NOME_ORIGINAL = CUPOM-RON- 18-05.pdf | TAMANHO = 519 | DESCRICAO = CUPOM-RON- 18-05.pdf
19/05/2017 14:47 - FRANCISCO | CI = 20642 | NOME_FISICO = 1495216021-80262600.pdf | NOME_ORIGINAL = AUTO INF. 677594-3.pdf | TAMANHO = 610 | DESCRICAO = AUTO INF. 677594-3.pdf
19/05/2017 14:52 - FRANCISCO | CI = 20643 | NOME_FISICO = 1495216327-63075100.pdf | NOME_ORIGINAL = AUTO INF. 592895-3.pdf | TAMANHO = 617 | DESCRICAO = AUTO INF. 592895-3.pdf
19/05/2017 15:07 - KLEBER | CI = 20645 | NOME_FISICO = 1495217168-66200000.PDF | NOME_ORIGINAL = Ficha Financeira.PDF | TAMANHO = 15 | DESCRICAO = Ficha Financeira.PDF
19/05/2017 16:22 - FERNANDOPIRES | CI = 20646 | NOME_FISICO = 1495221753-74012600.pdf | NOME_ORIGINAL = FF - despesas diversas - 19-05-2017.pdf | TAMANHO = 1613 | DESCRICAO = FF - despesas diversas - 19-05-2017.pdf
19/05/2017 16:24 - FERNANDOPIRES | CI = 20647 | NOME_FISICO = 1495221868-75575000.PDF | NOME_ORIGINAL = Boleto Limpadora Veloz - 30-05-2017.PDF | TAMANHO = 31 | DESCRICAO = Boleto Limpadora Veloz - 30-05-2017.PDF
19/05/2017 16:24 - FERNANDOPIRES | CI = 20647 | NOME_FISICO = 1495221868-76716500.pdf | NOME_ORIGINAL = NF-e - Limpadora Veloz - maio 2017.pdf | TAMANHO = 98 | DESCRICAO = NF-e - Limpadora Veloz - maio 2017.pdf
19/05/2017 16:25 - FERNANDOPIRES | CI = 20648 | NOME_FISICO = 1495221920-41200100.pdf | NOME_ORIGINAL = Boleto Amil - 10-06-2017.pdf | TAMANHO = 568 | DESCRICAO = Boleto Amil - 10-06-2017.pdf
22/05/2017 07:02 - VALDINEI | CI = 20655 | NOME_FISICO = 1495447345-31762600.pdf | NOME_ORIGINAL = BOLETO SANTA FE MAIO 2017.pdf | TAMANHO = 560 | DESCRICAO = BOLETO SANTA FE MAIO 2017.pdf
22/05/2017 07:10 - VALDINEI | CI = 20656 | NOME_FISICO = 1495447827-64575100.pdf | NOME_ORIGINAL = Boleto - Junho - 2017.pdf | TAMANHO = 616 | DESCRICAO = Boleto - Junho - 2017.pdf
22/05/2017 07:13 - VALDINEI | CI = 20657 | NOME_FISICO = 1495447998-86450000.pdf | NOME_ORIGINAL = Boleto Condomínio - 02-06-17.pdf | TAMANHO = 617 | DESCRICAO = Boleto Condomínio - 02-06-17.pdf
22/05/2017 07:16 - VALDINEI | CI = 20658 | NOME_FISICO = 1495448185-36450100.pdf | NOME_ORIGINAL = G16 JUNHO - 2017.pdf | TAMANHO = 19 | DESCRICAO = G16 JUNHO - 2017.pdf
22/05/2017 08:50 - JENS | CI = 20661 | NOME_FISICO = 1495453834-13012500.pdf | NOME_ORIGINAL = FLAVIO.pdf | TAMANHO = 199 | DESCRICAO = FLAVIO.pdf
22/05/2017 09:25 - RODRIGO_POIT | CI = 20662 | NOME_FISICO = 1495455913-84887600.htm | NOME_ORIGINAL = Carlos Rodrigo.htm | TAMANHO = 16 | DESCRICAO = Carlos Rodrigo.htm
22/05/2017 09:25 - RODRIGO_POIT | CI = 20662 | NOME_FISICO = 1495455913-99534900.pdf | NOME_ORIGINAL = Carlos Rodrigo-cálculo.pdf | TAMANHO = 337 | DESCRICAO = Carlos Rodrigo-cálculo.pdf
22/05/2017 09:25 - KLEBER | CI = 20663 | NOME_FISICO = 1495455907-66137600.pdf | NOME_ORIGINAL = Boleto 05.06.2017.pdf | TAMANHO = 101 | DESCRICAO = Boleto 05.06.2017.pdf
22/05/2017 09:44 - RODRIGO_POIT | CI = 20664 | NOME_FISICO = 1495457067-17700100.htm | NOME_ORIGINAL = Jeremias.htm | TAMANHO = 16 | DESCRICAO = Jeremias.htm
22/05/2017 09:44 - RODRIGO_POIT | CI = 20664 | NOME_FISICO = 1495457067-19480800.pdf | NOME_ORIGINAL = Jeremias-cálculo.pdf | TAMANHO = 625 | DESCRICAO = Jeremias-cálculo.pdf
22/05/2017 09:58 - RODRIGO_POIT | CI = 20665 | NOME_FISICO = 1495457849-89575100.htm | NOME_ORIGINAL = José Osni.htm | TAMANHO = 16 | DESCRICAO = José Osni.htm
22/05/2017 09:58 - RODRIGO_POIT | CI = 20665 | NOME_FISICO = 1495457849-91042000.pdf | NOME_ORIGINAL = José Osni-cálculo.pdf | TAMANHO = 587 | DESCRICAO = José Osni-cálculo.pdf
22/05/2017 10:22 - RODRIGO_POIT | CI = 20667 | NOME_FISICO = 1495459164-22387500.msg | NOME_ORIGINAL = Solicitação de Reembolso de Custas e da Nota Fiscal nº 555 - Contrato de 2017 - Pedido 222370 - 3ª Parcela de 11 - ABRIL2017- USINA SANTA FÉ.msg | TAMANHO = 832 | DESCRICAO = Solicitação de Reembolso de Custas e da Nota Fiscal nº 555 - Contrato de 2017 - Pedido 222370 - 3ª Parcela de 11 - ABRIL2017- USINA SANTA FÉ.msg
22/05/2017 10:22 - RODRIGO_POIT | CI = 20669 | NOME_FISICO = 1495459377-28637600.msg | NOME_ORIGINAL = Reembolso de Custas.msg | TAMANHO = 832 | DESCRICAO = Reembolso de Custas.msg
22/05/2017 10:54 - VALDINEI | CI = 20670 | NOME_FISICO = 1495461276-13012600.pdf | NOME_ORIGINAL = IPTU - 2017.pdf | TAMANHO = 415 | DESCRICAO = IPTU - 2017.pdf
22/05/2017 16:14 - MARTA | CI = 20673 | NOME_FISICO = 1495480424-73950100.pdf | NOME_ORIGINAL = Despesa 18 05 2017.pdf | TAMANHO = 412 | DESCRICAO = Despesa de viagem
23/05/2017 09:54 - VALDINEI | CI = 20677 | NOME_FISICO = 1495544041-97387600.pdf | NOME_ORIGINAL = Conta de Água - Maio - 2017.pdf | TAMANHO = 510 | DESCRICAO = Conta de Água - Maio - 2017.pdf
23/05/2017 10:12 - FRANCISCO | CI = 20678 | NOME_FISICO = 1495545123-03637600.pdf | NOME_ORIGINAL = CUPOM- AIRT. 22-05.pdf | TAMANHO = 310 | DESCRICAO = CUPOM- AIRT. 22-05.pdf
23/05/2017 10:16 - FRANCISCO | CI = 20679 | NOME_FISICO = 1495545372-88012500.pdf | NOME_ORIGINAL = CUPOM-AIRT-22-05-DH.pdf | TAMANHO = 200 | DESCRICAO = CUPOM-AIRT-22-05-DH.pdf
23/05/2017 11:09 - FRANCISCO | CI = 20680 | NOME_FISICO = 1495548569-77075000.pdf | NOME_ORIGINAL = AUTO INF. 710462-3.pdf | TAMANHO = 656 | DESCRICAO = AUTO INF. 710462-3.pdf
23/05/2017 12:22 - STEFANIAESTEVO | CI = 20682 | NOME_FISICO = 1495552936-72387600.pdf | NOME_ORIGINAL = CUPOM FIACAL DONI  ALMOÇO(CURSO).pdf | TAMANHO = 387 | DESCRICAO = CUPOM FISCAL
23/05/2017 12:26 - STEFANIAESTEVO | CI = 20683 | NOME_FISICO = 1495553175-25512600.pdf | NOME_ORIGINAL = CUPOM FISCAL 23-05.pdf | TAMANHO = 868 | DESCRICAO = CUPOM FISCAL 23-05.pdf
23/05/2017 13:37 - FRANCISCO | CI = 20685 | NOME_FISICO = 1495557418-48950100.pdf | NOME_ORIGINAL = DETRAN  - TAXAS E SERVIÇOS-2017.pdf | TAMANHO = 364 | DESCRICAO = DETRAN  - TAXAS E SERVIÇOS-2017.pdf
24/05/2017 08:57 - FRANCISCO | CI = 20695 | NOME_FISICO = 1495627008-14575100.xlsx | NOME_ORIGINAL = LICENC.VEÍC.-FINAL - 03-2.017.xlsx | TAMANHO = 14 | DESCRICAO = LICENC.VEÍC.-FINAL - 03-2.017.xlsx
24/05/2017 10:19 - MARCOS | CI = 20696 | NOME_FISICO = 1495631910-06762600.pdf | NOME_ORIGINAL = Boleto PAC - Programa de Ação Cultural.pdf | TAMANHO = 255 | DESCRICAO = Boleto PAC - Programa de Ação Cultural.pdf
24/05/2017 10:30 - SANDRA | CI = 20698 | NOME_FISICO = 1495632352-09887500.msg | NOME_ORIGINAL = Entrega ref. ao CTE 254.801-w 604011.msg | TAMANHO = 124 | DESCRICAO = Entrega ref. ao CTE 254.801-w 604011.msg
24/05/2017 11:54 - FRANCISCO | CI = 20695 | NOME_FISICO = 1495637615-75512600.xlsx | NOME_ORIGINAL = LICENC.VEÍC.-FINAL - 03-2.017.xlsx | TAMANHO = 14 | DESCRICAO = LICENC.VEÍC.-FINAL - 03-2.017.xlsx
24/05/2017 13:33 - MARCOS | CI = 20701 | NOME_FISICO = 1495643439-11450000.pdf | NOME_ORIGINAL = Boleto PIE Usina Esportiva Itaquere.pdf | TAMANHO = 257 | DESCRICAO = Boleto PIE Usina Esportiva Itaquere.pdf
24/05/2017 14:10 - FRANCISCO | CI = 20702 | NOME_FISICO = 1495645843-77075000.pdf | NOME_ORIGINAL = CUPOM-SANDRO-24-05.pdf | TAMANHO = 187 | DESCRICAO = CUPOM-SANDRO-24-05.pdf
25/05/2017 08:41 - RODRIGO_POIT | CI = 20708 | NOME_FISICO = 1495712466-94387600.pdf | NOME_ORIGINAL = Ata.pdf | TAMANHO = 1401 | DESCRICAO = Ata.pdf
25/05/2017 08:41 - RODRIGO_POIT | CI = 20708 | NOME_FISICO = 1495712466-98971200.docx | NOME_ORIGINAL = Publicação.docx | TAMANHO = 13 | DESCRICAO = Publicação.docx
25/05/2017 09:33 - ERIC | CI = 20713 | NOME_FISICO = 1495715574-56887600.PDF | NOME_ORIGINAL = 9.05.459 - 25-05-17.PDF | TAMANHO = 412 | DESCRICAO = Status do projeto 
25/05/2017 09:59 - RODRIGO_POIT | CI = 20714 | NOME_FISICO = 1495717083-75637500.msg | NOME_ORIGINAL = Autos n. 1006723-14.2017.8.26.0037 - USF x VLC.msg | TAMANHO = 232 | DESCRICAO = Autos n. 1006723-14.2017.8.26.0037 - USF x VLC.msg
25/05/2017 10:51 - MICHELAAUGUSTO | CI = 20715 | NOME_FISICO = 1495719805-35012600.pdf | NOME_ORIGINAL = Apuração código 8053 (Decêndio) - 10.04.2017.pdf | TAMANHO = 53 | DESCRICAO = Apuração código 8053 (Decêndio) - 10.04.2017.pdf
25/05/2017 10:51 - MICHELAAUGUSTO | CI = 20715 | NOME_FISICO = 1495719813-74075100.pdf | NOME_ORIGINAL = Apuração código 8053 (Decêncido) - 10.05.2017.pdf | TAMANHO = 76 | DESCRICAO = Apuração código 8053 (Decêncido) - 10.05.2017.pdf
26/05/2017 09:46 - FRANCISCO | CI = 20720 | NOME_FISICO = 1495802754-88137500.pdf | NOME_ORIGINAL = CUPOM-RON-25-05-17.pdf | TAMANHO = 543 | DESCRICAO = CUPOM-RON-25-05-17.pdf
26/05/2017 10:55 - FRANCISCO | CI = 20721 | NOME_FISICO = 1495806913-52200000.pdf | NOME_ORIGINAL = AUTO INF. 851175 - 845289.pdf | TAMANHO = 1204 | DESCRICAO = AUTO INF. 851175 - 845289.pdf
26/05/2017 15:26 - FRANCISCO | CI = 20722 | NOME_FISICO = 1495823205-91262500.pdf | NOME_ORIGINAL = DETRAN  - TAXAS E SERVIÇOS-2017.pdf | TAMANHO = 364 | DESCRICAO = DETRAN  - TAXAS E SERVIÇOS-2017.pdf
26/05/2017 15:59 - RODRIGO_POIT | CI = 20723 | NOME_FISICO = 1495825141-00637600.pdf | NOME_ORIGINAL = Despesas com Certidão de Ônus Cartório Emanoel.pdf | TAMANHO = 269 | DESCRICAO = Despesas com Certidão de Ônus Cartório Emanoel.pdf
26/05/2017 16:12 - FERNANDOPIRES | CI = 20724 | NOME_FISICO = 1495825952-49075100.pdf | NOME_ORIGINAL = Aluguel escritório de SP - 05-06-2017.pdf | TAMANHO = 252 | DESCRICAO = Aluguel escritório de SP - 05-06-2017.pdf
29/05/2017 07:42 - JOISYLOPES | CI = 20728 | NOME_FISICO = 1496054485-38212600.pdf | NOME_ORIGINAL = Almoço Araraquara Treinamento OAB.pdf | TAMANHO = 218 | DESCRICAO = Almoço Araraquara Treinamento OAB.pdf
29/05/2017 07:42 - JOISYLOPES | CI = 20728 | NOME_FISICO = 1496054498-72587700.pdf | NOME_ORIGINAL = Estacionamento Araraquara Treinamento OAB.pdf | TAMANHO = 207 | DESCRICAO = Estacionamento Araraquara Treinamento OAB.pdf
29/05/2017 08:07 - KLEBER | CI = 20732 | NOME_FISICO = 1496056023-46025100.pdf | NOME_ORIGINAL = Protese - Contrato Banco.pdf | TAMANHO = 1234 | DESCRICAO = Protese - Contrato Banco.pdf
29/05/2017 08:07 - KLEBER | CI = 20732 | NOME_FISICO = 1496056029-06962600.pdf | NOME_ORIGINAL = Protese - Edilson Antonio da Silva.pdf | TAMANHO = 629 | DESCRICAO = Protese - Edilson Antonio da Silva.pdf
29/05/2017 12:06 - FRANCISCO | CI = 20738 | NOME_FISICO = 1496070366-11650000.pdf | NOME_ORIGINAL = DETRAN  - TAXAS E SERVIÇOS-2017.pdf | TAMANHO = 364 | DESCRICAO = DETRAN  - TAXAS E SERVIÇOS-2017.pdf
30/05/2017 07:32 - VALDINEI | CI = 20745 | NOME_FISICO = 1496140313-22587600.pdf | NOME_ORIGINAL = CONTA DE ÁGUA - VENC 25-05-2017.pdf | TAMANHO = 504 | DESCRICAO = CONTA DE ÁGUA - VENC 25-05-2017.pdf
30/05/2017 07:41 - VALDINEI | CI = 20746 | NOME_FISICO = 1496140906-44462600.pdf | NOME_ORIGINAL = Conta de Energia - Junho - 2017.pdf | TAMANHO = 412 | DESCRICAO = Conta de Energia - Junho - 2017.pdf
30/05/2017 07:42 - MICHELAAUGUSTO | CI = 20747 | NOME_FISICO = 1496140921-28837600.pdf | NOME_ORIGINAL = Notas ref. despesas.pdf | TAMANHO = 128 | DESCRICAO = Notas ref. despesas.pdf
30/05/2017 08:16 - STEFANIAESTEVO | CI = 20751 | NOME_FISICO = 1496143007-36650100.pdf | NOME_ORIGINAL = CONTA DE LUZ PARA REEMBOLSO 2017.pdf | TAMANHO = 10838 | DESCRICAO = COMPROVANTES DE CONTA
30/05/2017 10:02 - KLEBER | CI = 20752 | NOME_FISICO = 1496149337-97587500.xlsx | NOME_ORIGINAL = Diferença Aluguel - SENAI.xlsx | TAMANHO = 10 | DESCRICAO = Diferença Aluguel - SENAI.xlsx
30/05/2017 11:06 - FRANCISCO | CI = 20753 | NOME_FISICO = 1496153201-39775000.pdf | NOME_ORIGINAL = CUPOM-RON.-29-05.pdf | TAMANHO = 510 | DESCRICAO = CUPOM-RON.-29-05.pdf
30/05/2017 15:07 - FRANCISCO | CI = 20757 | NOME_FISICO = 1496167659-89775100.pdf | NOME_ORIGINAL = cupom airt.-29-05-17.pdf | TAMANHO = 487 | DESCRICAO = cupom airt.-29-05-17.pdf
30/05/2017 16:51 - FRANCISCO | CI = 20764 | NOME_FISICO = 1496173862-13212600.pdf | NOME_ORIGINAL = AUTOS INF. 921317 - 474702.pdf | TAMANHO = 1180 | DESCRICAO = AUTOS INF. 921317 - 474702.pdf
31/05/2017 10:51 - FRANCISCO | CI = 20772 | NOME_FISICO = 1496238606-04787600.pdf | NOME_ORIGINAL = CAM. VIST. CAUTELAR.pdf | TAMANHO = 33 | DESCRICAO = CAM. VIST. CAUTELAR.pdf
31/05/2017 11:37 - RAQUEL | CI = 20773 | NOME_FISICO = 1496241121-73537600.PDF | NOME_ORIGINAL = Projeto 9 05 390.PDF | TAMANHO = 158 | DESCRICAO = Projeto 9 05 390.PDF
31/05/2017 15:05 - FERNANDOPIRES | CI = 20775 | NOME_FISICO = 1496253925-04787600.pdf | NOME_ORIGINAL = FF - despesas diversas - 31-05-2017.pdf | TAMANHO = 1153 | DESCRICAO = FF - despesas diversas - 31-05-2017.pdf
