02/10/2017 10:21 - MONICA | CI = 22143 | NOME_FISICO = 1506950477-62487600.msg | NOME_ORIGINAL = ASSINATURA CONSECANA.msg | TAMANHO = 138 | DESCRICAO = ASSINATURA CONSECANA.msg
18/10/2017 13:52 - FERNANDOPIRES | CI = 22321 | NOME_FISICO = 1508341926-84825100.pdf | NOME_ORIGINAL = Amil - 10-11-2017.pdf | TAMANHO = 130 | DESCRICAO = Amil - 10-11-2017.pdf
18/10/2017 13:54 - FERNANDOPIRES | CI = 22322 | NOME_FISICO = 1508342030-20762600.PDF | NOME_ORIGINAL = Boleto Limpadora Veloz - 30-10-2017.PDF | TAMANHO = 31 | DESCRICAO = Boleto Limpadora Veloz - 30-10-2017.PDF
18/10/2017 13:54 - FERNANDOPIRES | CI = 22322 | NOME_FISICO = 1508342030-22887700.jpg | NOME_ORIGINAL = NF Limpadora Veloz - outubro 17.jpg | TAMANHO = 215 | DESCRICAO = NF Limpadora Veloz - outubro 17.jpg
19/10/2017 08:33 - DENISESANTOS | CI = 22331 | NOME_FISICO = 1508409052-78800000.pdf | NOME_ORIGINAL = images.pdf | TAMANHO = 57 | DESCRICAO = images.pdf
19/10/2017 18:09 - JAQUELINEFERREIRA | CI = 22339 | NOME_FISICO = 1508443751-96085300.pdf | NOME_ORIGINAL = NF_PEÇAS GOTEJO 7.pdf | TAMANHO = 347 | DESCRICAO = NF_PEÇAS GOTEJO 7.pdf
19/10/2017 18:09 - JAQUELINEFERREIRA | CI = 22339 | NOME_FISICO = 1508443759-35147700.pdf | NOME_ORIGINAL = NF_PEÇAS GOTEJO 8.pdf | TAMANHO = 367 | DESCRICAO = NF_PEÇAS GOTEJO 8.pdf
20/10/2017 10:33 - RODRIGO_POIT | CI = 22345 | NOME_FISICO = 1508502756-42960200.pdf | NOME_ORIGINAL = 11261.pdf | TAMANHO = 279 | DESCRICAO = 11261.pdf
20/10/2017 10:33 - RODRIGO_POIT | CI = 22345 | NOME_FISICO = 1508502757-16499200.pdf | NOME_ORIGINAL = custas.pdf | TAMANHO = 170 | DESCRICAO = custas.pdf
20/10/2017 11:44 - VALDINEI | CI = 22348 | NOME_FISICO = 1508507068-11710300.pdf | NOME_ORIGINAL = BOLETO SANTA FE OUTUBRO 2017 (2).pdf | TAMANHO = 543 | DESCRICAO = BOLETO SANTA FE OUTUBRO 2017 (2).pdf
20/10/2017 11:51 - VALDINEI | CI = 22349 | NOME_FISICO = 1508507443-57022800.pdf | NOME_ORIGINAL = Boleto Condomínio - 02-11-17.pdf | TAMANHO = 648 | DESCRICAO = Boleto Condomínio - 02-11-17.pdf
23/10/2017 13:42 - ELISSANDRA | CI = 22372 | NOME_FISICO = 1508773318-60687600.pdf | NOME_ORIGINAL = Untitled_20171023_123700.pdf | TAMANHO = 550 | DESCRICAO = Untitled_20171023_123700.pdf
23/10/2017 13:45 - ELISSANDRA | CI = 22373 | NOME_FISICO = 1508773511-09125100.pdf | NOME_ORIGINAL = Untitled_20171023_124032.pdf | TAMANHO = 417 | DESCRICAO = Untitled_20171023_124032.pdf
23/10/2017 13:52 - ELISSANDRA | CI = 22374 | NOME_FISICO = 1508773923-76312600.pdf | NOME_ORIGINAL = Untitled_20171023_124726.pdf | TAMANHO = 249 | DESCRICAO = Untitled_20171023_124726.pdf
23/10/2017 13:58 - ELISSANDRA | CI = 22375 | NOME_FISICO = 1508774273-99750100.pdf | NOME_ORIGINAL = Untitled_20171023_125308.pdf | TAMANHO = 245 | DESCRICAO = Untitled_20171023_125308.pdf
24/10/2017 10:16 - ALINEFERREIRA | CI = 22381 | NOME_FISICO = 1508847320-21625200.pdf | NOME_ORIGINAL = Comprovante.pdf | TAMANHO = 229 | DESCRICAO = Comprovante
24/10/2017 12:59 - KLEBER | CI = 22383 | NOME_FISICO = 1508857181-07562600.pdf | NOME_ORIGINAL = Prestação de Contas.pdf | TAMANHO = 990 | DESCRICAO = Prestação de Contas.pdf
24/10/2017 14:44 - MARTA | CI = 22384 | NOME_FISICO = 1508863445-27875100.pdf | NOME_ORIGINAL = Cupom Fiscal 19-10 e 23-10.pdf | TAMANHO = 433 | DESCRICAO = Despesa
24/10/2017 16:42 - MICHELAAUGUSTO | CI = 22386 | NOME_FISICO = 1508870516-85687700.pdf | NOME_ORIGINAL = Fechamento de Cambio - 24.10.2017.pdf | TAMANHO = 157 | DESCRICAO = Fechamento de Cambio - 24.10.2017.pdf
26/10/2017 08:38 - JOISYLOPES | CI = 22402 | NOME_FISICO = 1509014324-68500100.pdf | NOME_ORIGINAL = Audiências 19-10-17.pdf | TAMANHO = 304 | DESCRICAO = Audiências 19-10-17.pdf
26/10/2017 15:31 - MARTA | CI = 22410 | NOME_FISICO = 1509039085-16937600.pdf | NOME_ORIGINAL = Despesa 26 10 2017.pdf | TAMANHO = 401 | DESCRICAO = Despesa
26/10/2017 15:37 - FERNANDOPIRES | CI = 22412 | NOME_FISICO = 1509039415-59125200.pdf | NOME_ORIGINAL = FF - Despesas diversas - 26-10-17.pdf | TAMANHO = 1308 | DESCRICAO = FF - Despesas diversas - 26-10-17.pdf
27/10/2017 09:39 - MARCOS | CI = 22416 | NOME_FISICO = 1509104326-14050100.pdf | NOME_ORIGINAL = DARF'S Receita Federal (Refis) - Vencimento 31.10.2017.pdf | TAMANHO = 271 | DESCRICAO = DARF'S Receita Federal (Refis) - Vencimento 31.10.2017.pdf
27/10/2017 11:07 - FERNANDOPIRES | CI = 22421 | NOME_FISICO = 1509109571-31237700.pdf | NOME_ORIGINAL = Aluguel e despesas escritório de SP.pdf | TAMANHO = 261 | DESCRICAO = Aluguel e despesas escritório de SP.pdf
27/10/2017 16:00 - ELISSANDRA | CI = 22423 | NOME_FISICO = 1509127116-57800100.pdf | NOME_ORIGINAL = Untitled_20171027_145354.pdf | TAMANHO = 415 | DESCRICAO = Untitled_20171027_145354.pdf
27/10/2017 16:04 - ELISSANDRA | CI = 22425 | NOME_FISICO = 1509127453-04675200.pdf | NOME_ORIGINAL = Untitled_20171027_145933.pdf | TAMANHO = 259 | DESCRICAO = Untitled_20171027_145933.pdf
30/10/2017 08:36 - MATHEUSRODRIGUES | CI = 22429 | NOME_FISICO = 1509359697-87825200.pdf | NOME_ORIGINAL = oficina de custos pecege.pdf | TAMANHO = 873 | DESCRICAO = oficina de custos pecege.pdf
30/10/2017 12:54 - MARTA | CI = 22441 | NOME_FISICO = 1509375232-30012600.xlsx | NOME_ORIGINAL = assistencial rural 2017 nova europa.xlsx | TAMANHO = 12 | DESCRICAO = Contribuição Assistencial
