01/04/2015 08:46 - FRANCISCO | CI = 11351 | NOME_FISICO = 1427888754-04562600.pdf | NOME_ORIGINAL = CUPOM RON.31-03.pdf | TAMANHO = 593 | DESCRICAO = CUPOM RON.31-03.pdf
17/04/2015 13:48 - FRANCISCO | CI = 11557 | NOME_FISICO = 1429289233-68272700.pdf | NOME_ORIGINAL = ABAST.CAMRY -16-04.pdf | TAMANHO = 216 | DESCRICAO = ABAST.CAMRY -16-04.pdf
17/04/2015 15:30 - FRANCISCO | CI = 11559 | NOME_FISICO = 1429295292-16710300.pdf | NOME_ORIGINAL = PED. PLACA REB. - 836.pdf | TAMANHO = 583 | DESCRICAO = PED. PLACA REB. - 836.pdf
17/04/2015 15:30 - FRANCISCO | CI = 11559 | NOME_FISICO = 1429295366-32616200.pdf | NOME_ORIGINAL = DETRAN- TAXAS SERV. 2.015.pdf | TAMANHO = 41 | DESCRICAO = DETRAN- TAXAS SERV. 2.015.pdf
17/04/2015 17:44 - HEITOR | CI = 11566 | NOME_FISICO = 1429303450-30772700.pdf | NOME_ORIGINAL = doc03260020150416213554.pdf | TAMANHO = 190 | DESCRICAO = doc03260020150416213554.pdf
20/04/2015 09:16 - FRANCISCO | CI = 11570 | NOME_FISICO = 1429532102-47276700.pdf | NOME_ORIGINAL = CUPOM - RON-18-04.pdf | TAMANHO = 364 | DESCRICAO = CUPOM - RON-18-04.pdf
20/04/2015 09:23 - FRANCISCO | CI = 11571 | NOME_FISICO = 1429532601-22276600.pdf | NOME_ORIGINAL = CUPOM-AIRTON-17-04.pdf | TAMANHO = 276 | DESCRICAO = CUPOM-AIRTON-17-04.pdf
20/04/2015 09:32 - FRANCISCO | CI = 11574 | NOME_FISICO = 1429533093-61339200.pdf | NOME_ORIGINAL = CUPOM-AIRTON-EST.17-04.pdf | TAMANHO = 204 | DESCRICAO = CUPOM-AIRTON-EST.17-04.pdf
20/04/2015 10:21 - MARTA | CI = 11577 | NOME_FISICO = 1429536102-75401700.pdf | NOME_ORIGINAL = willian 20042015 1.pdf | TAMANHO = 332 | DESCRICAO = Despesas Viagem
20/04/2015 10:21 - MARTA | CI = 11577 | NOME_FISICO = 1429536102-77337800.pdf | NOME_ORIGINAL = willian 20042015 2.pdf | TAMANHO = 435 | DESCRICAO = Despesas Viagem
20/04/2015 10:21 - MARTA | CI = 11577 | NOME_FISICO = 1429536102-78470700.pdf | NOME_ORIGINAL = willian 20042015 3.pdf | TAMANHO = 396 | DESCRICAO = Despesas Viagem
20/04/2015 16:12 - ERIC | CI = 11584 | NOME_FISICO = 1429557135-61339100.pdf | NOME_ORIGINAL = COGEN - 05-2015.pdf | TAMANHO = 321 | DESCRICAO = GUIA - 05-2015
22/04/2015 13:35 - RODRIGO_POIT | CI = 11596 | NOME_FISICO = 1429720495-36372800.pdf | NOME_ORIGINAL = Reinaldo Lima.pdf | TAMANHO = 467 | DESCRICAO = Reinaldo Lima.pdf
22/04/2015 14:03 - RODRIGO_POIT | CI = 11597 | NOME_FISICO = 1429722177-33247800.pdf | NOME_ORIGINAL = Isaias  Arouca  Lameira.pdf | TAMANHO = 520 | DESCRICAO = Isaias  Arouca  Lameira.pdf
22/04/2015 14:13 - RODRIGO_POIT | CI = 11598 | NOME_FISICO = 1429722831-66060200.pdf | NOME_ORIGINAL = ITAMAR.pdf | TAMANHO = 333 | DESCRICAO = ITAMAR.pdf
22/04/2015 14:34 - FERNANDOPIRES | CI = 11599 | NOME_FISICO = 1429724048-80122700.pdf | NOME_ORIGINAL = TFE Agro 2014 - 29-05-2015.pdf | TAMANHO = 123 | DESCRICAO = TFE Agro 2014 - 29-05-2015.pdf
22/04/2015 15:19 - TIAGOLIMA | CI = 11600 | NOME_FISICO = 1429726764-47310300.pdf | NOME_ORIGINAL = RCCP.pdf | TAMANHO = 1770 | DESCRICAO = RCCP.pdf
22/04/2015 15:29 - TIAGOLIMA | CI = 11601 | NOME_FISICO = 1429727281-30122800.pdf | NOME_ORIGINAL = Calculo Juros Multa Guia Depósito Judicial.pdf | TAMANHO = 552 | DESCRICAO = Calculo Juros Multa Guia Depósito Judicial.pdf
22/04/2015 15:29 - TIAGOLIMA | CI = 11601 | NOME_FISICO = 1429727286-70747800.pdf | NOME_ORIGINAL = GUIA Depósito Judicial.pdf | TAMANHO = 12 | DESCRICAO = GUIA Depósito Judicial.pdf
22/04/2015 16:24 - TIAGOLIMA | CI = 11602 | NOME_FISICO = 1429730610-14497800.pdf | NOME_ORIGINAL = INSS Caramuru.pdf | TAMANHO = 414 | DESCRICAO = INSS Caramuru.pdf
22/04/2015 16:24 - TIAGOLIMA | CI = 11602 | NOME_FISICO = 1429730615-33247800.pdf | NOME_ORIGINAL = Guia ISS Caramurú.pdf | TAMANHO = 14 | DESCRICAO = Guia ISS Caramurú.pdf
23/04/2015 10:13 - FRANCISCO | CI = 11615 | NOME_FISICO = 1429794772-59126600.pdf | NOME_ORIGINAL = CUPOM RON-22-04.pdf | TAMANHO = 264 | DESCRICAO = CUPOM RON-22-04.pdf
23/04/2015 10:17 - FRANCISCO | CI = 11616 | NOME_FISICO = 1429794993-06001600.pdf | NOME_ORIGINAL = CUPOM-AIRTON-22-04.pdf | TAMANHO = 201 | DESCRICAO = CUPOM-AIRTON-22-04.pdf
23/04/2015 11:34 - FERNANDOPIRES | CI = 11621 | NOME_FISICO = 1429799629-06001600.pdf | NOME_ORIGINAL = Amil - 10-05-2015.pdf | TAMANHO = 863 | DESCRICAO = Amil - 10-05-2015.pdf
23/04/2015 14:03 - ERIC | CI = 11623 | NOME_FISICO = 1429808502-29439100.pdf | NOME_ORIGINAL = Projeto 9.04.973.pdf | TAMANHO = 83 | DESCRICAO = STATUS PROJETO 904973
23/04/2015 14:34 - THIAGO | CI = 11624 | NOME_FISICO = 1429810084-82564100.pdf | NOME_ORIGINAL = Carta de Apresentação.pdf | TAMANHO = 1565 | DESCRICAO = Carta de Apresentação.pdf
23/04/2015 14:34 - THIAGO | CI = 11624 | NOME_FISICO = 1429810105-62251600.PDF | NOME_ORIGINAL = Apresentação GESUCRO.PDF | TAMANHO = 950 | DESCRICAO = Apresentação GESUCRO.PDF
23/04/2015 14:34 - THIAGO | CI = 11624 | NOME_FISICO = 1429810115-90376600.pdf | NOME_ORIGINAL = GESUCRO - Estatuto aprovado.pdf | TAMANHO = 151 | DESCRICAO = GESUCRO - Estatuto aprovado.pdf
23/04/2015 14:34 - THIAGO | CI = 11624 | NOME_FISICO = 1429810161-76314100.pdf | NOME_ORIGINAL = Boleto GESUCRO.pdf | TAMANHO = 25 | DESCRICAO = Boleto GESUCRO.pdf
23/04/2015 15:06 - RODRIGO_POIT | CI = 11625 | NOME_FISICO = 1429812386-29439100.pdf | NOME_ORIGINAL = Batista Lisboa dos Santos - Proc.1232-2010 - Cálculo de Liquidação.pdf | TAMANHO = 64 | DESCRICAO = Batista Lisboa dos Santos - Proc.1232-2010 - Cálculo de Liquidação.pdf
23/04/2015 15:07 - KLEBER | CI = 11626 | NOME_FISICO = 1429812406-16939100.pdf | NOME_ORIGINAL = Usina Santa Fé - 05-2015 - Boleto.pdf | TAMANHO = 81 | DESCRICAO = Usina Santa Fé - 05-2015 - Boleto.pdf
24/04/2015 08:05 - VALDEREZ | CI = 11629 | NOME_FISICO = 1429873397-23189200.pdf | NOME_ORIGINAL = conta Valeria.pdf | TAMANHO = 1561 | DESCRICAO = Conta Valeria
24/04/2015 09:12 - FRANCISCO | CI = 11636 | NOME_FISICO = 1429877507-09419600.pdf | NOME_ORIGINAL = CUPOM-AIRTON-EST.23-04.pdf | TAMANHO = 176 | DESCRICAO = CUPOM-AIRTON-EST.23-04.pdf
24/04/2015 10:06 - ROBERTA | CI = 11639 | NOME_FISICO = 1429880807-11079800.pdf | NOME_ORIGINAL = Perdas Físicas 2404.pdf | TAMANHO = 10 | DESCRICAO = Perdas Físicas 2404.pdf
24/04/2015 11:05 - RODRIGO_POIT | CI = 11642 | NOME_FISICO = 1429884309-12642300.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 5409 - JOSÉ MILTON DE ANDRADE.msg | TAMANHO = 46 | DESCRICAO = PUBLICAÇÃO PROC. 5409 - JOSÉ MILTON DE ANDRADE.msg
24/04/2015 14:02 - ROBERTA | CI = 11644 | NOME_FISICO = 1429894971-83052400.pdf | NOME_ORIGINAL = Nota Debito - Transvale.pdf | TAMANHO = 260 | DESCRICAO = Nota Debito - Transvale.pdf
27/04/2015 08:48 - MARCELOGODOI | CI = 11659 | NOME_FISICO = 1430135140-03908000.msg | NOME_ORIGINAL = Recolhimento Complementar de Custas Iniciais - MS Diesel - Usina Santa Fé SA - Pasta 6226517 CNA-DOCS.FID72345.msg | TAMANHO = 126 | DESCRICAO = Recolhimento Complementar de Custas Iniciais - MS Diesel - Usina Santa Fé SA - Pasta 6226517 CNA-DOCS.FID72345.msg
27/04/2015 09:12 - MARCELOGODOI | CI = 11662 | NOME_FISICO = 1430136575-74220500.pdf | NOME_ORIGINAL = doc06853420150427113113.pdf | TAMANHO = 1142 | DESCRICAO = doc06853420150427113113.pdf
27/04/2015 09:12 - MARCELOGODOI | CI = 11662 | NOME_FISICO = 1430136575-76612700.pdf | NOME_ORIGINAL = doc06853820150427113432.pdf | TAMANHO = 262 | DESCRICAO = doc06853820150427113432.pdf
27/04/2015 09:17 - FERNANDOPIRES | CI = 11664 | NOME_FISICO = 1430137071-52346100.pdf | NOME_ORIGINAL = Internet - 10-05-2015.pdf | TAMANHO = 1114 | DESCRICAO = Internet - 10-05-2015.pdf
27/04/2015 13:48 - ZEZE | CI = 11671 | NOME_FISICO = 1430153134-69728200.jpg | NOME_ORIGINAL = cartaz15 I.jpg | TAMANHO = 351 | DESCRICAO = cartaz15 I.jpg
27/04/2015 13:48 - ZEZE | CI = 11671 | NOME_FISICO = 1430153134-70314200.pdf | NOME_ORIGINAL = Ofício Suse Sta Fé 2015.pdf | TAMANHO = 643 | DESCRICAO = Ofício Suse Sta Fé 2015.pdf
27/04/2015 15:26 - FRANCISCO | CI = 11676 | NOME_FISICO = 1430159195-79103300.pdf | NOME_ORIGINAL = TRANSFER. ROBOQUE COMPER.pdf | TAMANHO = 313 | DESCRICAO = TRANSFER. ROBOQUE COMPER.pdf
27/04/2015 16:04 - FRANCISCO | CI = 11677 | NOME_FISICO = 1430161426-04103200.pdf | NOME_ORIGINAL = CUPOM-RON-24-04.pdf | TAMANHO = 380 | DESCRICAO = CUPOM-RON-24-04.pdf
27/04/2015 16:21 - FRANCISCO | CI = 11678 | NOME_FISICO = 1430162431-43165700.pdf | NOME_ORIGINAL = BOLETO-LETRANS-07-05-15.pdf | TAMANHO = 323 | DESCRICAO = BOLETO-LETRANS-07-05-15.pdf
28/04/2015 08:30 - RODRIGO_POIT | CI = 11682 | NOME_FISICO = 1430219939-02540700.msg | NOME_ORIGINAL = ENC DILIGÊNCIA EM PROCESSO CRIME  -DILIGENCIA CUMPRIDA..msg | TAMANHO = 50 | DESCRICAO = ENC DILIGÊNCIA EM PROCESSO CRIME  -DILIGENCIA CUMPRIDA..msg
28/04/2015 08:30 - RODRIGO_POIT | CI = 11682 | NOME_FISICO = 1430219939-03032200.msg | NOME_ORIGINAL = ENC processo..msg | TAMANHO = 3174 | DESCRICAO = ENC processo..msg
28/04/2015 15:12 - MARCELOGODOI | CI = 11690 | NOME_FISICO = 1430244682-37013300.pdf | NOME_ORIGINAL = DARE .pdf | TAMANHO = 335 | DESCRICAO = DARE .pdf
28/04/2015 15:17 - FRANCISCO | CI = 11691 | NOME_FISICO = 1430244996-71388400.pdf | NOME_ORIGINAL = TRANSF. KOMBI-DR.ROBERTO.pdf | TAMANHO = 308 | DESCRICAO = TRANSF. KOMBI-DR.ROBERTO.pdf
29/04/2015 08:38 - FRANCISCO | CI = 11693 | NOME_FISICO = 1430307479-35450900.pdf | NOME_ORIGINAL = CUPOM-RON-28-04.pdf | TAMANHO = 299 | DESCRICAO = CUPOM-RON-28-04.pdf
29/04/2015 11:52 - ROBERTA | CI = 11694 | NOME_FISICO = 1430319088-94825800.jpeg | NOME_ORIGINAL = n.d assinada.jpeg | TAMANHO = 462 | DESCRICAO = n.d assinada.jpeg
29/04/2015 13:41 - MARCELOGODOI | CI = 11695 | NOME_FISICO = 1430325644-10450800.pdf | NOME_ORIGINAL = Custas - Recurso de Apelação - Usina Santa Fé S A  - porc  1010101-80 2014 8 26 0037 - 622-6580.pdf | TAMANHO = 75 | DESCRICAO = Custas - Recurso de Apelação - Usina Santa Fé S A  - porc  1010101-80 2014 8 26 0037 - 622-6580.pdf
29/04/2015 13:41 - MARCELOGODOI | CI = 11695 | NOME_FISICO = 1430325644-10949400.msg | NOME_ORIGINAL = Publicação - Ação Declaratória - Usina Santa Fé  ICMS JUROS CNA-DOCS.FID107764.msg | TAMANHO = 166 | DESCRICAO = Publicação - Ação Declaratória - Usina Santa Fé  ICMS JUROS CNA-DOCS.FID107764.msg
29/04/2015 13:42 - FRANCISCO | CI = 11696 | NOME_FISICO = 1430325708-21388300.pdf | NOME_ORIGINAL = CUPOM AIRTON-27-04.pdf | TAMANHO = 237 | DESCRICAO = CUPOM AIRTON-27-04.pdf
30/04/2015 08:26 - FRANCISCO | CI = 11704 | NOME_FISICO = 1430393141-63575900.pdf | NOME_ORIGINAL = CUPOM-AIRTON-29-04.pdf | TAMANHO = 206 | DESCRICAO = CUPOM-AIRTON-29-04.pdf
30/04/2015 09:55 - ROBERTA | CI = 11708 | NOME_FISICO = 1430398547-40138300.pdf | NOME_ORIGINAL = Retorno Físico.pdf | TAMANHO = 16 | DESCRICAO = Retorno Físico.pdf
30/04/2015 13:36 - FRANCISCO | CI = 11711 | NOME_FISICO = 1430411658-48972700.pdf | NOME_ORIGINAL = DETRAN-TAXAS - 2015.pdf | TAMANHO = 361 | DESCRICAO = DETRAN-TAXAS - 2015.pdf
30/04/2015 16:05 - RODRIGO_POIT | CI = 11713 | NOME_FISICO = 1430420716-80320400.msg | NOME_ORIGINAL = Interposição de Agravo de Instrumento - Linsmar Oliveira Santos.msg | TAMANHO = 55 | DESCRICAO = Interposição de Agravo de Instrumento - Linsmar Oliveira Santos.msg
