01/12/2016 08:09 - MARCELOGODOI | CI = 18416 | NOME_FISICO = 1480586957-13950100.pdf | NOME_ORIGINAL = DARE.pdf | TAMANHO = 70 | DESCRICAO = DARE.pdf
12/12/2016 15:04 - RODRIGO_POIT | CI = 18586 | NOME_FISICO = 1481562218-44700200.msg | NOME_ORIGINAL = RES PENSÃO - PROC. 0010458-34.2013.5.15.0081 - ANDERSON JUNIOR SALHA.msg | TAMANHO = 59 | DESCRICAO = RES PENSÃO - PROC. 0010458-34.2013.5.15.0081 - ANDERSON JUNIOR SALHA.msg
12/12/2016 15:04 - RODRIGO_POIT | CI = 18586 | NOME_FISICO = 1481562273-67698100.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 1045813 - ANDERSON JUNIOR SALHA PEREIRA.msg | TAMANHO = 65 | DESCRICAO = PUBLICAÇÃO PROC. 1045813 - ANDERSON JUNIOR SALHA PEREIRA.msg
12/12/2016 15:29 - LUISMORETTI | CI = 18587 | NOME_FISICO = 1481563778-72825100.pdf | NOME_ORIGINAL = Horta.pdf | TAMANHO = 238 | DESCRICAO = Horta.pdf
12/12/2016 15:46 - RODRIGO_POIT | CI = 18588 | NOME_FISICO = 1481564751-61887700.pdf | NOME_ORIGINAL = MAURO RODRIGUES MENDONÇA-PROC.1162-56.2011-ATA DE AUDIÊNCIA.pdf | TAMANHO = 224 | DESCRICAO = MAURO RODRIGUES MENDONÇA-PROC.1162-56.2011-ATA DE AUDIÊNCIA.pdf
12/12/2016 15:46 - RODRIGO_POIT | CI = 18588 | NOME_FISICO = 1481564751-63725600.pdf | NOME_ORIGINAL = Cálculo.pdf | TAMANHO = 413 | DESCRICAO = Cálculo.pdf
12/12/2016 16:10 - RODRIGO_POIT | CI = 18589 | NOME_FISICO = 1481565687-40012700.pdf | NOME_ORIGINAL = JOSE BENEDITO MARQUES-PROC.1163-41.2011-ATA DE AUDIÊNCIA.pdf | TAMANHO = 228 | DESCRICAO = JOSE BENEDITO MARQUES-PROC.1163-41.2011-ATA DE AUDIÊNCIA.pdf
12/12/2016 16:10 - RODRIGO_POIT | CI = 18589 | NOME_FISICO = 1481565687-41832500.pdf | NOME_ORIGINAL = Cálculo.pdf | TAMANHO = 450 | DESCRICAO = Cálculo.pdf
12/12/2016 16:24 - FABIOTOMASETTO | CI = 18591 | NOME_FISICO = 1481566794-47825100.xlsx | NOME_ORIGINAL = C.I Para Férias 19-12-2016.xlsx | TAMANHO = 19 | DESCRICAO = C.I Para Férias 19-12-2016.xlsx
12/12/2016 16:32 - MARTA | CI = 18593 | NOME_FISICO = 1481567550-86887700.pdf | NOME_ORIGINAL = Despesa 12 12 2016.pdf | TAMANHO = 40 | DESCRICAO = Despesas de Viagem
12/12/2016 16:48 - RODRIGO_POIT | CI = 18594 | NOME_FISICO = 1481568530-36887600.pdf | NOME_ORIGINAL = REINALDO PEDRASSOLI-PROC.10106-13.2012-ATA DE AUDIÊNCIA.pdf | TAMANHO = 221 | DESCRICAO = REINALDO PEDRASSOLI-PROC.10106-13.2012-ATA DE AUDIÊNCIA.pdf
12/12/2016 16:48 - RODRIGO_POIT | CI = 18594 | NOME_FISICO = 1481568530-39411700.pdf | NOME_ORIGINAL = Cálculo.pdf | TAMANHO = 1408 | DESCRICAO = Cálculo.pdf
13/12/2016 08:54 - MATHEUSDELANEZA | CI = 18598 | NOME_FISICO = 1481626443-96262600.pdf | NOME_ORIGINAL = Nota Reunião Pecege.pdf | TAMANHO = 452 | DESCRICAO = Nota Reunião Pecege.pdf
13/12/2016 08:56 - MATHEUSDELANEZA | CI = 18599 | NOME_FISICO = 1481626590-36887600.pdf | NOME_ORIGINAL = Nota Reunião Pecege.pdf | TAMANHO = 452 | DESCRICAO = Nota Reunião Pecege.pdf
13/12/2016 09:06 - MATHEUSDELANEZA | CI = 18600 | NOME_FISICO = 1481627202-93137600.pdf | NOME_ORIGINAL = Nota Seminário Ribeirão.pdf | TAMANHO = 532 | DESCRICAO = Nota Seminário Ribeirão.pdf
13/12/2016 10:02 - FRANCISCO | CI = 18601 | NOME_FISICO = 1481630520-40012600.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
13/12/2016 10:30 - RODRIGO_POIT | CI = 18602 | NOME_FISICO = 1481632218-54075100.pdf | NOME_ORIGINAL = ata 000081790 2011 5 15 0081i76452.pdf | TAMANHO = 104 | DESCRICAO = ata 000081790 2011 5 15 0081i76452.pdf
13/12/2016 10:30 - RODRIGO_POIT | CI = 18602 | NOME_FISICO = 1481632220-65732200.pdf | NOME_ORIGINAL = Cálculo.pdf | TAMANHO = 405 | DESCRICAO = Cálculo.pdf
13/12/2016 10:30 - RODRIGO_POIT | CI = 18602 | NOME_FISICO = 1481632220-66880000.pdf | NOME_ORIGINAL = sentença.pdf | TAMANHO = 93 | DESCRICAO = sentença.pdf
13/12/2016 13:17 - MICHELAAUGUSTO | CI = 18605 | NOME_FISICO = 1481642057-40012600.pdf | NOME_ORIGINAL = CPAF0017 - IRRF 8053 - (Mutuo) 09.2016.pdf | TAMANHO = 14 | DESCRICAO = CPAF0017 - IRRF 8053 - (Mutuo) 09.2016.pdf
13/12/2016 13:17 - MICHELAAUGUSTO | CI = 18605 | NOME_FISICO = 1481642067-62303000.pdf | NOME_ORIGINAL = FISF0064 - IRRF 8053 (Mutuo) 09.2016.pdf | TAMANHO = 48 | DESCRICAO = FISF0064 - IRRF 8053 (Mutuo) 09.2016.pdf
13/12/2016 13:17 - MICHELAAUGUSTO | CI = 18605 | NOME_FISICO = 1481642192-83005600.pdf | NOME_ORIGINAL = Darf 8053 (Mutuo) 09.2016.pdf | TAMANHO = 49 | DESCRICAO = Darf 8053 (Mutuo) 09.2016.pdf
13/12/2016 13:21 - ALINEFERREIRA | CI = 18606 | NOME_FISICO = 1481642486-00950100.pdf | NOME_ORIGINAL = Sinistro - NF 206744.pdf | TAMANHO = 4.74 | DESCRICAO = Sinistro - NF 206744.pdf
13/12/2016 13:22 - MICHELAAUGUSTO | CI = 18607 | NOME_FISICO = 1481642396-19700200.pdf | NOME_ORIGINAL = CPAF0017 - IRRF 8053 - (Mutuo) 10.2016.pdf | TAMANHO = 14 | DESCRICAO = CPAF0017 - IRRF 8053 - (Mutuo) 10.2016.pdf
13/12/2016 13:22 - MICHELAAUGUSTO | CI = 18607 | NOME_FISICO = 1481642406-94700100.pdf | NOME_ORIGINAL = FISF0064 - IRRF 8053 - (Mutuo) 10.2016.pdf | TAMANHO = 33 | DESCRICAO = FISF0064 - IRRF 8053 - (Mutuo) 10.2016.pdf
13/12/2016 13:22 - MICHELAAUGUSTO | CI = 18607 | NOME_FISICO = 1481642493-74387600.pdf | NOME_ORIGINAL = Darf 8053 (Mutuo) - 10.2016.pdf | TAMANHO = 50 | DESCRICAO = Darf 8053 (Mutuo) - 10.2016.pdf
13/12/2016 14:36 - ALINEFERREIRA | CI = 18613 | NOME_FISICO = 1481646991-70500100.pdf | NOME_ORIGINAL = Sinistro - Frete 454382.pdf | TAMANHO = 4.88 | DESCRICAO = Sinistro - Frete 454382
13/12/2016 15:00 - STEFANIAESTEVO | CI = 18615 | NOME_FISICO = 1481648402-29875100.pdf | NOME_ORIGINAL = CUPOM FISCAL 13.12.pdf | TAMANHO = 1110 | DESCRICAO = CUPOM FISCAL
13/12/2016 15:36 - EDENILSON | CI = 18616 | NOME_FISICO = 1481650486-43937600.xlsx | NOME_ORIGINAL = Relatório de Férias - Recepção e Moagem.xlsx | TAMANHO = 16 | DESCRICAO = Relatório de Férias - Recepção e Moagem.xlsx
13/12/2016 15:55 - VELOSA | CI = 18621 | NOME_FISICO = 1481651732-25187600.pdf | NOME_ORIGINAL = IRRF Usina - Out16 Retificado.pdf | TAMANHO = 3753 | DESCRICAO = IRRF Usina - Out16 Retificado.pdf
13/12/2016 15:55 - VELOSA | CI = 18621 | NOME_FISICO = 1481651744-59562600.pdf | NOME_ORIGINAL = CI Cancelada 18127.pdf | TAMANHO = 12 | DESCRICAO = CI Cancelada 18127.pdf
13/12/2016 16:03 - FRANCISCO | CI = 18622 | NOME_FISICO = 1481652193-64250100.pdf | NOME_ORIGINAL = AUTO INF.158682-5.pdf | TAMANHO = 439 | DESCRICAO = AUTO INF.158682-5.pdf
13/12/2016 16:23 - FRANCISCO | CI = 18623 | NOME_FISICO = 1481653423-06437600.pdf | NOME_ORIGINAL = CUPOM-RON. 09-12.pdf | TAMANHO = 415 | DESCRICAO = CUPOM-RON. 09-12.pdf
13/12/2016 16:28 - FRANCISCO | CI = 18624 | NOME_FISICO = 1481653727-26750100.pdf | NOME_ORIGINAL = CUPOM-RON.-10-12.pdf | TAMANHO = 335 | DESCRICAO = CUPOM-RON.-10-12.pdf
14/12/2016 07:44 - LARISSALIMA | CI = 18626 | NOME_FISICO = 1481708640-08000100.pdf | NOME_ORIGINAL = doc08669020161214091613.pdf | TAMANHO = 323 | DESCRICAO = doc08669020161214091613.pdf
14/12/2016 07:54 - CRISTIANOALVES | CI = 18627 | NOME_FISICO = 1481708948-76750100.pdf | NOME_ORIGINAL = BOLETO HLTM.pdf | TAMANHO = 111 | DESCRICAO = BOLETO HLTM
14/12/2016 07:54 - CRISTIANOALVES | CI = 18627 | NOME_FISICO = 1481708962-22472700.pdf | NOME_ORIGINAL = NF HLTM.pdf | TAMANHO = 39 | DESCRICAO = NF HLTM
14/12/2016 08:08 - VELOSA | CI = 18621 | NOME_FISICO = 1481709545-83000100.pdf | NOME_ORIGINAL = IRRF Usina retificação Out16 - completo - emissão 13-12-16.pdf | TAMANHO = 3264 | DESCRICAO = IRRF Usina retificação Out16 - completo - emissão 13-12-16.pdf
14/12/2016 09:07 - RODRIGO_POIT | CI = 18628 | NOME_FISICO = 1481713655-58000200.msg | NOME_ORIGINAL = RES TERMO DE AUDIÊNCIA PROC. 190411 - MARCOS JOSÉ DA SILVA.msg | TAMANHO = 469 | DESCRICAO = RES TERMO DE AUDIÊNCIA PROC. 190411 - MARCOS JOSÉ DA SILVA.msg
14/12/2016 09:47 - VELOSA | CI = 18630 | NOME_FISICO = 1481716019-54875200.pdf | NOME_ORIGINAL = IRRF Usina retificação Nov16.pdf | TAMANHO = 4485 | DESCRICAO = IRRF Usina retificação Nov16.pdf
14/12/2016 09:47 - VELOSA | CI = 18630 | NOME_FISICO = 1481716032-61125100.pdf | NOME_ORIGINAL = CI Cancelada 18508.pdf | TAMANHO = 12 | DESCRICAO = CI Cancelada 18508.pdf
14/12/2016 10:22 - ERIC | CI = 18631 | NOME_FISICO = 1481718090-93937600.PDF | NOME_ORIGINAL = 9.05.343 - LODO.PDF | TAMANHO = 3198 | DESCRICAO = STATUS DO PROJETO ATUAL
14/12/2016 10:31 - REGI | CI = 18632 | NOME_FISICO = 1481718690-51750100.xlsx | NOME_ORIGINAL = Férias Logística - Relação RH.xlsx | TAMANHO = 77 | DESCRICAO = Férias Logística - Relação RH.xlsx
14/12/2016 10:44 - ZEZE | CI = 18633 | NOME_FISICO = 1481719413-84562600.pdf | NOME_ORIGINAL = Dez 16 Ibitinga.pdf | TAMANHO = 351 | DESCRICAO = Dez 16 Ibitinga.pdf
14/12/2016 13:22 - RODRIGO_POIT | CI = 18635 | NOME_FISICO = 1481728951-29875100.pdf | NOME_ORIGINAL = CARTA DE ANUÊNCIA.pdf | TAMANHO = 398 | DESCRICAO = CARTA DE ANUÊNCIA.pdf
14/12/2016 13:22 - RODRIGO_POIT | CI = 18635 | NOME_FISICO = 1481728951-36228600.pdf | NOME_ORIGINAL = DESPESAS.pdf | TAMANHO = 192 | DESCRICAO = DESPESAS.pdf
14/12/2016 13:22 - FRANCISCO | CI = 18636 | NOME_FISICO = 1481728963-93937600.pdf | NOME_ORIGINAL = CUPOM -RON. 14-12.pdf | TAMANHO = 341 | DESCRICAO = CUPOM -RON. 14-12.pdf
14/12/2016 14:34 - FRANCISCO | CI = 18638 | NOME_FISICO = 1481733268-01750100.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
14/12/2016 16:19 - FERNANDOPIRES | CI = 18641 | NOME_FISICO = 1481739554-00187600.pdf | NOME_ORIGINAL = Amil - 10-01-2017.pdf | TAMANHO = 160 | DESCRICAO = Amil - 10-01-2017.pdf
14/12/2016 16:22 - FERNANDOPIRES | CI = 18642 | NOME_FISICO = 1481739725-34562600.pdf | NOME_ORIGINAL = Boleto VB Serviços - 10-01-2017.pdf | TAMANHO = 34 | DESCRICAO = Boleto VB Serviços - 10-01-2017.pdf
15/12/2016 13:44 - CAIOAUGUSTO | CI = 18651 | NOME_FISICO = 1481816624-81437700.pdf | NOME_ORIGINAL = Piracicaba.pdf | TAMANHO = 448 | DESCRICAO = Piracicaba.pdf
15/12/2016 14:58 - ERIKAOLIVEIRA | CI = 18652 | NOME_FISICO = 1481821075-48625100.pdf | NOME_ORIGINAL = Imposto da Agro.pdf | TAMANHO = 1769 | DESCRICAO = Doc. Imposto 
15/12/2016 15:21 - KLEBER | CI = 18653 | NOME_FISICO = 1481822433-97062600.jpg | NOME_ORIGINAL = 20161215_151628.jpg | TAMANHO = 2134 | DESCRICAO = 20161215_151628.jpg
15/12/2016 16:57 - FERNANDOPIRES | CI = 18655 | NOME_FISICO = 1481828209-26750100.pdf | NOME_ORIGINAL = Aluguel escritório de SP - 05-01-2017.pdf | TAMANHO = 212 | DESCRICAO = Aluguel escritório de SP - 05-01-2017.pdf
16/12/2016 08:38 - AMADEUBOVI | CI = 18658 | NOME_FISICO = 1481884590-56828300.pdf | NOME_ORIGINAL = Despesas de viagem Wilson Manoel Victoria - 05-12 a 08-12.pdf | TAMANHO = 225 | DESCRICAO = Despesas de viagem Wilson Manoel Victoria - 05-12 a 08-12.pdf
16/12/2016 08:38 - AMADEUBOVI | CI = 18658 | NOME_FISICO = 1481884638-70890800.pdf | NOME_ORIGINAL = Despesas de viagem Wilson Manoel Victoria - 30-11 a 02-12.pdf | TAMANHO = 221 | DESCRICAO = Despesas de viagem Wilson Manoel Victoria - 30-11 a 02-12.pdf
16/12/2016 09:12 - RODRIGO_POIT | CI = 18659 | NOME_FISICO = 1481886714-27140700.msg | NOME_ORIGINAL = RE NOVA SOLICITAÇÃO DE MATRICULAS ATUALIZADAS E CERTIDÃO DE LIVRO 3 - PARA BANCO FUNDO LATITUD20.msg | TAMANHO = 101 | DESCRICAO = RE NOVA SOLICITAÇÃO DE MATRICULAS ATUALIZADAS E CERTIDÃO DE LIVRO 3 - PARA BANCO FUNDO LATITUD20.msg
16/12/2016 10:14 - ALINEFERREIRA | CI = 18665 | NOME_FISICO = 1481890450-99015800.pdf | NOME_ORIGINAL = Retorno Físico - 10 sacas.pdf | TAMANHO = 7.05 | DESCRICAO = Retorno Físico - 10 sacas.pdf
16/12/2016 11:07 - RODRIGO_POIT | CI = 18666 | NOME_FISICO = 1481893075-13078200.pdf | NOME_ORIGINAL = CLAUDINEI DO SANTOS-PROC.10044-36.2013-ATA DE AUDIÊNCIA.pdf | TAMANHO = 227 | DESCRICAO = CLAUDINEI DO SANTOS-PROC.10044-36.2013-ATA DE AUDIÊNCIA.pdf
16/12/2016 11:27 - VALDINEI | CI = 18668 | NOME_FISICO = 1481894766-38078200.pdf | NOME_ORIGINAL = Boleto - Dezembro - 2016.pdf | TAMANHO = 330 | DESCRICAO = Boleto - Dezembro - 2016.pdf
16/12/2016 11:32 - VALDEREZ | CI = 18669 | NOME_FISICO = 1481895007-39640800.PDF | NOME_ORIGINAL = pensionistas proc 4166.PDF | TAMANHO = 10 | DESCRICAO = pensionistas
16/12/2016 11:35 - VALDEREZ | CI = 18670 | NOME_FISICO = 1481895262-55265700.PDF | NOME_ORIGINAL = pensionistas proc 4178.PDF | TAMANHO = 12 | DESCRICAO = pensionistas 
16/12/2016 11:36 - VALDINEI | CI = 18671 | NOME_FISICO = 1481895358-20890800.pdf | NOME_ORIGINAL = GARAGEM PRESIDENTE - UNID G16 JANEIRO-2017.pdf | TAMANHO = 404 | DESCRICAO = GARAGEM PRESIDENTE - UNID G16 JANEIRO-2017.pdf
16/12/2016 13:16 - RODRIGO_POIT | CI = 18675 | NOME_FISICO = 1481901357-13078200.msg | NOME_ORIGINAL = RE RES NOVA SOLICITAÇÃO DE MATRICULAS ATUALIZADAS E CERTIDÃO DE LIVRO 3 - USINA SANTA FÉ SA.msg | TAMANHO = 74 | DESCRICAO = RE RES NOVA SOLICITAÇÃO DE MATRICULAS ATUALIZADAS E CERTIDÃO DE LIVRO 3 - USINA SANTA FÉ SA.msg
16/12/2016 14:43 - ALINEFERREIRA | CI = 18678 | NOME_FISICO = 1481906559-86515700.oft | NOME_ORIGINAL = RES Retorno Físico .oft | TAMANHO = 77 | DESCRICAO = RES Retorno Físico .oft
16/12/2016 16:24 - FRANCISCO | CI = 18679 | NOME_FISICO = 1481912564-75578200.pdf | NOME_ORIGINAL = DETRAN - TAXAS DE SERV .2016.pdf | TAMANHO = 316 | DESCRICAO = DETRAN - TAXAS DE SERV .2016.pdf
16/12/2016 16:37 - ELISSANDRA | CI = 18681 | NOME_FISICO = 1481913230-88078300.pdf | NOME_ORIGINAL = Revebor.pdf | TAMANHO = 995 | DESCRICAO = Revebor.pdf
16/12/2016 16:37 - ELISSANDRA | CI = 18681 | NOME_FISICO = 1481913238-41203200.pdf | NOME_ORIGINAL = Manetoni.pdf | TAMANHO = 720 | DESCRICAO = Manetoni.pdf
16/12/2016 16:37 - ELISSANDRA | CI = 18681 | NOME_FISICO = 1481913247-69328200.pdf | NOME_ORIGINAL = Mausa.pdf | TAMANHO = 958 | DESCRICAO = Mausa.pdf
16/12/2016 16:37 - ELISSANDRA | CI = 18681 | NOME_FISICO = 1481913266-61515800.pdf | NOME_ORIGINAL = Glauciara.pdf | TAMANHO = 1073 | DESCRICAO = Glauciara.pdf
16/12/2016 16:37 - ELISSANDRA | CI = 18681 | NOME_FISICO = 1481913279-33390700.pdf | NOME_ORIGINAL = Rede Recapex-Vulcatec.pdf | TAMANHO = 1379 | DESCRICAO = Rede Recapex-Vulcatec.pdf
16/12/2016 16:37 - ELISSANDRA | CI = 18681 | NOME_FISICO = 1481913291-50578200.pdf | NOME_ORIGINAL = Boraquimica.pdf | TAMANHO = 783 | DESCRICAO = Boraquimica.pdf
16/12/2016 16:37 - ELISSANDRA | CI = 18681 | NOME_FISICO = 1481913298-91203200.pdf | NOME_ORIGINAL = Mario Galeani.pdf | TAMANHO = 1975 | DESCRICAO = Mario Galeani.pdf
16/12/2016 16:37 - ELISSANDRA | CI = 18681 | NOME_FISICO = 1481913307-49015700.pdf | NOME_ORIGINAL = Manzano.pdf | TAMANHO = 895 | DESCRICAO = Manzano.pdf
19/12/2016 07:35 - RODRIGO_POIT | CI = 18666 | NOME_FISICO = 1482140135-25702600.msg | NOME_ORIGINAL = RES DADOS BANCÁRIOS ADVOGADO CLAUDINEI DOS SANTOS -PROC.10044-36.2013.msg | TAMANHO = 51 | DESCRICAO = RES DADOS BANCÁRIOS ADVOGADO CLAUDINEI DOS SANTOS -PROC.10044-36.2013.msg
19/12/2016 08:12 - RODRIGO_POIT | CI = 18683 | NOME_FISICO = 1482142090-67887600.pdf | NOME_ORIGINAL = EDSON SENDRA-PROC.948-51.2008-ATA DE AUDIÊNCIA.pdf | TAMANHO = 253 | DESCRICAO = EDSON SENDRA-PROC.948-51.2008-ATA DE AUDIÊNCIA.pdf
19/12/2016 08:12 - RODRIGO_POIT | CI = 18683 | NOME_FISICO = 1482142090-71657100.pdf | NOME_ORIGINAL = cálculo.pdf | TAMANHO = 82 | DESCRICAO = cálculo.pdf
19/12/2016 08:14 - FRANCISCO | CI = 18684 | NOME_FISICO = 1482142429-94450200.pdf | NOME_ORIGINAL = CUPOM-RON. 14-12.pdf | TAMANHO = 272 | DESCRICAO = CUPOM-RON. 14-12.pdf
19/12/2016 09:07 - KLEBER | CI = 18685 | NOME_FISICO = 1482145660-02262600.pdf | NOME_ORIGINAL = 2166_001.pdf | TAMANHO = 66 | DESCRICAO = 2166_001.pdf
19/12/2016 09:38 - FRANCISCO | CI = 18686 | NOME_FISICO = 1482147517-13200200.pdf | NOME_ORIGINAL = CUPOM-RON-15-12-RH.pdf | TAMANHO = 416 | DESCRICAO = CUPOM-RON-15-12-RH.pdf
19/12/2016 09:44 - RODRIGO_POIT | CI = 18687 | NOME_FISICO = 1482147879-53825100.pdf | NOME_ORIGINAL = DESPESAS MATRICULAS CARTÓRIO IBITINGA.pdf | TAMANHO = 338 | DESCRICAO = DESPESAS MATRICULAS CARTÓRIO IBITINGA.pdf
19/12/2016 09:45 - FRANCISCO | CI = 18688 | NOME_FISICO = 1482147903-80387600.pdf | NOME_ORIGINAL = CUPOM-RON-16-12.pdf | TAMANHO = 198 | DESCRICAO = CUPOM-RON-16-12.pdf
19/12/2016 10:14 - RODRIGO_POIT | CI = 18690 | NOME_FISICO = 1482149261-47575100.pdf | NOME_ORIGINAL = MARCOS RAFAEL DE PROENÇA-PROC.10283-06.2014-ATA DE AUDIÊNCIA.pdf | TAMANHO = 365 | DESCRICAO = MARCOS RAFAEL DE PROENÇA-PROC.10283-06.2014-ATA DE AUDIÊNCIA.pdf
19/12/2016 10:14 - RODRIGO_POIT | CI = 18690 | NOME_FISICO = 1482149261-49632900.pdf | NOME_ORIGINAL = Cálculo.pdf | TAMANHO = 909 | DESCRICAO = Cálculo.pdf
19/12/2016 11:49 - KLEBER | CI = 18693 | NOME_FISICO = 1482155336-41325200.pdf | NOME_ORIGINAL = Agua.pdf | TAMANHO = 74 | DESCRICAO = Agua.pdf
19/12/2016 13:50 - ELISSANDRA | CI = 18697 | NOME_FISICO = 1482162580-72575100.pdf | NOME_ORIGINAL = doc12916420161219150648.pdf | TAMANHO = 14 | DESCRICAO = doc12916420161219150648.pdf
19/12/2016 14:28 - RODRIGO_POIT | CI = 18699 | NOME_FISICO = 1482164898-00700200.msg | NOME_ORIGINAL = PUBLICAÇÃO PROC. 151211 - MANOEL CARLOS VERDERI.msg | TAMANHO = 54 | DESCRICAO = PUBLICAÇÃO PROC. 151211 - MANOEL CARLOS VERDERI.msg
19/12/2016 14:28 - RODRIGO_POIT | CI = 18699 | NOME_FISICO = 1482164898-02413500.pdf | NOME_ORIGINAL = Ata de Audiência.pdf | TAMANHO = 1400 | DESCRICAO = Ata de Audiência.pdf
19/12/2016 14:36 - ELISSANDRA | CI = 18701 | NOME_FISICO = 1482165298-56959400.pdf | NOME_ORIGINAL = doc12916820161219155546.pdf | TAMANHO = 238 | DESCRICAO = doc12916820161219155546.pdf
19/12/2016 14:40 - ELISSANDRA | CI = 18702 | NOME_FISICO = 1482165594-14762600.pdf | NOME_ORIGINAL = doc12916920161219160132.pdf | TAMANHO = 467 | DESCRICAO = doc12916920161219160132.pdf
19/12/2016 15:02 - LUISMORETTI | CI = 18703 | NOME_FISICO = 1482166923-85075100.pdf | NOME_ORIGINAL = Irrigação.pdf | TAMANHO = 251 | DESCRICAO = Irrigação.pdf
19/12/2016 15:27 - VELOSA | CI = 18704 | NOME_FISICO = 1482168314-41325200.pdf | NOME_ORIGINAL = NF 607.pdf | TAMANHO = 18 | DESCRICAO = NF 607.pdf
19/12/2016 15:27 - VELOSA | CI = 18704 | NOME_FISICO = 1482168329-08512600.pdf | NOME_ORIGINAL = E-mail.pdf | TAMANHO = 103 | DESCRICAO = E-mail.pdf
19/12/2016 15:27 - VELOSA | CI = 18704 | NOME_FISICO = 1482168349-13200100.pdf | NOME_ORIGINAL = Guia ISS - Instituto.pdf | TAMANHO = 19 | DESCRICAO = Guia ISS - Instituto.pdf
20/12/2016 09:44 - KLEBER | CI = 18714 | NOME_FISICO = 1482234264-33512600.pdf | NOME_ORIGINAL = Boleto de Cobrança.pdf | TAMANHO = 119 | DESCRICAO = Boleto de Cobrança.pdf
20/12/2016 09:44 - KLEBER | CI = 18714 | NOME_FISICO = 1482234272-80387700.pdf | NOME_ORIGINAL = Empresas - Centro de Integração Empresa-Escola - CIEE.pdf | TAMANHO = 438 | DESCRICAO = Empresas - Centro de Integração Empresa-Escola - CIEE.pdf
20/12/2016 13:28 - AMADEUBOVI | CI = 18721 | NOME_FISICO = 1482247694-21012700.pdf | NOME_ORIGINAL = Despesas de viagem Wilson Manoel Victoria - 12-12 a 15-12.pdf | TAMANHO = 236 | DESCRICAO = Despesas de viagem Wilson Manoel Victoria - 12-12 a 15-12.pdf
20/12/2016 13:45 - REGI | CI = 18722 | NOME_FISICO = 1482248667-49137700.xlsx | NOME_ORIGINAL = Férias Logística - Relação RH - 2ª Remessa.xlsx | TAMANHO = 21 | DESCRICAO = Férias Logística - Relação RH - 2ª Remessa.xlsx
20/12/2016 14:04 - KLEBER | CI = 18724 | NOME_FISICO = 1482249835-19450100.pdf | NOME_ORIGINAL = Boleto 05.01.17.pdf | TAMANHO = 97 | DESCRICAO = Boleto 05.01.17.pdf
20/12/2016 16:17 - ROSEMEIRESGOTI | CI = 18725 | NOME_FISICO = 1482257857-91325200.pdf | NOME_ORIGINAL = Contr. Sindical Patronal 2017.pdf | TAMANHO = 1544 | DESCRICAO = Contr. Sindical Patronal 2017.pdf
20/12/2016 16:38 - ELISSANDRA | CI = 18726 | NOME_FISICO = 1482259043-31950200.pdf | NOME_ORIGINAL = doc12928520161220175519.pdf | TAMANHO = 1890 | DESCRICAO = doc12928520161220175519.pdf
21/12/2016 09:36 - RODRIGO_POIT | CI = 18731 | NOME_FISICO = 1482319691-72575200.pdf | NOME_ORIGINAL = despesas são paulo.pdf | TAMANHO = 391 | DESCRICAO = despesas são paulo.pdf
21/12/2016 13:16 - FERNANDOPIRES | CI = 18736 | NOME_FISICO = 1482333347-66462700.pdf | NOME_ORIGINAL = FF - despesas diversas - 21-12-16.pdf | TAMANHO = 285 | DESCRICAO = FF - despesas diversas - 21-12-16.pdf
21/12/2016 14:10 - MARVYNALVES | CI = 18737 | NOME_FISICO = 1482336548-64900100.pdf | NOME_ORIGINAL = RELATORIO 9.05.113.pdf | TAMANHO = 18 | DESCRICAO = RELATORIO PROJ. 9.05.113
21/12/2016 15:50 - RODRIGO_POIT | CI = 18739 | NOME_FISICO = 1482342624-53962600.msg | NOME_ORIGINAL = REEMBOLSO.msg | TAMANHO = 204 | DESCRICAO = REEMBOLSO.msg
22/12/2016 10:43 - MARVYNALVES | CI = 18744 | NOME_FISICO = 1482410524-02497700.pdf | NOME_ORIGINAL = RELATORIO 9.05.418.pdf | TAMANHO = 19 | DESCRICAO = RELATORIO PROJETO 9.05.418
22/12/2016 11:06 - ALINEFERREIRA | CI = 18746 | NOME_FISICO = 1482411926-66560200.pdf | NOME_ORIGINAL = Retorno Físico - 88 sacas - Baixa Depósito Externo.pdf | TAMANHO = 5.24 | DESCRICAO = Retorno Físico - 88 sacas - Baixa Depósito Externo.pdf
22/12/2016 13:10 - MATHEUSUZELOTTO | CI = 18748 | NOME_FISICO = 1482419402-83747700.pdf | NOME_ORIGINAL = 17-12-16-1.pdf | TAMANHO = 282 | DESCRICAO = 17-12-16-1.pdf
22/12/2016 13:10 - MATHEUSUZELOTTO | CI = 18748 | NOME_FISICO = 1482419402-85475500.pdf | NOME_ORIGINAL = 17-12-16.pdf | TAMANHO = 450 | DESCRICAO = 17-12-16.pdf
22/12/2016 13:12 - MATHEUSUZELOTTO | CI = 18749 | NOME_FISICO = 1482419542-35310300.pdf | NOME_ORIGINAL = UFSCAR.pdf | TAMANHO = 348 | DESCRICAO = UFSCAR.pdf
